pan max
pan_gene_1000 1
pan_gene_10000 1
pan_gene_10001 1
pan_gene_100017 1
pan_gene_100029 1
pan_gene_10003 1
pan_gene_100046 1
pan_gene_100072 1
pan_gene_10008 1
pan_gene_100080 1
pan_gene_100081 1
pan_gene_100098 1
pan_gene_1001 1
pan_gene_100109 1
pan_gene_100126 1
pan_gene_10013 1
pan_gene_100147 1
pan_gene_100153 1
pan_gene_100159 1
pan_gene_100163 1
pan_gene_100166 1
pan_gene_100168 1
pan_gene_100169 1
pan_gene_100170 1
pan_gene_100171 1
pan_gene_1002 1
pan_gene_100202 1
pan_gene_100235 1
pan_gene_100236 1
pan_gene_100238 1
pan_gene_100244 1
pan_gene_100245 1
pan_gene_100250 1
pan_gene_100265 1
pan_gene_100276 1
pan_gene_100291 1
pan_gene_100292 1
pan_gene_100306 1
pan_gene_100307 1
pan_gene_100379 1
pan_gene_100381 1
pan_gene_100382 1
pan_gene_100384 1
pan_gene_100406 1
pan_gene_100421 1
pan_gene_100433 1
pan_gene_100440 1
pan_gene_100465 1
pan_gene_100467 1
pan_gene_100500 1
pan_gene_100503 1
pan_gene_100506 1
pan_gene_100508 1
pan_gene_10053 1
pan_gene_100593 1
pan_gene_100594 1
pan_gene_100596 1
pan_gene_100609 1
pan_gene_100618 1
pan_gene_100619 1
pan_gene_100622 1
pan_gene_100634 1
pan_gene_100635 1
pan_gene_100637 1
pan_gene_100638 1
pan_gene_100639 1
pan_gene_100646 1
pan_gene_100672 1
pan_gene_100690 1
pan_gene_100698 1
pan_gene_1007 1
pan_gene_100706 1
pan_gene_100708 1
pan_gene_100719 1
pan_gene_10073 1
pan_gene_100734 1
pan_gene_100735 1
pan_gene_10074 1
pan_gene_10075 1
pan_gene_100750 1
pan_gene_10077 1
pan_gene_1008 1
pan_gene_10080 1
pan_gene_10081 1
pan_gene_100813 1
pan_gene_100815 1
pan_gene_100841 1
pan_gene_100846 1
pan_gene_100856 1
pan_gene_100859 1
pan_gene_100865 1
pan_gene_100869 1
pan_gene_10087 1
pan_gene_100881 1
pan_gene_100888 1
pan_gene_10089 1
pan_gene_100890 1
pan_gene_100895 1
pan_gene_100898 1
pan_gene_1009 1
pan_gene_100926 1
pan_gene_100929 1
pan_gene_100930 1
pan_gene_10095 1
