pan max
pan_gene_10 6
pan_gene_100 2
pan_gene_100028 2
pan_gene_100035 2
pan_gene_10004 2
pan_gene_100050 2
pan_gene_10009 2
pan_gene_100105 2
pan_gene_100137 2
pan_gene_100149 3
pan_gene_10015 3
pan_gene_100201 3
pan_gene_100247 2
pan_gene_100251 2
pan_gene_100252 5
pan_gene_100266 2
pan_gene_100293 2
pan_gene_100296 2
pan_gene_100313 2
pan_gene_100391 2
pan_gene_100398 2
pan_gene_1004 3
pan_gene_100426 2
pan_gene_100428 2
pan_gene_100429 2
pan_gene_100444 2
pan_gene_100470 2
pan_gene_100497 2
pan_gene_1005 2
pan_gene_100540 2
pan_gene_100574 4
pan_gene_1006 2
pan_gene_100603 2
pan_gene_100633 2
pan_gene_100649 4
pan_gene_100663 22
pan_gene_100693 2
pan_gene_100728 2
pan_gene_100736 2
pan_gene_10076 2
pan_gene_100786 2
pan_gene_100812 2
pan_gene_100814 2
pan_gene_100820 2
pan_gene_100825 2
pan_gene_100870 2
pan_gene_100896 2
pan_gene_10090 3
pan_gene_100928 3
pan_gene_100994 4
pan_gene_101014 2
pan_gene_10102 2
pan_gene_101029 4
pan_gene_101044 2
pan_gene_101053 2
pan_gene_101057 3
pan_gene_10106 2
pan_gene_101063 4
pan_gene_101077 2
pan_gene_10109 2
pan_gene_10110 2
pan_gene_101109 2
pan_gene_10111 2
pan_gene_101162 3
pan_gene_10118 2
pan_gene_10119 2
pan_gene_1012 2
pan_gene_101202 2
pan_gene_101203 4
pan_gene_10124 3
pan_gene_101243 2
pan_gene_101245 3
pan_gene_10127 2
pan_gene_10129 5
pan_gene_101291 2
pan_gene_101338 2
pan_gene_101345 2
pan_gene_101349 2
pan_gene_101375 4
pan_gene_101380 2
pan_gene_101381 2
pan_gene_101406 2
pan_gene_101424 2
pan_gene_101430 3
pan_gene_101436 2
pan_gene_10144 2
pan_gene_101441 4
pan_gene_10153 3
pan_gene_101538 2
pan_gene_10154 3
pan_gene_101568 2
pan_gene_10161 2
pan_gene_101629 3
pan_gene_101631 2
pan_gene_10166 3
pan_gene_101660 3
pan_gene_101677 2
pan_gene_10169 2
pan_gene_10172 2
pan_gene_101723 2
pan_gene_10173 2
pan_gene_101753 6
pan_gene_10180 2
pan_gene_101806 3
pan_gene_10185 2
pan_gene_10186 3
pan_gene_101863 2
pan_gene_101865 2
pan_gene_10189 2
pan_gene_101905 2
pan_gene_101908 2
pan_gene_10193 2
pan_gene_10194 2
pan_gene_101948 3
pan_gene_10195 4
pan_gene_101951 2
pan_gene_101982 2
pan_gene_101990 2
pan_gene_102 2
pan_gene_10201 2
pan_gene_102025 2
pan_gene_102031 2
pan_gene_10205 2
pan_gene_102050 2
pan_gene_10208 2
pan_gene_102082 2
pan_gene_102092 3
pan_gene_102112 2
pan_gene_102130 2
pan_gene_10219 2
pan_gene_10221 2
pan_gene_102223 3
pan_gene_102235 2
pan_gene_10224 2
pan_gene_102242 8
pan_gene_102275 2
pan_gene_102298 3
pan_gene_102306 2
pan_gene_10231 2
pan_gene_102312 2
pan_gene_102313 7
pan_gene_102365 2
pan_gene_102366 2
pan_gene_102369 5
pan_gene_10241 2
pan_gene_102422 2
pan_gene_102427 5
pan_gene_102440 2
pan_gene_102457 2
pan_gene_102466 2
pan_gene_102473 2
pan_gene_102475 2
pan_gene_102487 2
pan_gene_10250 2
pan_gene_102500 2
pan_gene_102502 8
pan_gene_102549 3
pan_gene_102594 2
pan_gene_102615 28
pan_gene_10262 3
pan_gene_102682 2
pan_gene_10270 2
pan_gene_10271 2
pan_gene_102757 2
pan_gene_10280 2
pan_gene_102803 2
pan_gene_102810 2
pan_gene_102813 4
pan_gene_1029 2
pan_gene_102908 3
pan_gene_102933 2
pan_gene_102957 2
pan_gene_102961 2
pan_gene_102972 3
pan_gene_102982 2
pan_gene_10299 2
pan_gene_102990 2
pan_gene_1031 2
pan_gene_103175 3
pan_gene_103184 2
pan_gene_10319 2
pan_gene_1032 2
pan_gene_103203 2
pan_gene_103208 2
pan_gene_103352 2
pan_gene_103359 2
pan_gene_10337 2
pan_gene_103376 2
pan_gene_103391 2
pan_gene_103408 2
pan_gene_10344 2
