pan max
pan_gene_10012 3
pan_gene_1003 2
pan_gene_10082 4
pan_gene_10104 3
pan_gene_1011 4
pan_gene_101179 20
pan_gene_10176 2
pan_gene_10192 4
pan_gene_102014 3
pan_gene_102374 4
pan_gene_102468 7
pan_gene_10260 3
pan_gene_10267 3
pan_gene_102792 10
pan_gene_10318 3
pan_gene_10320 3
pan_gene_103265 4
pan_gene_10329 3
pan_gene_10394 2
pan_gene_10429 6
pan_gene_10526 5
pan_gene_10546 2
pan_gene_10598 9
pan_gene_10601 2
pan_gene_10610 6
pan_gene_10613 2
pan_gene_10618 5
pan_gene_10621 5
pan_gene_10660 6
pan_gene_10696 2
pan_gene_10697 5
pan_gene_108 3
pan_gene_10817 2
pan_gene_109 3
pan_gene_1105 3
pan_gene_11105 3
pan_gene_11117 2
pan_gene_11136 3
pan_gene_11161 2
pan_gene_11253 6
pan_gene_1126 2
pan_gene_11318 2
pan_gene_11346 3
pan_gene_11355 3
pan_gene_11362 8
pan_gene_11474 2
pan_gene_11550 2
pan_gene_11589 2
pan_gene_11611 3
pan_gene_11672 2
pan_gene_11680 3
pan_gene_11735 7
pan_gene_11751 10
pan_gene_11760 3
pan_gene_11833 3
pan_gene_11910 2
pan_gene_11949 3
pan_gene_11958 7
pan_gene_12033 11
pan_gene_12063 2
pan_gene_12115 3
pan_gene_12118 2
pan_gene_12125 2
pan_gene_1214 2
pan_gene_12158 3
pan_gene_12186 2
pan_gene_12218 3
pan_gene_12224 2
pan_gene_12295 3
pan_gene_12313 6
pan_gene_12318 3
pan_gene_12321 3
pan_gene_12322 3
pan_gene_12371 3
pan_gene_12392 4
pan_gene_12429 8
pan_gene_12452 4
pan_gene_12464 9
pan_gene_12493 4
pan_gene_12507 6
pan_gene_12511 2
pan_gene_12517 5
pan_gene_12527 9
pan_gene_12531 17
pan_gene_12543 7
pan_gene_12590 21
pan_gene_12599 4
pan_gene_12600 32
pan_gene_12643 5
pan_gene_12651 3
pan_gene_12654 5
pan_gene_12664 3
pan_gene_12843 3
pan_gene_12862 3
pan_gene_1295 6
pan_gene_12956 4
pan_gene_12994 2
pan_gene_13092 6
pan_gene_13183 5
pan_gene_13204 2
pan_gene_13358 3
pan_gene_13362 2
pan_gene_13394 2
pan_gene_13414 4
pan_gene_13415 3
pan_gene_13438 3
pan_gene_13477 3
pan_gene_1362 2
pan_gene_1367 3
pan_gene_13812 2
pan_gene_1389 3
pan_gene_1392 6
pan_gene_13935 11
pan_gene_1396 3
pan_gene_13975 4
pan_gene_13987 6
pan_gene_14011 6
pan_gene_14058 4
pan_gene_14094 3
pan_gene_14101 7
pan_gene_14103 3
pan_gene_14127 2
pan_gene_1413 7
pan_gene_1420 3
pan_gene_14303 4
pan_gene_14378 3
pan_gene_14412 2
pan_gene_1444 4
pan_gene_14522 5
pan_gene_14623 3
pan_gene_14624 3
pan_gene_14652 5
pan_gene_1471 5
pan_gene_14753 5
pan_gene_14764 4
pan_gene_14788 3
pan_gene_14831 5
pan_gene_14845 10
pan_gene_14919 3
pan_gene_14962 2
pan_gene_14976 5
pan_gene_15015 3
pan_gene_15039 6
pan_gene_15115 6
pan_gene_15142 3
pan_gene_15143 3
pan_gene_15144 2
pan_gene_1518 3
pan_gene_15234 2
pan_gene_15243 12
pan_gene_15358 3
pan_gene_15368 2
pan_gene_15434 3
pan_gene_15447 3
pan_gene_15453 19
pan_gene_15490 2
pan_gene_15526 5
pan_gene_15652 11
pan_gene_15678 4
pan_gene_15703 5
pan_gene_15746 3
pan_gene_15767 4
pan_gene_15829 3
pan_gene_15839 3
pan_gene_1604 5
pan_gene_16054 4
pan_gene_1606 4
pan_gene_16063 2
pan_gene_16091 3
pan_gene_16167 4
pan_gene_16216 6
pan_gene_16243 2
pan_gene_16254 2
pan_gene_16280 4
pan_gene_1630 7
pan_gene_1635 4
pan_gene_16373 4
pan_gene_16484 5
pan_gene_16505 4
pan_gene_16620 3
