pan,B73,B97,CML103,CML322,CML69,HP301,Il14H,Ki11,Ki3,Ky21,M37W,Mo18W,Ms71,NC350,NC358,Oh43,Oh7B,P39,Tx303,Tzi8
pan_gene_10,15.4067,13.0647,15.5807,NA,NA,NA,12.5626,NA,NA,NA,NA,NA,NA,28.041,10.5864,17.917,17.2689,16.1947,NA,13.1574
pan_gene_100,36.7266,51.7539,42.4654,53.7171,46.8038,40.701,51.9714,53.6074,55.4749,34.9217,52.7467,63.392,29.4535,42.4618,36.3464,42.9192,38.6652,47.3781,55.5172,60.1005
pan_gene_1000,14.0755,15.8401,14.2018,12.5668,12.4041,13.6463,10.9742,15.5262,NA,11.9349,12.3219,13.3757,10.7518,11.4446,16.1986,NA,16.4143,10.432,13.5779,NA
pan_gene_10000,0,0,0,0,0.0220308,0,0,0,0,0,0.135264,0,0.131144,0,0,0,1.38724,0,0.4311,0
pan_gene_10001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10003,164.301,156.783,139.868,146.573,164.242,156.776,171.476,167.038,153.161,113.689,90.0731,149.824,144.839,136.583,155.325,112.583,142.667,123.52,91.1221,158.722
pan_gene_100035,NA,NA,0.0974412,NA,NA,NA,NA,NA,NA,NA,NA,0.11955,0.262975,NA,NA,NA,NA,0.359284,NA,0.500688
pan_gene_10004,3.60391,4.87155,3.96853,3.26956,3.27898,NA,3.45352,4.57483,NA,NA,4.21778,4.07568,3.39179,3.6583,5.10109,NA,5.2659,NA,4.23603,4.34367
pan_gene_100046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_100050,NA,NA,12.6584,NA,NA,NA,1.14687,3.11489,3.04976,1.7898,9.46685,NA,2.62377,1.60195,7.04857,2.74468,8.98442,0.194156,NA,7.51432
pan_gene_100072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10008,0.056866,0.0225894,0,0.0164128,0.0159146,0,0,0,0,0.0164405,0,0,0,0,0,0,0.057877,0,0.118296,0
pan_gene_100080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42302,1.135,1.08402
pan_gene_100081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_10009,2.764,3.58492,2.62891,3.22132,3.11491,2.33977,3.58179,2.81904,NA,NA,2.85441,2.71048,4.45886,NA,6.68924,2.17847,4.41586,2.62291,NA,3.47149
