,B73,Tzi8,Ky21,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML69,Ki11,CML322,Ki3,CML103,Tx303,NC358,B97
pan_gene_8,13.1574,13.1574,NA,10.4571,17.2689,17.917,NA,12.8855,28.041,15.6179,12.5626,16.1947,11.9271,NA,NA,NA,15.5807,14.056,10.5864,13.0647
pan_gene_9,60.1005,60.1005,34.9217,29.4535,38.6652,42.9192,52.7467,63.392,42.4618,40.701,51.9714,47.3781,46.8038,53.6074,53.7171,55.4749,42.4654,55.5172,36.3464,51.7539
pan_gene_10,8.4313,NA,11.9349,10.7518,16.4143,NA,12.3219,13.3757,11.4446,13.6463,10.9742,10.432,12.4041,15.5262,12.5668,NA,14.2018,13.5779,16.1986,15.8401
pan_gene_11,0,0,0,0.131144,1.38724,0,0.135264,0,0,0,0,0,0.0220308,0,0,0,0,0.4311,0,0
pan_gene_12,0.317452,0.317452,1.15197,1.28766,2.51907,NA,1.13194,1.49265,4.64187,1.76233,0.055468,1.40797,0.955159,1.41372,1.18334,1.0983,NA,2.03506,2.19552,NA
pan_gene_13,NA,12.4659,NA,NA,NA,11.0427,14.6103,18.6539,12.1595,22.7727,9.47926,9.9376,12.1603,16.5972,16.0962,8.02877,16.2099,16.2624,NA,17.8192
pan_gene_14,NA,0,NA,NA,NA,0,NA,NA,43.676,NA,NA,NA,0,NA,NA,0.373246,NA,NA,NA,NA
pan_gene_15,NA,3.52585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07009,NA,6.76465,3.92232,NA,NA,NA
pan_gene_16,158.722,158.722,113.689,144.839,142.667,112.583,90.0731,149.824,136.583,156.776,171.476,123.52,164.242,167.038,146.573,153.161,139.868,91.1221,155.325,156.783
pan_gene_17,NA,0.500688,NA,0.262975,NA,NA,NA,0.11955,NA,NA,NA,0.359284,NA,NA,NA,NA,0.0974412,NA,NA,NA
pan_gene_18,4.34367,4.34367,NA,3.39179,5.2659,NA,4.21778,4.07568,3.6583,4.95991,3.45352,4.52815,3.27898,4.57483,3.26956,NA,3.96853,4.23603,5.10109,4.87155
pan_gene_19,NA,0,NA,NA,NA,NA,0,0,0.0328654,NA,NA,NA,0,NA,NA,0,0,NA,NA,0
pan_gene_20,NA,7.51432,1.7898,2.62377,8.98442,2.74468,9.46685,NA,1.60195,NA,1.14687,0.194156,NA,3.11489,NA,3.04976,12.6584,NA,7.04857,NA
pan_gene_21,NA,0.375003,NA,NA,0.273659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_23,0,0,0.0164405,0,0.057877,0,0,0,0,0,0,0,0.0159146,0,0.0164128,0,0,0.118296,0,0.0225894
pan_gene_24,NA,1.08402,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42302,NA,NA,NA,NA,NA,1.135,NA,NA
pan_gene_25,NA,0,NA,0,NA,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA
pan_gene_26,3.47149,3.47149,NA,4.45886,4.41586,2.17847,2.85441,2.71048,NA,2.33977,3.58179,2.62291,3.11491,2.81904,3.22132,NA,2.62891,NA,6.68924,3.58492
pan_gene_27,NA,0,NA,0.147161,0,0,0.483213,NA,NA,NA,NA,NA,0,0,0.693107,0,NA,NA,0,NA
pan_gene_28,5.8757,5.8757,4.93325,8.57345,7.34592,6.48422,7.67247,7.20004,5.689,NA,6.76728,6.11627,NA,10.4123,7.37505,8.63921,8.09674,NA,8.58556,8.5612
pan_gene_29,NA,573.361,254.528,290.723,328.189,144.893,559.576,343.761,NA,NA,NA,399.431,NA,NA,NA,NA,NA,NA,NA,478.473
pan_gene_30,NA,0.284874,0.0551523,0.239674,0.126972,0.302369,0,0,0.12903,0.114427,0,0.384266,0.508476,0,0.0316256,0.169921,0.0883218,0.211904,0.227075,1.28506
pan_gene_31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_32,NA,4.33225,NA,NA,NA,NA,5.21234,5.61864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_33,31.2023,31.2023,25.7697,26.6784,35.1341,30.1113,22.8247,28.6513,27.1018,27.0901,20.3516,28.7079,24.008,29.2548,21.3071,16.9138,27.7697,20.9453,31.9933,24.4831
pan_gene_36,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
pan_gene_38,NA,0.560592,0.147729,NA,0.176249,0.258694,1.02683,0.66834,1.05169,NA,0.589821,1.12718,NA,0.354751,0.883711,0,1.42345,NA,NA,0.823331
pan_gene_39,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_40,NA,NA,0.0862953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833541,NA,NA,NA,2.24428,NA,NA
pan_gene_41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_42,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_44,NA,0.285877,NA,NA,1.06696,NA,0.713856,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773616,NA,NA,NA
pan_gene_45,NA,0.884754,NA,NA,NA,NA,NA,NA,1.39133,2.48438,NA,2.87028,NA,NA,NA,NA,3.00171,1.37316,2.24967,0.573274
pan_gene_46,NA,0.0639558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112222,NA,NA
pan_gene_47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
pan_gene_48,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pan_gene_49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_50,1.50969,1.50969,2.38317,1.32008,1.9898,2.53083,1.3349,1.00116,0.902906,0.520029,1.63136,0.925769,2.51839,1.75979,1.834,1.11228,3.10656,1.98589,1.45097,2.66683
pan_gene_51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_53,NA,NA,6.34322,4.88956,7.73741,8.27642,NA,4.0112,7.34061,6.50412,NA,NA,8.128,8.5762,5.42567,6.46488,6.40799,0.384068,7.25393,11.3238
pan_gene_54,NA,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,0.0273804,NA,NA
pan_gene_55,NA,0,0,0,0,NA,0,0,0.0368093,0,0,0,0,0,0,0,0,0.123257,0,0
pan_gene_56,NA,29.3349,128.021,114.224,163.25,NA,20.5973,65.0926,35.5982,23.4442,59.9774,220.327,28.8897,39.9131,40.1875,26.3491,21.6997,51.812,55.6274,16.8202
pan_gene_57,NA,16.3659,14.3007,16.7747,14.6708,10.52,13.5847,NA,11.5179,15.21,17.3458,NA,13.7764,16.8738,NA,12.0702,NA,16.2369,14.907,16.1722
pan_gene_58,NA,8.27325,19.716,NA,NA,32.2069,NA,NA,NA,NA,12.676,NA,NA,NA,NA,NA,NA,55.5949,NA,NA
pan_gene_60,NA,0.0873974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pan_gene_62,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.647564
