,pan,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97
1,pan_gene_10,0.422,0.6137,NA,0.3771,NA,0.4316,0.4347,NA,NA,0.3534,NA,0.5035,0.4103,NA,NA,NA,NA,NA,NA,NA,0.4212,NA,0.4075,NA,0.4383,0.452
2,pan_gene_100,0.3878,0.4145,0.3282,0.2614,0.4843,0.361,0.4745,0.3533,0.367,0.2951,0.345,0.4936,0.4234,0.3429,0.381,0.4623,0.6296,0.2387,NA,0.2775,0.1576,0.37,0.2674,0.354,0.3273,0.3357
3,pan_gene_1000,0.4548,NA,0.451,0.4015,0.4975,0.4642,NA,0.4961,0.5572,0.4495,0.5153,0.4424,0.6304,0.4362,0.4548,0.5935,0.4203,0.4062,0.4861,0.4995,0.4224,NA,0.5841,0.5187,0.4264,0.4899
9,pan_gene_10003,0.7146,0.6909,0.6504,0.5619,0.538,0.5657,0.5747,0.344,0.5654,0.6467,0.6042,0.6873,0.6081,0.566,0.5464,0.4774,0.5979,0.447,0.7266,0.6012,0.6203,0.5332,0.4951,0.6218,0.6271,0.5495
18,pan_gene_10009,0.4605,0.3708,NA,NA,0.3174,0.3395,0.3818,0.3419,0.3739,NA,0.4191,0.5152,0.5488,0.3413,0.3613,0.4233,0.3766,0.2863,0.517,0.3795,0.332,NA,0.3771,NA,0.3298,0.4144
25,pan_gene_10013,0.494,0.5863,0.4147,0.6094,0.6279,0.485,0.52,0.6883,0.578,0.5298,0.6157,0.5539,0.4978,0.5378,0.5988,0.6221,0.3392,0.4009,0.6518,0.44,0.5245,0.5636,0.5346,0.6269,0.5506,0.5637
38,pan_gene_1002,0.2419,0.1389,0.0365,0.0176,0,0.0314,0,0.289,0.0076,0.1719,0.1023,0.1029,0.0558,0.2598,0.3133,0.228,0.1976,0.0379,0.0762,0.0075,0.0418,0.1258,0.2667,0.2339,0.2291,0.0604
45,pan_gene_100245,NA,0.2583,0.1887,0.3374,0.2886,0.4361,0.1311,0.3939,NA,0.3622,0.2421,0.2458,NA,0.2857,0.4479,0.2204,0.3373,0.1837,0.2594,NA,NA,0.3658,NA,0.3057,0.3286,0.321
86,pan_gene_100540,NA,0,0.0032,0.0031,0.0023,NA,NA,0.0011,0.0036,NA,0.0024,NA,NA,0.2146,8e-04,NA,7e-04,NA,0.0039,NA,NA,0.0012,0,NA,0.0027,NA
98,pan_gene_100634,NA,0.2185,0.092,NA,0.2255,0.3156,0.1187,0.285,0.1741,NA,0.1233,0.1873,0.4538,0.1268,0.0632,0.2017,0.2754,0.0587,0.1846,0.2146,0.0343,0.2549,0.0898,0.3847,0.158,0.1747
