,pan,B73,Tzi8,Ky21,M162W,Ms71,Oh7B,Oh43,M37W,Mo18W,NC350,HP301,Il14H,P39,CML52,CML69,Ki11,CML228,CML247,CML277,CML322,CML333,Ki3,CML103,Tx303,NC358,B97
5,pan_gene_10001,0.0987,0.3703,0.1863,0.1117,0.1131,0.075,NA,0.0688,0.0749,0.0522,0.137,0.3413,0.1678,NA,0.1818,0.1394,0.1612,NA,0.1466,0.1286,0.0688,0.0814,NA,0.0549,0.0641,NA
35,pan_gene_100169,NA,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685,NA,NA,NA
42,pan_gene_100236,NA,0.7342,0.6474,NA,0.6574,NA,NA,NA,0.777,NA,NA,NA,0.7038,NA,0.6648,NA,NA,NA,NA,0.6545,NA,NA,NA,0.5634,NA,NA
102,pan_gene_100639,NA,0,NA,0.0026,0.7552,0.7543,NA,0.82,NA,NA,0.0016,0.7332,0.75,0.7503,0.0063,NA,0,0.0127,0.0062,0,0.0047,0.0069,0.7795,NA,0.0096,0.7652
128,pan_gene_100812,NA,NA,NA,NA,NA,0.7287,0.5483,NA,NA,0.3371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4695,NA,NA,NA,NA,NA
171,pan_gene_100994,0.1344,NA,NA,NA,NA,NA,NA,NA,0.0867,NA,0.3415,NA,NA,0.1646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,pan_gene_10115,0.0077,0.0045,0.1153,0,0.28,0,0.3228,0.2596,0.4182,0.2685,0.0236,0.0135,0.3055,0.0051,0.3616,0,0.0069,0.0073,0.0197,0.0096,0.3034,0.0042,0.0039,0.1724,0,0.216
217,pan_gene_101163,NA,NA,NA,NA,0.029,0.0321,0.0546,NA,NA,NA,NA,NA,NA,0.244,0.0503,0.038,NA,0.0458,0.0368,0.0135,0.0295,NA,NA,NA,NA,0.043
249,pan_gene_101345,NA,NA,NA,NA,NA,NA,NA,0.7351,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,pan_gene_101354,NA,NA,NA,0.1677,NA,NA,NA,NA,0.4796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,pan_gene_101355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839,NA,NA,NA,NA,NA,NA,NA,NA,0.6111
267,pan_gene_101395,NA,0.7357,NA,NA,NA,NA,0.043,0.5232,NA,NA,NA,NA,0.5536,NA,NA,0.7391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,pan_gene_10144,0.0021,NA,0,0,0.0028,0.0013,0.0114,NA,0.0038,0.0038,0.0032,0.0016,0.0093,0.5951,0.5051,0.0025,0.0026,NA,0.0044,0.0088,NA,0.0026,0.0095,0.0113,0.0017,0.0023
326,pan_gene_10167,NA,0.7447,0.3112,0.7048,0.5733,0.6271,0.6951,0.6561,NA,0.6576,0.7005,0.6483,0.6456,0.6574,0.698,0.7008,0.7586,0.6942,0.671,0.6441,0.66,NA,0.6981,0.6622,0.6197,0.3879
