gene,pan,class
Zm00022ab000070,pan_gene_1,Dispensable Gene
Zm00022ab000100,pan_gene_2,Near-Core Gene
Zm00022ab000110,pan_gene_3,Near-Core Gene
gmap_ID=chr1:243334-244096,pan_gene_4,Dispensable Gene
Zm00022ab000120,pan_gene_5,Near-Core Gene
Zm00022ab000140,pan_gene_7,Near-Core Gene
Zm00022ab000180,pan_gene_8,Core Gene
Zm00022ab000170,pan_gene_9,Core Gene
Zm00022ab000410,pan_gene_10,Core Gene
Zm00022ab000190,pan_gene_11,Core Gene
Zm00022ab000420,pan_gene_12,Core Gene
Zm00022ab000430,pan_gene_13,Core Gene
Zm00022ab000450,pan_gene_14,Core Gene
Zm00022ab000460,pan_gene_15,Core Gene
gmap_ID=chr1:3136781-3139853,pan_gene_16,Core Gene
gmap_ID=chr1:3314437-3316064,pan_gene_17,Core Gene
Zm00022ab000520,pan_gene_18,Core Gene
Zm00022ab000530,pan_gene_19,Core Gene
Zm00022ab000540,pan_gene_20,Core Gene
Zm00022ab000550,pan_gene_21,Core Gene
Zm00022ab000570,pan_gene_23,Core Gene
Zm00022ab000610,pan_gene_24,Core Gene
Zm00022ab000620,pan_gene_25,Core Gene
Zm00022ab000630,pan_gene_26,Core Gene
Zm00022ab000650,pan_gene_27,Core Gene
Zm00022ab000700,pan_gene_28,Core Gene
Zm00022ab000710,pan_gene_29,Core Gene
Zm00022ab000720,pan_gene_30,Core Gene
Zm00022ab000730,pan_gene_31,Core Gene
Zm00022ab000740,pan_gene_32,Core Gene
Zm00022ab000750,pan_gene_33,Core Gene
gmap_ID=chr1:4371866-4372183,pan_gene_34,Dispensable Gene
Zm00022ab000770,pan_gene_35,Near-Core Gene
Zm00022ab000800,pan_gene_36,Core Gene
Zm00022ab000820,pan_gene_38,Core Gene
Zm00022ab000830,pan_gene_39,Core Gene
Zm00022ab000840,pan_gene_40,Core Gene
Zm00022ab000850,pan_gene_41,Core Gene
Zm00022ab000860,pan_gene_42,Core Gene
Zm00022ab000870,pan_gene_43,Dispensable Gene
Zm00022ab000880,pan_gene_44,Core Gene
Zm00022ab000900,pan_gene_45,Core Gene
Zm00022ab000910,pan_gene_46,Core Gene
Zm00022ab000920,pan_gene_47,Core Gene
Zm00022ab000930,pan_gene_48,Core Gene
Zm00022ab000940,pan_gene_49,Core Gene
Zm00022ab000950,pan_gene_50,Core Gene
Zm00022ab000960,pan_gene_51,Core Gene
Zm00022ab000970,pan_gene_52,Core Gene
Zm00022ab000980,pan_gene_53,Core Gene
Zm00022ab001000,pan_gene_54,Core Gene
Zm00022ab001010,pan_gene_55,Core Gene
Zm00022ab001020,pan_gene_56,Core Gene
Zm00022ab001030,pan_gene_57,Core Gene
Zm00022ab001040,pan_gene_58,Core Gene
Zm00022ab001050,pan_gene_59,Dispensable Gene
Zm00022ab001060,pan_gene_60,Core Gene
Zm00022ab001070,pan_gene_62,Core Gene
Zm00022ab001080,pan_gene_63,Core Gene
Zm00022ab001090,pan_gene_64,Core Gene
Zm00022ab001110,pan_gene_65,Core Gene
Zm00022ab001120,pan_gene_66,Core Gene
Zm00022ab001140,pan_gene_67,Core Gene
Zm00022ab001160,pan_gene_68,Core Gene
Zm00022ab001170,pan_gene_69,Core Gene
Zm00022ab001180,pan_gene_70,Core Gene
Zm00022ab001190,pan_gene_71,Core Gene
