gene,pan,class,copy
gmap_ID=chr1:169084-169443,pan_gene_1,Dispensable Gene,1
Zm00037ab000070,pan_gene_2,Near-Core Gene,1
Zm00037ab000110,pan_gene_3,Near-Core Gene,1
Zm00037ab000120,pan_gene_5,Near-Core Gene,1
Zm00037ab000140,pan_gene_7,Near-Core Gene,1
Zm00037ab000190,pan_gene_8,Core Gene,1
Zm00037ab000200,pan_gene_9,Core Gene,1
Zm00037ab000230,pan_gene_10,Core Gene,1
Zm00037ab000220,pan_gene_11,Core Gene,1
Zm00037ab000240,pan_gene_12,Core Gene,1
Zm00037ab000250,pan_gene_13,Core Gene,1
Zm00037ab000270,pan_gene_14,Core Gene,1
Zm00037ab000280,pan_gene_15,Core Gene,1
Zm00037ab000310,pan_gene_16,Core Gene,1
Zm00037ab000340,pan_gene_17,Core Gene,1
Zm00037ab000350,pan_gene_18,Core Gene,1
Zm00037ab000360,pan_gene_19,Core Gene,1
Zm00037ab000370,pan_gene_20,Core Gene,1
Zm00037ab000390,pan_gene_21,Core Gene,1
Zm00037ab000400,pan_gene_23,Core Gene,2
Zm00037ab000420,pan_gene_24,Core Gene,1
Zm00037ab000430,pan_gene_25,Core Gene,1
Zm00037ab000440,pan_gene_26,Core Gene,1
Zm00037ab000450,pan_gene_27,Core Gene,1
Zm00037ab000490,pan_gene_28,Core Gene,1
Zm00037ab000500,pan_gene_29,Core Gene,1
Zm00037ab000510,pan_gene_30,Core Gene,1
Zm00037ab000520,pan_gene_31,Core Gene,1
Zm00037ab000530,pan_gene_32,Core Gene,1
Zm00037ab000540,pan_gene_33,Core Gene,1
gmap_ID=chr1:2276074-2276391,pan_gene_34,Dispensable Gene,1
Zm00037ab000550,pan_gene_35,Near-Core Gene,1
Zm00037ab000560,pan_gene_36,Core Gene,1
Zm00037ab000570,pan_gene_37,Dispensable Gene,1
Zm00037ab000580,pan_gene_38,Core Gene,1
Zm00037ab000590,pan_gene_39,Core Gene,1
Zm00037ab000610,pan_gene_40,Core Gene,1
Zm00037ab000620,pan_gene_41,Core Gene,1
Zm00037ab000630,pan_gene_42,Core Gene,1
Zm00037ab000640,pan_gene_44,Core Gene,1
Zm00037ab000660,pan_gene_45,Core Gene,1
Zm00037ab000670,pan_gene_46,Core Gene,1
Zm00037ab000680,pan_gene_47,Core Gene,1
Zm00037ab000690,pan_gene_48,Core Gene,1
Zm00037ab000700,pan_gene_49,Core Gene,1
Zm00037ab000710,pan_gene_50,Core Gene,1
Zm00037ab000720,pan_gene_51,Core Gene,1
Zm00037ab000730,pan_gene_52,Core Gene,1
Zm00037ab000740,pan_gene_53,Core Gene,1
Zm00037ab000750,pan_gene_54,Core Gene,1
Zm00037ab000760,pan_gene_55,Core Gene,1
Zm00037ab000770,pan_gene_56,Core Gene,1
Zm00037ab000780,pan_gene_57,Core Gene,1
Zm00037ab000800,pan_gene_58,Core Gene,1
Zm00037ab000810,pan_gene_59,Dispensable Gene,1
Zm00037ab000820,pan_gene_60,Core Gene,1
Zm00037ab000830,pan_gene_62,Core Gene,1
gmap_ID=chr1:3093407-3093703,pan_gene_63,Core Gene,1
Zm00037ab000870,pan_gene_64,Core Gene,1
Zm00037ab000880,pan_gene_65,Core Gene,1
Zm00037ab000890,pan_gene_66,Core Gene,1
Zm00037ab000900,pan_gene_67,Core Gene,1
Zm00037ab000910,pan_gene_68,Core Gene,1
Zm00037ab000920,pan_gene_69,Core Gene,1
Zm00037ab000930,pan_gene_70,Core Gene,1
Zm00037ab000940,pan_gene_71,Core Gene,1
Zm00037ab000960,pan_gene_72,Core Gene,1
Zm00037ab000970,pan_gene_73,Core Gene,1
Zm00037ab000980,pan_gene_74,Core Gene,1
Zm00037ab000990,pan_gene_75,Core Gene,1
Zm00037ab001000,pan_gene_76,Core Gene,1
Zm00037ab001010,pan_gene_77,Core Gene,1
Zm00037ab001020,pan_gene_78,Core Gene,1
Zm00037ab001030,pan_gene_79,Dispensable Gene,1
Zm00037ab001040,pan_gene_80,Core Gene,1
Zm00037ab001060,pan_gene_81,Core Gene,1
Zm00037ab001070,pan_gene_82,Core Gene,1
Zm00037ab001080,pan_gene_83,Core Gene,1
gmap_ID=chr1:3588961-3589254,pan_gene_84,Near-Core Gene,1
Zm00037ab001110,pan_gene_86,Core Gene,1
Zm00037ab001120,pan_gene_87,Core Gene,1
Zm00037ab001130,pan_gene_88,Core Gene,1
Zm00037ab001140,pan_gene_89,Core Gene,1
Zm00037ab001150,pan_gene_90,Core Gene,1
Zm00037ab001170,pan_gene_91,Core Gene,1
Zm00037ab001180,pan_gene_92,Core Gene,1
Zm00037ab001190,pan_gene_93,Core Gene,1
Zm00037ab001200,pan_gene_94,Core Gene,1
Zm00037ab001210,pan_gene_95,Core Gene,1
Zm00037ab001220,pan_gene_96,Core Gene,1
Zm00037ab001230,pan_gene_97,Near-Core Gene,1
Zm00037ab001240,pan_gene_98,Core Gene,1
Zm00037ab001250,pan_gene_99,Dispensable Gene,1
Zm00037ab001260,pan_gene_100,Core Gene,1
Zm00037ab001270,pan_gene_101,Core Gene,1
Zm00037ab001280,pan_gene_102,Core Gene,1
Zm00037ab001290,pan_gene_103,Core Gene,1
Zm00037ab001300,pan_gene_108,Core Gene,2
Zm00037ab001330,pan_gene_109,Core Gene,2
Zm00037ab001350,pan_gene_110,Core Gene,1
Zm00037ab001370,pan_gene_113,Core Gene,1
Zm00037ab001380,pan_gene_114,Core Gene,1
Zm00037ab001400,pan_gene_115,Core Gene,1
Zm00037ab001410,pan_gene_116,Core Gene,1
Zm00037ab001420,pan_gene_117,Core Gene,1
Zm00037ab001440,pan_gene_118,Core Gene,1
Zm00037ab001430,pan_gene_119,Core Gene,1
Zm00037ab001460,pan_gene_120,Core Gene,1
gmap_ID=chr1:4472445-4474294,pan_gene_121,Near-Core Gene,1
Zm00037ab001470,pan_gene_122,Core Gene,2
Zm00037ab001490,pan_gene_123,Core Gene,1
Zm00037ab001550,pan_gene_124,Core Gene,1
Zm00037ab001560,pan_gene_125,Core Gene,1
Zm00037ab001570,pan_gene_126,Dispensable Gene,1
Zm00037ab001580,pan_gene_127,Core Gene,1
Zm00037ab001590,pan_gene_128,Core Gene,1
Zm00037ab001610,pan_gene_130,Core Gene,2
Zm00037ab001640,pan_gene_131,Core Gene,1
Zm00037ab001650,pan_gene_132,Core Gene,1
Zm00037ab001680,pan_gene_133,Core Gene,1
Zm00037ab001690,pan_gene_134,Core Gene,1
Zm00037ab001700,pan_gene_135,Core Gene,1
Zm00037ab001710,pan_gene_136,Core Gene,1
Zm00037ab001720,pan_gene_137,Core Gene,1
Zm00037ab001730,pan_gene_138,Core Gene,1
Zm00037ab001740,pan_gene_139,Core Gene,1
gmap_ID=chr1:5330069-5339674,pan_gene_140,Near-Core Gene,1
Zm00037ab001790,pan_gene_141,Core Gene,1
Zm00037ab001810,pan_gene_142,Core Gene,1
Zm00037ab001840,pan_gene_143,Core Gene,1
Zm00037ab001850,pan_gene_146,Core Gene,1
Zm00037ab001860,pan_gene_147,Core Gene,1
Zm00037ab001870,pan_gene_148,Core Gene,1
Zm00037ab001880,pan_gene_149,Core Gene,1
Zm00037ab001910,pan_gene_150,Core Gene,1
Zm00037ab001920,pan_gene_151,Core Gene,1
Zm00037ab001930,pan_gene_152,Core Gene,1
Zm00037ab001940,pan_gene_153,Core Gene,1
Zm00037ab001950,pan_gene_154,Core Gene,1
Zm00037ab001970,pan_gene_155,Core Gene,2
Zm00037ab002000,pan_gene_156,Core Gene,1
Zm00037ab002020,pan_gene_157,Core Gene,1
Zm00037ab002040,pan_gene_158,Core Gene,1
Zm00037ab002050,pan_gene_159,Core Gene,2
Zm00037ab002070,pan_gene_160,Core Gene,1
Zm00037ab002080,pan_gene_161,Core Gene,1
Zm00037ab002090,pan_gene_162,Core Gene,1
Zm00037ab002100,pan_gene_163,Core Gene,1
Zm00037ab002110,pan_gene_164,Core Gene,1
Zm00037ab002120,pan_gene_165,Core Gene,1
Zm00037ab002130,pan_gene_166,Core Gene,1
Zm00037ab002140,pan_gene_168,Core Gene,1
Zm00037ab002160,pan_gene_169,Core Gene,1
gmap_ID=chr1:6209428-6209848,pan_gene_170,Core Gene,1
Zm00037ab002170,pan_gene_171,Core Gene,1
Zm00037ab002180,pan_gene_172,Core Gene,1
Zm00037ab002220,pan_gene_174,Core Gene,1
Zm00037ab002230,pan_gene_175,Core Gene,1
Zm00037ab002240,pan_gene_176,Core Gene,1
Zm00037ab002250,pan_gene_177,Core Gene,2
gmap_ID=chr1:6429642-6430031,pan_gene_178,Dispensable Gene,1
Zm00037ab002270,pan_gene_179,Core Gene,1
Zm00037ab002290,pan_gene_180,Core Gene,1
Zm00037ab002300,pan_gene_181,Core Gene,1
Zm00037ab002310,pan_gene_182,Core Gene,1
Zm00037ab002330,pan_gene_183,Core Gene,1
gmap_ID=chr1:6537612-6537971,pan_gene_184,Near-Core Gene,1
Zm00037ab002340,pan_gene_185,Core Gene,1
Zm00037ab002350,pan_gene_186,Core Gene,2
Zm00037ab002370,pan_gene_187,Core Gene,1
Zm00037ab002390,pan_gene_188,Core Gene,1
Zm00037ab002400,pan_gene_189,Core Gene,1
Zm00037ab002410,pan_gene_190,Dispensable Gene,1
Zm00037ab002420,pan_gene_191,Core Gene,1
Zm00037ab002430,pan_gene_192,Near-Core Gene,1
Zm00037ab002440,pan_gene_193,Near-Core Gene,1
Zm00037ab002450,pan_gene_194,Core Gene,1
Zm00037ab002460,pan_gene_195,Core Gene,1
Zm00037ab002470,pan_gene_196,Core Gene,1
Zm00037ab002520,pan_gene_197,Core Gene,1
Zm00037ab002530,pan_gene_198,Core Gene,1
Zm00037ab002590,pan_gene_199,Core Gene,2
Zm00037ab002620,pan_gene_200,Core Gene,1
Zm00037ab002630,pan_gene_201,Core Gene,1
Zm00037ab002640,pan_gene_202,Core Gene,1
Zm00037ab002650,pan_gene_203,Core Gene,1
Zm00037ab002670,pan_gene_204,Core Gene,1
Zm00037ab002680,pan_gene_205,Core Gene,1
Zm00037ab002690,pan_gene_206,Core Gene,1
Zm00037ab002700,pan_gene_207,Core Gene,1
Zm00037ab002710,pan_gene_208,Core Gene,1
Zm00037ab002720,pan_gene_209,Core Gene,1
Zm00037ab002730,pan_gene_210,Core Gene,1
Zm00037ab002740,pan_gene_211,Core Gene,1
Zm00037ab002750,pan_gene_212,Core Gene,1
Zm00037ab002760,pan_gene_214,Core Gene,1
Zm00037ab002780,pan_gene_215,Core Gene,1
Zm00037ab002790,pan_gene_216,Core Gene,1
Zm00037ab002800,pan_gene_217,Core Gene,3
Zm00037ab002830,pan_gene_218,Core Gene,1
Zm00037ab002850,pan_gene_219,Dispensable Gene,1
Zm00037ab002860,pan_gene_220,Core Gene,1
Zm00037ab002880,pan_gene_222,Core Gene,3
Zm00037ab002900,pan_gene_223,Core Gene,1
Zm00037ab002910,pan_gene_224,Core Gene,1
Zm00037ab002920,pan_gene_225,Near-Core Gene,1
Zm00037ab002950,pan_gene_226,Core Gene,1
Zm00037ab002960,pan_gene_227,Core Gene,1
Zm00037ab002970,pan_gene_228,Core Gene,1
Zm00037ab002980,pan_gene_229,Dispensable Gene,1
Zm00037ab003030,pan_gene_230,Core Gene,1
Zm00037ab003040,pan_gene_231,Core Gene,2
Zm00037ab003060,pan_gene_232,Core Gene,1
Zm00037ab003080,pan_gene_233,Core Gene,1
