gene,pan,class
Zm00035ab000070,pan_gene_1,Dispensable Gene
Zm00035ab000090,pan_gene_2,Near-Core Gene
gmap_ID=chr1:219468-222299,pan_gene_3,Near-Core Gene
gmap_ID=chr1:280474-281236,pan_gene_4,Dispensable Gene
Zm00035ab000100,pan_gene_5,Near-Core Gene
Zm00035ab000120,pan_gene_7,Near-Core Gene
Zm00035ab000190,pan_gene_8,Core Gene
Zm00035ab000180,pan_gene_9,Core Gene
Zm00035ab000210,pan_gene_10,Core Gene
Zm00035ab000200,pan_gene_11,Core Gene
Zm00035ab000230,pan_gene_12,Core Gene
Zm00035ab000240,pan_gene_13,Core Gene
Zm00035ab000250,pan_gene_14,Core Gene
Zm00035ab000260,pan_gene_15,Core Gene
gmap_ID=chr1:1287172-1290126,pan_gene_16,Core Gene
Zm00035ab000310,pan_gene_17,Core Gene
Zm00035ab000320,pan_gene_18,Core Gene
Zm00035ab000330,pan_gene_19,Core Gene
Zm00035ab000340,pan_gene_20,Core Gene
Zm00035ab000350,pan_gene_21,Core Gene
Zm00035ab000360,pan_gene_23,Core Gene
Zm00035ab000400,pan_gene_24,Core Gene
Zm00035ab000430,pan_gene_25,Core Gene
Zm00035ab000420,pan_gene_26,Core Gene
Zm00035ab000440,pan_gene_27,Core Gene
Zm00035ab000490,pan_gene_28,Core Gene
Zm00035ab000500,pan_gene_29,Core Gene
Zm00035ab000520,pan_gene_30,Core Gene
Zm00035ab000530,pan_gene_31,Core Gene
Zm00035ab000540,pan_gene_32,Core Gene
Zm00035ab000550,pan_gene_33,Core Gene
gmap_ID=chr1:2384646-2384963,pan_gene_34,Dispensable Gene
Zm00035ab000570,pan_gene_35,Near-Core Gene
Zm00035ab000580,pan_gene_36,Core Gene
Zm00035ab000590,pan_gene_37,Dispensable Gene
Zm00035ab000600,pan_gene_38,Core Gene
Zm00035ab000610,pan_gene_39,Core Gene
Zm00035ab000640,pan_gene_40,Core Gene
Zm00035ab000650,pan_gene_41,Core Gene
Zm00035ab000680,pan_gene_42,Core Gene
Zm00035ab000690,pan_gene_43,Dispensable Gene
Zm00035ab000710,pan_gene_44,Core Gene
Zm00035ab000730,pan_gene_45,Core Gene
Zm00035ab000740,pan_gene_46,Core Gene
Zm00035ab000750,pan_gene_47,Core Gene
Zm00035ab000760,pan_gene_48,Core Gene
Zm00035ab000770,pan_gene_49,Core Gene
Zm00035ab000780,pan_gene_50,Core Gene
Zm00035ab000800,pan_gene_51,Core Gene
Zm00035ab000810,pan_gene_52,Core Gene
Zm00035ab000820,pan_gene_53,Core Gene
Zm00035ab000840,pan_gene_54,Core Gene
Zm00035ab000850,pan_gene_55,Core Gene
Zm00035ab000860,pan_gene_56,Core Gene
Zm00035ab000870,pan_gene_57,Core Gene
Zm00035ab000880,pan_gene_58,Core Gene
Zm00035ab000890,pan_gene_59,Dispensable Gene
Zm00035ab000900,pan_gene_60,Core Gene
gmap_ID=chr1:3201375-3202703,pan_gene_61,Dispensable Gene
Zm00035ab000910,pan_gene_62,Core Gene
Zm00035ab000930,pan_gene_63,Core Gene
Zm00035ab000940,pan_gene_64,Core Gene
Zm00035ab000950,pan_gene_65,Core Gene
Zm00035ab000960,pan_gene_66,Core Gene
Zm00035ab000970,pan_gene_67,Core Gene
Zm00035ab000990,pan_gene_68,Core Gene
Zm00035ab001000,pan_gene_69,Core Gene
Zm00035ab001020,pan_gene_70,Core Gene
Zm00035ab001030,pan_gene_71,Core Gene
Zm00035ab001060,pan_gene_72,Core Gene
Zm00035ab001070,pan_gene_73,Core Gene
Zm00035ab001080,pan_gene_74,Core Gene
Zm00035ab001090,pan_gene_75,Core Gene
Zm00035ab001100,pan_gene_76,Core Gene
Zm00035ab001110,pan_gene_77,Core Gene
Zm00035ab001120,pan_gene_78,Core Gene
Zm00035ab001130,pan_gene_80,Core Gene
Zm00035ab001140,pan_gene_81,Core Gene
Zm00035ab001150,pan_gene_82,Core Gene
Zm00035ab001170,pan_gene_83,Core Gene
gmap_ID=chr1:3841290-3841583,pan_gene_84,Near-Core Gene
gmap_ID=chr1:3910272-3910811,pan_gene_85,Dispensable Gene
Zm00035ab001220,pan_gene_86,Core Gene
Zm00035ab001230,pan_gene_87,Core Gene
Zm00035ab001240,pan_gene_88,Core Gene
Zm00035ab001250,pan_gene_89,Core Gene
Zm00035ab001260,pan_gene_90,Core Gene
Zm00035ab001270,pan_gene_91,Core Gene
Zm00035ab001280,pan_gene_92,Core Gene
Zm00035ab001290,pan_gene_93,Core Gene
Zm00035ab001300,pan_gene_94,Core Gene
Zm00035ab001310,pan_gene_95,Core Gene
Zm00035ab001320,pan_gene_96,Core Gene
gmap_ID=chr1:4109241-4109576,pan_gene_97,Near-Core Gene
Zm00035ab001330,pan_gene_98,Core Gene
Zm00035ab001340,pan_gene_99,Dispensable Gene
Zm00035ab001350,pan_gene_100,Core Gene
Zm00035ab001360,pan_gene_101,Core Gene
Zm00035ab001370,pan_gene_102,Core Gene
Zm00035ab001380,pan_gene_103,Core Gene
Zm00035ab001420,pan_gene_108,Core Gene
Zm00035ab001460,pan_gene_109,Core Gene
Zm00035ab001480,pan_gene_110,Core Gene
gmap_ID=chr1:4358179-4358568,pan_gene_111,Dispensable Gene
Zm00035ab001500,pan_gene_112,Dispensable Gene
Zm00035ab001510,pan_gene_113,Core Gene
Zm00035ab001520,pan_gene_114,Core Gene
Zm00035ab001540,pan_gene_115,Core Gene
Zm00035ab001560,pan_gene_116,Core Gene
Zm00035ab001570,pan_gene_117,Core Gene
Zm00035ab001590,pan_gene_118,Core Gene
Zm00035ab001580,pan_gene_119,Core Gene
Zm00035ab001610,pan_gene_120,Core Gene
Zm00035ab001620,pan_gene_121,Near-Core Gene
Zm00035ab001640,pan_gene_122,Core Gene
Zm00035ab001660,pan_gene_123,Core Gene
Zm00035ab001680,pan_gene_124,Core Gene
Zm00035ab001700,pan_gene_125,Core Gene
Zm00035ab001710,pan_gene_126,Dispensable Gene
Zm00035ab001720,pan_gene_127,Core Gene
Zm00035ab001740,pan_gene_128,Core Gene
Zm00035ab001750,pan_gene_130,Core Gene
Zm00035ab001760,pan_gene_131,Core Gene
Zm00035ab001770,pan_gene_132,Core Gene
Zm00035ab001800,pan_gene_133,Core Gene
Zm00035ab001820,pan_gene_134,Core Gene
Zm00035ab001850,pan_gene_135,Core Gene
Zm00035ab001860,pan_gene_136,Core Gene
Zm00035ab001870,pan_gene_137,Core Gene
Zm00035ab001880,pan_gene_138,Core Gene
Zm00035ab001890,pan_gene_139,Core Gene
Zm00035ab001900,pan_gene_140,Near-Core Gene
Zm00035ab001920,pan_gene_141,Core Gene
Zm00035ab001940,pan_gene_142,Core Gene
Zm00035ab001950,pan_gene_143,Core Gene
Zm00035ab001980,pan_gene_146,Core Gene
Zm00035ab001990,pan_gene_147,Core Gene
Zm00035ab002020,pan_gene_148,Core Gene
Zm00035ab002030,pan_gene_149,Core Gene
Zm00035ab002050,pan_gene_150,Core Gene
Zm00035ab002060,pan_gene_151,Core Gene
Zm00035ab002070,pan_gene_152,Core Gene
Zm00035ab002090,pan_gene_153,Core Gene
Zm00035ab002100,pan_gene_154,Core Gene
Zm00035ab002120,pan_gene_155,Core Gene
Zm00035ab002140,pan_gene_156,Core Gene
Zm00035ab002160,pan_gene_157,Core Gene
Zm00035ab002170,pan_gene_158,Core Gene
Zm00035ab002180,pan_gene_159,Core Gene
Zm00035ab002190,pan_gene_160,Core Gene
Zm00035ab002200,pan_gene_161,Core Gene
Zm00035ab002210,pan_gene_162,Core Gene
Zm00035ab002220,pan_gene_163,Core Gene
Zm00035ab002230,pan_gene_164,Core Gene
Zm00035ab002240,pan_gene_165,Core Gene
Zm00035ab002250,pan_gene_166,Core Gene
Zm00035ab002260,pan_gene_168,Core Gene
Zm00035ab002270,pan_gene_169,Core Gene
gmap_ID=chr1:6293934-6294345,pan_gene_170,Core Gene
Zm00035ab002280,pan_gene_171,Core Gene
Zm00035ab002290,pan_gene_172,Core Gene
Zm00035ab002340,pan_gene_174,Core Gene
Zm00035ab002350,pan_gene_175,Core Gene
Zm00035ab002360,pan_gene_176,Core Gene
Zm00035ab002370,pan_gene_177,Core Gene
Zm00035ab002380,pan_gene_179,Core Gene
Zm00035ab002400,pan_gene_180,Core Gene
Zm00035ab002410,pan_gene_181,Core Gene
Zm00035ab002420,pan_gene_182,Core Gene
Zm00035ab002440,pan_gene_183,Core Gene
gmap_ID=chr1:6823363-6823716,pan_gene_184,Near-Core Gene
Zm00035ab002450,pan_gene_185,Core Gene
Zm00035ab002460,pan_gene_186,Core Gene
Zm00035ab002470,pan_gene_187,Core Gene
Zm00035ab002480,pan_gene_188,Core Gene
Zm00035ab002520,pan_gene_189,Core Gene
Zm00035ab002530,pan_gene_190,Dispensable Gene
Zm00035ab002570,pan_gene_191,Core Gene
Zm00035ab002580,pan_gene_192,Near-Core Gene
Zm00035ab002600,pan_gene_193,Near-Core Gene
Zm00035ab002620,pan_gene_194,Core Gene
Zm00035ab002630,pan_gene_195,Core Gene
Zm00035ab002650,pan_gene_196,Core Gene
Zm00035ab002660,pan_gene_197,Core Gene
Zm00035ab002670,pan_gene_198,Core Gene
Zm00035ab002690,pan_gene_199,Core Gene
Zm00035ab002710,pan_gene_200,Core Gene
Zm00035ab002730,pan_gene_201,Core Gene
Zm00035ab002740,pan_gene_202,Core Gene
Zm00035ab002750,pan_gene_203,Core Gene
Zm00035ab002780,pan_gene_204,Core Gene
Zm00035ab002790,pan_gene_205,Core Gene
Zm00035ab002800,pan_gene_206,Core Gene
Zm00035ab002830,pan_gene_207,Core Gene
Zm00035ab002840,pan_gene_208,Core Gene
Zm00035ab002870,pan_gene_209,Core Gene
Zm00035ab002890,pan_gene_210,Core Gene
Zm00035ab002900,pan_gene_211,Core Gene
Zm00035ab002910,pan_gene_212,Core Gene
Zm00035ab002940,pan_gene_214,Core Gene
Zm00035ab002980,pan_gene_215,Core Gene
Zm00035ab002990,pan_gene_216,Core Gene
Zm00035ab003000,pan_gene_217,Core Gene
Zm00035ab003040,pan_gene_218,Core Gene
Zm00035ab003050,pan_gene_219,Dispensable Gene
Zm00035ab003060,pan_gene_220,Core Gene
Zm00035ab003080,pan_gene_222,Core Gene
Zm00035ab003100,pan_gene_223,Core Gene
Zm00035ab003130,pan_gene_224,Core Gene
Zm00035ab003140,pan_gene_225,Near-Core Gene
Zm00035ab003160,pan_gene_226,Core Gene
Zm00035ab003170,pan_gene_227,Core Gene
Zm00035ab003180,pan_gene_228,Core Gene
Zm00035ab003250,pan_gene_230,Core Gene
Zm00035ab003260,pan_gene_231,Core Gene
Zm00035ab003270,pan_gene_232,Core Gene
Zm00035ab003290,pan_gene_233,Core Gene
Zm00035ab003310,pan_gene_234,Core Gene
Zm00035ab003320,pan_gene_238,Core Gene
Zm00035ab003360,pan_gene_239,Core Gene
Zm00035ab003410,pan_gene_240,Core Gene
Zm00035ab003420,pan_gene_241,Core Gene
Zm00035ab003430,pan_gene_242,Core Gene
Zm00035ab003440,pan_gene_243,Dispensable Gene
Zm00035ab003460,pan_gene_244,Core Gene
Zm00035ab003500,pan_gene_245,Core Gene
Zm00035ab003520,pan_gene_246,Core Gene
Zm00035ab003530,pan_gene_247,Core Gene
Zm00035ab003540,pan_gene_248,Core Gene
Zm00035ab003550,pan_gene_250,Core Gene
Zm00035ab003560,pan_gene_251,Core Gene
Zm00035ab003570,pan_gene_252,Core Gene
Zm00035ab003580,pan_gene_253,Core Gene
Zm00035ab003630,pan_gene_254,Near-Core Gene
Zm00035ab003670,pan_gene_256,Core Gene
