gene,pan,class
Zm00034ab000080,pan_gene_1,Dispensable Gene
Zm00034ab000120,pan_gene_2,Near-Core Gene
Zm00034ab000180,pan_gene_5,Near-Core Gene
Zm00034ab000210,pan_gene_7,Near-Core Gene
Zm00034ab000280,pan_gene_8,Core Gene
Zm00034ab000270,pan_gene_9,Core Gene
Zm00034ab000300,pan_gene_10,Core Gene
Zm00034ab000290,pan_gene_11,Core Gene
Zm00034ab000320,pan_gene_12,Core Gene
Zm00034ab000330,pan_gene_13,Core Gene
Zm00034ab000340,pan_gene_14,Core Gene
Zm00034ab000350,pan_gene_15,Core Gene
Zm00034ab000400,pan_gene_17,Core Gene
Zm00034ab000410,pan_gene_19,Core Gene
Zm00034ab000420,pan_gene_20,Core Gene
Zm00034ab000430,pan_gene_21,Core Gene
Zm00034ab000440,pan_gene_23,Core Gene
Zm00034ab000460,pan_gene_24,Core Gene
Zm00034ab000470,pan_gene_25,Core Gene
Zm00034ab000480,pan_gene_26,Core Gene
Zm00034ab000500,pan_gene_27,Core Gene
Zm00034ab000550,pan_gene_28,Core Gene
Zm00034ab000560,pan_gene_29,Core Gene
Zm00034ab000570,pan_gene_30,Core Gene
Zm00034ab000580,pan_gene_31,Core Gene
Zm00034ab000610,pan_gene_32,Core Gene
Zm00034ab000620,pan_gene_33,Core Gene
Zm00034ab000630,pan_gene_34,Dispensable Gene
Zm00034ab000640,pan_gene_35,Near-Core Gene
Zm00034ab000670,pan_gene_36,Core Gene
Zm00034ab000760,pan_gene_37,Dispensable Gene
Zm00034ab000680,pan_gene_38,Core Gene
Zm00034ab000730,pan_gene_39,Core Gene
Zm00034ab000800,pan_gene_40,Core Gene
Zm00034ab000810,pan_gene_41,Core Gene
Zm00034ab000820,pan_gene_42,Core Gene
Zm00034ab000830,pan_gene_44,Core Gene
Zm00034ab000850,pan_gene_45,Core Gene
Zm00034ab000860,pan_gene_46,Core Gene
Zm00034ab000870,pan_gene_47,Core Gene
Zm00034ab000880,pan_gene_48,Core Gene
Zm00034ab000890,pan_gene_49,Core Gene
Zm00034ab000900,pan_gene_50,Core Gene
Zm00034ab000910,pan_gene_51,Core Gene
Zm00034ab000920,pan_gene_52,Core Gene
Zm00034ab000930,pan_gene_53,Core Gene
Zm00034ab000940,pan_gene_54,Core Gene
Zm00034ab000950,pan_gene_55,Core Gene
Zm00034ab000960,pan_gene_56,Core Gene
Zm00034ab000970,pan_gene_57,Core Gene
Zm00034ab000980,pan_gene_58,Core Gene
Zm00034ab000990,pan_gene_59,Dispensable Gene
Zm00034ab001000,pan_gene_60,Core Gene
Zm00034ab001010,pan_gene_62,Core Gene
Zm00034ab001020,pan_gene_63,Core Gene
Zm00034ab001030,pan_gene_64,Core Gene
Zm00034ab001040,pan_gene_65,Core Gene
Zm00034ab001050,pan_gene_66,Core Gene
Zm00034ab001100,pan_gene_67,Core Gene
Zm00034ab001120,pan_gene_68,Core Gene
Zm00034ab001130,pan_gene_69,Core Gene
Zm00034ab001140,pan_gene_70,Core Gene
Zm00034ab001170,pan_gene_71,Core Gene
Zm00034ab001190,pan_gene_72,Core Gene
Zm00034ab001200,pan_gene_73,Core Gene
Zm00034ab001210,pan_gene_74,Core Gene
Zm00034ab001220,pan_gene_75,Core Gene
Zm00034ab001230,pan_gene_76,Core Gene
Zm00034ab001240,pan_gene_77,Core Gene
Zm00034ab001250,pan_gene_78,Core Gene
Zm00034ab001260,pan_gene_80,Core Gene
Zm00034ab001270,pan_gene_81,Core Gene
