gene,pan,class
Zm00040ab000310,pan_gene_8,Core Gene
Zm00040ab000320,pan_gene_9,Core Gene
Zm00040ab000340,pan_gene_10,Core Gene
Zm00040ab000330,pan_gene_11,Core Gene
Zm00040ab000370,pan_gene_12,Core Gene
Zm00040ab000380,pan_gene_13,Core Gene
Zm00040ab000400,pan_gene_14,Core Gene
Zm00040ab000410,pan_gene_15,Core Gene
gmap_ID=chr1:1160243-1163192,pan_gene_16,Core Gene
gmap_ID=chr1:1290058-1291686,pan_gene_17,Core Gene
gmap_ID=chr1:1292988-1301120,pan_gene_18,Core Gene
Zm00040ab000460,pan_gene_19,Core Gene
Zm00040ab000480,pan_gene_20,Core Gene
Zm00040ab000490,pan_gene_21,Core Gene
Zm00040ab000510,pan_gene_23,Core Gene
Zm00040ab000550,pan_gene_24,Core Gene
Zm00040ab000570,pan_gene_25,Core Gene
Zm00040ab000580,pan_gene_26,Core Gene
Zm00040ab000630,pan_gene_27,Core Gene
Zm00040ab000680,pan_gene_28,Core Gene
Zm00040ab000690,pan_gene_29,Core Gene
Zm00040ab000710,pan_gene_30,Core Gene
Zm00040ab000720,pan_gene_31,Core Gene
Zm00040ab000730,pan_gene_32,Core Gene
Zm00040ab000740,pan_gene_33,Core Gene
gmap_ID=chr1:2281303-2281620,pan_gene_34,Dispensable Gene
Zm00040ab000760,pan_gene_35,Near-Core Gene
Zm00040ab000770,pan_gene_36,Core Gene
Zm00040ab000780,pan_gene_38,Core Gene
Zm00040ab000790,pan_gene_39,Core Gene
Zm00040ab000810,pan_gene_40,Core Gene
Zm00040ab000820,pan_gene_41,Core Gene
Zm00040ab000830,pan_gene_42,Core Gene
Zm00040ab000840,pan_gene_44,Core Gene
Zm00040ab000860,pan_gene_45,Core Gene
Zm00040ab000870,pan_gene_46,Core Gene
Zm00040ab000880,pan_gene_47,Core Gene
Zm00040ab000890,pan_gene_48,Core Gene
Zm00040ab000900,pan_gene_49,Core Gene
Zm00040ab000910,pan_gene_50,Core Gene
Zm00040ab000920,pan_gene_51,Core Gene
Zm00040ab000930,pan_gene_52,Core Gene
Zm00040ab000940,pan_gene_53,Core Gene
Zm00040ab000950,pan_gene_54,Core Gene
Zm00040ab000960,pan_gene_55,Core Gene
Zm00040ab000970,pan_gene_56,Core Gene
Zm00040ab000980,pan_gene_57,Core Gene
Zm00040ab000990,pan_gene_58,Core Gene
Zm00040ab001000,pan_gene_59,Dispensable Gene
Zm00040ab001010,pan_gene_60,Core Gene
Zm00040ab001020,pan_gene_61,Dispensable Gene
Zm00040ab001030,pan_gene_62,Core Gene
Zm00040ab001040,pan_gene_63,Core Gene
Zm00040ab001050,pan_gene_64,Core Gene
Zm00040ab001060,pan_gene_65,Core Gene
Zm00040ab001070,pan_gene_66,Core Gene
Zm00040ab001080,pan_gene_67,Core Gene
Zm00040ab001100,pan_gene_68,Core Gene
