gene,pan,copy,class,duplicate
gmap_ID=chr1:196216-196575,pan_gene_1,1,Dispensable Gene,N
Zm00027ab000080,pan_gene_2,1,Near-Core Gene,N
Zm00027ab000090,pan_gene_3,2,Near-Core Gene,Y
Zm00027ab000110,pan_gene_5,1,Near-Core Gene,N
Zm00027ab000130,pan_gene_7,1,Near-Core Gene,N
Zm00027ab000180,pan_gene_8,1,Core Gene,N
Zm00027ab000170,pan_gene_9,1,Core Gene,N
Zm00027ab000220,pan_gene_10,1,Core Gene,N
Zm00027ab000210,pan_gene_11,1,Core Gene,N
Zm00027ab000240,pan_gene_12,1,Core Gene,N
Zm00027ab000250,pan_gene_13,1,Core Gene,N
Zm00027ab000270,pan_gene_14,1,Core Gene,N
Zm00027ab000280,pan_gene_15,1,Core Gene,N
Zm00027ab000300,pan_gene_16,1,Core Gene,N
Zm00027ab000320,pan_gene_17,1,Core Gene,N
gmap_ID=chr1:1412935-1427406,pan_gene_18,1,Core Gene,N
Zm00027ab000330,pan_gene_19,1,Core Gene,N
Zm00027ab000340,pan_gene_20,1,Core Gene,N
Zm00027ab000380,pan_gene_21,1,Core Gene,N
Zm00027ab000400,pan_gene_23,2,Core Gene,Y
Zm00027ab000450,pan_gene_24,1,Core Gene,N
Zm00027ab000460,pan_gene_25,1,Core Gene,N
Zm00027ab000470,pan_gene_26,1,Core Gene,N
Zm00027ab000490,pan_gene_27,1,Core Gene,N
Zm00027ab000570,pan_gene_28,1,Core Gene,N
Zm00027ab000590,pan_gene_29,1,Core Gene,N
Zm00027ab000600,pan_gene_30,1,Core Gene,N
Zm00027ab000610,pan_gene_31,1,Core Gene,N
Zm00027ab000620,pan_gene_32,1,Core Gene,N
Zm00027ab000630,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2429566-2429883,pan_gene_34,1,Dispensable Gene,N
Zm00027ab000640,pan_gene_35,2,Near-Core Gene,Y
Zm00027ab000670,pan_gene_36,1,Core Gene,N
Zm00027ab000680,pan_gene_37,1,Dispensable Gene,N
Zm00027ab000690,pan_gene_38,1,Core Gene,N
Zm00027ab000700,pan_gene_39,1,Core Gene,N
Zm00027ab000720,pan_gene_40,1,Core Gene,N
Zm00027ab000740,pan_gene_41,1,Core Gene,N
Zm00027ab000750,pan_gene_42,1,Core Gene,N
Zm00027ab000760,pan_gene_43,1,Dispensable Gene,N
Zm00027ab000770,pan_gene_44,1,Core Gene,N
Zm00027ab000780,pan_gene_45,1,Core Gene,N
Zm00027ab000790,pan_gene_46,1,Core Gene,N
Zm00027ab000800,pan_gene_47,1,Core Gene,N
Zm00027ab000810,pan_gene_48,1,Core Gene,N
Zm00027ab000820,pan_gene_49,1,Core Gene,N
Zm00027ab000830,pan_gene_50,1,Core Gene,N
Zm00027ab000840,pan_gene_51,1,Core Gene,N
Zm00027ab000850,pan_gene_52,2,Core Gene,Y
Zm00027ab000870,pan_gene_53,1,Core Gene,N
Zm00027ab000890,pan_gene_54,1,Core Gene,N
Zm00027ab000900,pan_gene_55,1,Core Gene,N
Zm00027ab000910,pan_gene_56,1,Core Gene,N
Zm00027ab000920,pan_gene_57,1,Core Gene,N
Zm00027ab000930,pan_gene_58,1,Core Gene,N
Zm00027ab000940,pan_gene_59,1,Dispensable Gene,N
Zm00027ab000950,pan_gene_60,1,Core Gene,N
Zm00027ab000960,pan_gene_62,1,Core Gene,N
Zm00027ab000970,pan_gene_63,1,Core Gene,N
Zm00027ab000980,pan_gene_64,1,Core Gene,N
Zm00027ab000990,pan_gene_65,1,Core Gene,N
Zm00027ab001010,pan_gene_66,1,Core Gene,N
Zm00027ab001020,pan_gene_67,1,Core Gene,N
Zm00027ab001040,pan_gene_68,1,Core Gene,N
Zm00027ab001050,pan_gene_69,1,Core Gene,N
Zm00027ab001060,pan_gene_70,1,Core Gene,N
Zm00027ab001070,pan_gene_71,2,Core Gene,Y
Zm00027ab001100,pan_gene_72,1,Core Gene,N
Zm00027ab001110,pan_gene_73,1,Core Gene,N
Zm00027ab001120,pan_gene_74,1,Core Gene,N
Zm00027ab001130,pan_gene_75,1,Core Gene,N
Zm00027ab001140,pan_gene_76,1,Core Gene,N
Zm00027ab001150,pan_gene_77,1,Core Gene,N
Zm00027ab001160,pan_gene_78,1,Core Gene,N
Zm00027ab001170,pan_gene_80,1,Core Gene,N
Zm00027ab001190,pan_gene_81,1,Core Gene,N
Zm00027ab001200,pan_gene_82,1,Core Gene,N
Zm00027ab001220,pan_gene_83,1,Core Gene,N
gmap_ID=chr1:3992924-3993217,pan_gene_84,1,Near-Core Gene,N
Zm00027ab001250,pan_gene_85,1,Dispensable Gene,N
Zm00027ab001260,pan_gene_86,1,Core Gene,N
Zm00027ab001280,pan_gene_87,1,Core Gene,N
Zm00027ab001290,pan_gene_88,1,Core Gene,N
Zm00027ab001300,pan_gene_89,1,Core Gene,N
Zm00027ab001310,pan_gene_90,1,Core Gene,N
Zm00027ab001320,pan_gene_91,1,Core Gene,N
Zm00027ab001330,pan_gene_92,1,Core Gene,N
gmap_ID=chr1:4190530-4191282,pan_gene_93,1,Core Gene,N
Zm00027ab001340,pan_gene_94,1,Core Gene,N
Zm00027ab001350,pan_gene_95,1,Core Gene,N
Zm00027ab001360,pan_gene_96,1,Core Gene,N
gmap_ID=chr1:4209139-4209474,pan_gene_97,1,Near-Core Gene,N
Zm00027ab001380,pan_gene_98,1,Core Gene,N
Zm00027ab001390,pan_gene_99,1,Dispensable Gene,N
Zm00027ab001400,pan_gene_100,1,Core Gene,N
Zm00027ab001410,pan_gene_101,1,Core Gene,N
Zm00027ab001420,pan_gene_102,1,Core Gene,N
