Chr	Start	End	gene	root	shoot	anther	base	middle	tip	ear	tassel		
1	33920	39501	Zm00024ab000010	42.3973	11.8342	3.26646	6.98346	12.9263	10.1432	12.5878	8.15474		
1	40544	45327	Zm00024ab000020	573.878	32.3577	20.5596	55.7652	18.4937	4.60443	186.816	38.3446		
1	91433	96529	Zm00024ab000030	1.59223	0	0	0	0.0228696	0.0213416	0.0678674	0		
1	99438	99782	Zm00024ab000040	4.55294	0.265107	0	0	0	0	1.00267	0		
1	168889	169910	Zm00024ab000050	426.248	22.2838	21.26	33.9868	72.3691	17.1895	106.281	66.6049		
1	192613	194874	Zm00024ab000060	386.904	18.4278	17.9634	41.0455	41.8571	28.517	118.537	47.4388		
1	200740	202763	Zm00024ab000070	111.237	5.04983	3.60786	4.71733	2.70682	2.4991	7.71227	6.2089		
1	319589	319843	Zm00024ab000080	2.05329	2.51072	6.23679	1.16201	5.25691	1.59968	2.88267	3.14855		
1	326894	327352	Zm00024ab000100	0	0	0	0	0	0	0	0		
1	623088	625400	Zm00024ab000120	101.752	5.72378	11.6405	8.18466	11.1627	7.59519	10.2819	9.53815		
1	623131	632651	Zm00024ab000130	181.752	9.78885	10.6552	10.4778	13.097	6.07243	22.199	13.6903		
1	728287	729199	Zm00024ab000140	35.5558	2.62965	1.32485	2.23578	1.46825	2.85945	4.73603	1.79701		
1	728358	762733	Zm00024ab000150	56.4773	3.10895	1.12989	3.40098	2.01505	1.98089	14.7622	2.49704		
1	1016350	1024078	Zm00024ab000160	161.432	6.34872	2.70397	9.07329	12.5291	5.55221	18.5122	6.41791		
1	1025140	1027736	Zm00024ab000170	418.044	25.2691	18.0095	43.687	60.0448	41.6872	24.259	34.518		
1	1027818	1028534	Zm00024ab000180	22.6377	1.24373	1.9057	5.83167	6.62493	3.41354	2.77411	8.27661		
1	1029344	1037898	Zm00024ab000190	123.17	8.65707	3.79657	11.2491	13.4892	8.05188	16.2346	12.3718		
1	1037289	1040179	Zm00024ab000200	266.05	37.7031	7.46142	28.9264	47.7998	21.3342	25.5761	17.3392		
1	1047248	1064345	Zm00024ab000210	0.979928	0.0133732	0.0668141	0.161749	0.143168	0.0572584	0.0050579	0.0734987		
1	1084293	1087247	Zm00024ab000220	0	0	0	0	0	2.06145	0	0.0236263		
1	1201137	1203013	Zm00024ab000250	142.264	3.54494	3.92622	12.1907	14.7027	4.31752	18.1069	12.6836		
1	1204239	1212794	Zm00024ab000260	149.837	3.20427	5.49522	7.7884	8.42639	1.83395	17.5264	10.5996		
1	1220121	1224655	Zm00024ab000270	179.475	10.6033	14.4722	15.0934	12.3699	7.73561	21.3578	26.8486		
1	1224698	1229531	Zm00024ab000280	161.387	5.75184	5.3752	4.03203	3.68941	2.79034	19.7505	11.6407		
1	1504686	1562112	Zm00024ab000300	118.39	6.50483	3.59632	9.44133	7.1145	3.61603	24.7301	7.77276		
1	1611813	1612440	Zm00024ab000310	0	0	0	0	0	0	0	0		
1	1630067	1631151	Zm00024ab000320	787.312	8.66148	3.59222	0.242755	0	1.00256	0.358673	1.73735		
1	1693883	1694485	Zm00024ab000330	39.5079	0.379195	0.185736	0	0.531604	0.405889	0.788789	0.11578		
1	1726002	1727426	Zm00024ab000350	2412.55	10.141	0.345821	28.0256	6.38046	4.92365	45.9406	0.244967		
1	1825212	1827614	Zm00024ab000360	33.7728	0.133215	0	0.0274022	0.0121272	0	0.125959	0		
1	1859574	1860699	Zm00024ab000370	106.95	0.284295	0	0.146198	0.336448	0.386424	0.691225	0.372019		
1	1865654	1866546	Zm00024ab000380	39.2837	0.153631	0.0501674	0.479292	0.228433	1.37039	0.0968421	0.703629		
1	1866490	1868109	Zm00024ab000390	0.323202	0.0423435	0.193578	0.711315	0.0359772	0.167868	0.106765	4.30961		
1	1877406	1880179	Zm00024ab000400	0.943742	0.0329711	0.0161498	0.0949494	0.0630315	0.078427	0.187051	0.0503357		
1	1916205	1918084	Zm00024ab000410	71.5756	6.47044	4.67059	4.34313	3.20867	1.85154	7.314	4.38204		
1	1918535	1918983	Zm00024ab000420	20.9902	1.93516	0.0997762	0.43996	0.778839	0.121134	2.31127	0.466474		
1	1919090	1919422	Zm00024ab000430	0	0	0	0	0	1.95997	0.12985	0		
1	1920484	1923355	Zm00024ab000440	31.7215	2.11776	1.62227	1.47882	1.62348	1.26883	2.46914	1.0696		
1	1925543	1925914	Zm00024ab000450	0	0.0614663	0	0	0	0.219311	0	0		
1	1925983	1926738	Zm00024ab000460	0	0	0	0	0	0	0	0		
1	1928987	1930959	Zm00024ab000470	1220.07	111.372	44.334	84.804	35.0053	38.3729	353.81	54.7591		
1	2026200	2027181	Zm00024ab000490	1311.64	38.862	50.1827	453.489	217.76	11.6865	1089.32	196.899		
1	2026207	2027209	Zm00024ab000500	1198.82	35.5406	44.1295	419.506	201.579	10.4386	991.157	177.88		
1	2029674	2030516	Zm00024ab000510	124.841	1029.05	1.91315	955.998	2676.84	141.102	128.079	38.8831		
1	2070773	2072799	Zm00024ab000520	150.464	10.8744	3.81249	9.09584	11.6882	14.6236	2.49585	6.61302		
