gene,pan,copy,class,duplicate
gmap_ID=chr1:169084-169443,pan_gene_1,1,Dispensable Gene,N
Zm00037ab000070,pan_gene_2,1,Near-Core Gene,N
Zm00037ab000110,pan_gene_3,1,Near-Core Gene,N
Zm00037ab000120,pan_gene_5,1,Near-Core Gene,N
Zm00037ab000140,pan_gene_7,1,Near-Core Gene,N
Zm00037ab000190,pan_gene_8,1,Core Gene,N
Zm00037ab000200,pan_gene_9,1,Core Gene,N
Zm00037ab000230,pan_gene_10,1,Core Gene,N
Zm00037ab000220,pan_gene_11,1,Core Gene,N
Zm00037ab000240,pan_gene_12,1,Core Gene,N
Zm00037ab000250,pan_gene_13,1,Core Gene,N
Zm00037ab000270,pan_gene_14,1,Core Gene,N
Zm00037ab000280,pan_gene_15,1,Core Gene,N
Zm00037ab000310,pan_gene_16,1,Core Gene,N
Zm00037ab000340,pan_gene_17,1,Core Gene,N
Zm00037ab000350,pan_gene_18,1,Core Gene,N
Zm00037ab000360,pan_gene_19,1,Core Gene,N
Zm00037ab000370,pan_gene_20,1,Core Gene,N
Zm00037ab000390,pan_gene_21,1,Core Gene,N
Zm00037ab000400,pan_gene_23,2,Core Gene,Y
Zm00037ab000420,pan_gene_24,1,Core Gene,N
Zm00037ab000430,pan_gene_25,1,Core Gene,N
Zm00037ab000440,pan_gene_26,1,Core Gene,N
Zm00037ab000450,pan_gene_27,1,Core Gene,N
Zm00037ab000490,pan_gene_28,1,Core Gene,N
Zm00037ab000500,pan_gene_29,1,Core Gene,N
Zm00037ab000510,pan_gene_30,1,Core Gene,N
Zm00037ab000520,pan_gene_31,1,Core Gene,N
Zm00037ab000530,pan_gene_32,1,Core Gene,N
Zm00037ab000540,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2276074-2276391,pan_gene_34,1,Dispensable Gene,N
Zm00037ab000550,pan_gene_35,1,Near-Core Gene,N
Zm00037ab000560,pan_gene_36,1,Core Gene,N
Zm00037ab000570,pan_gene_37,1,Dispensable Gene,N
Zm00037ab000580,pan_gene_38,1,Core Gene,N
Zm00037ab000590,pan_gene_39,1,Core Gene,N
Zm00037ab000610,pan_gene_40,1,Core Gene,N
Zm00037ab000620,pan_gene_41,1,Core Gene,N
Zm00037ab000630,pan_gene_42,1,Core Gene,N
