Chr	Start	End	gene	endosperm	root	shoot	anther	base	middle	tip	ear	tassel	
1	40435	46032	Zm00026ab000010	11.1245	10.4966	22.2118	14.4854	21.7924	31.5658	28.4174	25.0929	14.27	
1	47080	51907	Zm00026ab000020	220.965	116.437	63.7279	14.5984	35.4802	8.13552	0.834167	244.481	40.0245	
1	155321	155665	Zm00026ab000030	0	0.913238	0.142737	0	0.209855	0	0	1.45252	0.810412	
1	187387	187731	Zm00026ab000040	1.77714	0.342464	0.642317	0	1.1542	0.72114	0.875512	0.72626	1.04196	
1	232001	232345	Zm00026ab000050	1.77714	0.342464	0.642317	0	1.1542	0.72114	0.875512	0.72626	1.04196	
1	237851	243854	Zm00026ab000060	3.56682	2.88619	1.50505	0.989114	2.98451	1.93722	0.827294	4.75746	2.25521	
1	280739	282873	Zm00026ab000070	159.647	171.055	83.5654	74.0655	179.779	142.517	96.6283	295.112	133.632	
1	283038	284942	Zm00026ab000090	0	0.0826948	0.02585	0.0566799	0	0.0489751	0	0.739842	0.0419336	
1	293526	297142	Zm00026ab000100	101.027	97.6255	38.2777	24.1355	84.9104	62.9636	38.9244	260.145	81.8712	
1	300022	302981	Zm00026ab000120	0.503037	0.798312	0.299459	0.328303	0.195676	0.126078	0.0680297	0.529053	1.02553	
1	339711	340683	Zm00026ab000130	19.3089	31.2882	12.8805	21.7227	27.9406	9.2051	6.20867	50.2471	24.5069	
1	420756	422479	Zm00026ab000150	0.330232	0.0685326	0.64269	0.360126	0.314965	1.15449	0.233605	0.472343	0.60237	
1	424278	426062	Zm00026ab000160	58.1955	36.7137	18.6218	2.96403	6.50992	1.82936	0.0376037	70.9393	9.62182	
1	428335	428793	Zm00026ab000170	0	0	0	0	0	0	0	0	0	
1	484902	488772	Zm00026ab000180	8.25871	5.5855	4.54152	2.7196	6.23751	5.52732	2.21083	8.13138	3.73519	
1	753165	760015	Zm00026ab000200	0.0255693	0.0114971	0.186885	0.31915	0.0845424	0.463015	1.14141	0.0320011	0.110771	
1	836456	846428	Zm00026ab000210	6.94694	12.4788	8.07324	6.84251	12.3631	11.2759	8.65197	23.2332	10.5011	
1	836729	837394	Zm00026ab000220	0.131513	0.41394	0.665464	0.729562	1.73934	2.0546	0.907062	0.0940539	2.03907	
1	965395	966234	Zm00026ab000230	6.88188	4.45408	3.54676	1.4461	4.22333	1.96221	1.79793	5.51828	5.75351	
1	965395	993361	Zm00026ab000240	19.328	8.47179	4.03488	1.96322	3.77054	3.98206	3.21849	14.4712	3.30051	
1	1024321	1024753	Zm00026ab000250	0	0	0	0	0	0	0	0	0	
1	1125012	1125761	Zm00026ab000260	0	0	0	0	0	0	0	0	0	
1	1270520	1278664	Zm00026ab000270	4.77457	13.3164	5.0907	4.4708	8.05778	7.35766	5.27421	10.1631	4.52624	
1	1279587	1282254	Zm00026ab000280	14.2478	28.0171	17.5068	21.6315	25.6168	36.5544	23.2464	26.2369	18.0696	
1	1282486	1283193	Zm00026ab000290	1.79381	1.66879	1.25197	2.44012	2.40311	6.89629	4.7403	3.00813	6.8262	
1	1283927	1287073	Zm00026ab000300	23.7408	30.01	22.3688	26.5992	37.7414	41.8312	28.1757	22.333	46.3385	
1	1286575	1289512	Zm00026ab000310	9.24171	22.8016	32.2653	13.405	43.4696	53.3386	26.0791	14.0396	26.5236	
1	1296606	1296887	Zm00026ab000320	0	0	0	0	0	0	0	0	0	
1	1335877	1339423	Zm00026ab000330	4.75349	9.65987	4.22749	2.04718	9.6649	10.2057	5.29865	13.7659	6.31726	
1	1483549	1493223	Zm00026ab000340	12.6334	9.76546	2.66963	3.6215	5.43655	2.81259	2.50799	11.0842	5.30492	
1	1500611	1505123	Zm00026ab000350	17.0207	19.9142	16.3784	18.9668	18.1281	20.7075	18.2866	27.5724	33.7111	
1	1505166	1509975	Zm00026ab000360	30.0365	11.9378	6.51643	3.33354	4.67364	4.61639	4.45158	15.1586	6.72616	
1	1754740	1790169	Zm00026ab000370	23.5223	15.1798	8.30607	4.39611	12.8115	7.03089	5.24875	20.0526	9.30509	
1	1892670	1893846	Zm00026ab000390	0	77.4953	2.34298	2.24757	0	0	0	0	0.0678704	
1	1961117	1961620	Zm00026ab000400	0.173785	10.471	0.586242	0.428473	0.933731	0.802161	0.332949	1.74	0.792495	
1	1961849	1962599	Zm00026ab000410	0	13.1628	0.459002	0.179719	0.0482024	1.03526	1.38535	0	0	
