gene,pan,class
Zm00031ab000060,pan_gene_1,Dispensable Gene
Zm00031ab000080,pan_gene_2,Near-Core Gene
Zm00031ab000100,pan_gene_3,Near-Core Gene
Zm00031ab000110,pan_gene_4,Dispensable Gene
Zm00031ab000130,pan_gene_5,Near-Core Gene
Zm00031ab000160,pan_gene_6,Dispensable Gene
Zm00031ab000170,pan_gene_7,Near-Core Gene
Zm00031ab000230,pan_gene_8,Core Gene
Zm00031ab000220,pan_gene_9,Core Gene
Zm00031ab000250,pan_gene_10,Core Gene
Zm00031ab000240,pan_gene_11,Core Gene
Zm00031ab000340,pan_gene_12,Core Gene
Zm00031ab000350,pan_gene_13,Core Gene
Zm00031ab000370,pan_gene_14,Core Gene
Zm00031ab000380,pan_gene_15,Core Gene
gmap_ID=chr1:1333239-1336188,pan_gene_16,Core Gene
Zm00031ab000430,pan_gene_17,Core Gene
gmap_ID=chr1:1491470-1499605,pan_gene_18,Core Gene
Zm00031ab000440,pan_gene_19,Core Gene
Zm00031ab000450,pan_gene_20,Core Gene
Zm00031ab000480,pan_gene_21,Core Gene
Zm00031ab000490,pan_gene_23,Core Gene
Zm00031ab000520,pan_gene_24,Core Gene
Zm00031ab000530,pan_gene_25,Core Gene
Zm00031ab000540,pan_gene_26,Core Gene
Zm00031ab000550,pan_gene_27,Core Gene
Zm00031ab000590,pan_gene_28,Core Gene
Zm00031ab000600,pan_gene_29,Core Gene
Zm00031ab000610,pan_gene_30,Core Gene
Zm00031ab000620,pan_gene_31,Core Gene
Zm00031ab000630,pan_gene_32,Core Gene
Zm00031ab000640,pan_gene_33,Core Gene
gmap_ID=chr1:2332417-2332734,pan_gene_34,Dispensable Gene
Zm00031ab000680,pan_gene_35,Near-Core Gene
Zm00031ab000690,pan_gene_36,Core Gene
Zm00031ab000700,pan_gene_37,Dispensable Gene
Zm00031ab000710,pan_gene_38,Core Gene
Zm00031ab000720,pan_gene_39,Core Gene
Zm00031ab000730,pan_gene_40,Core Gene
Zm00031ab000740,pan_gene_41,Core Gene
Zm00031ab000750,pan_gene_42,Core Gene
Zm00031ab000760,pan_gene_43,Dispensable Gene
Zm00031ab000770,pan_gene_44,Core Gene
Zm00031ab000780,pan_gene_45,Core Gene
