gene,pan,class
gmap_ID=chr1:196757-197116,pan_gene_1,Dispensable Gene
Zm00036ab000090,pan_gene_2,Near-Core Gene
Zm00036ab000110,pan_gene_3,Near-Core Gene
Zm00036ab000140,pan_gene_5,Near-Core Gene
Zm00036ab000160,pan_gene_7,Near-Core Gene
Zm00036ab000220,pan_gene_8,Core Gene
Zm00036ab000230,pan_gene_9,Core Gene
Zm00036ab000260,pan_gene_10,Core Gene
Zm00036ab000250,pan_gene_11,Core Gene
Zm00036ab000270,pan_gene_12,Core Gene
Zm00036ab000280,pan_gene_13,Core Gene
Zm00036ab000290,pan_gene_14,Core Gene
Zm00036ab000300,pan_gene_15,Core Gene
Zm00036ab000330,pan_gene_16,Core Gene
Zm00036ab000370,pan_gene_17,Core Gene
gmap_ID=chr1:1201387-1209518,pan_gene_18,Core Gene
Zm00036ab000380,pan_gene_19,Core Gene
Zm00036ab000390,pan_gene_20,Core Gene
Zm00036ab000400,pan_gene_21,Core Gene
Zm00036ab000410,pan_gene_23,Core Gene
Zm00036ab000450,pan_gene_24,Core Gene
Zm00036ab000480,pan_gene_25,Core Gene
Zm00036ab000490,pan_gene_26,Core Gene
Zm00036ab000500,pan_gene_27,Core Gene
Zm00036ab000570,pan_gene_28,Core Gene
Zm00036ab000580,pan_gene_29,Core Gene
Zm00036ab000610,pan_gene_30,Core Gene
Zm00036ab000620,pan_gene_31,Core Gene
Zm00036ab000640,pan_gene_32,Core Gene
Zm00036ab000650,pan_gene_33,Core Gene
Zm00036ab000670,pan_gene_34,Dispensable Gene
Zm00036ab000680,pan_gene_35,Near-Core Gene
Zm00036ab000690,pan_gene_36,Core Gene
Zm00036ab000700,pan_gene_37,Dispensable Gene
Zm00036ab000710,pan_gene_38,Core Gene
Zm00036ab000720,pan_gene_39,Core Gene
Zm00036ab000730,pan_gene_40,Core Gene
Zm00036ab000740,pan_gene_41,Core Gene
Zm00036ab000750,pan_gene_42,Core Gene
Zm00036ab000770,pan_gene_43,Dispensable Gene
Zm00036ab000780,pan_gene_44,Core Gene
Zm00036ab000800,pan_gene_45,Core Gene
Zm00036ab000810,pan_gene_46,Core Gene
Zm00036ab000830,pan_gene_47,Core Gene
Zm00036ab000840,pan_gene_48,Core Gene
Zm00036ab000850,pan_gene_49,Core Gene
Zm00036ab000860,pan_gene_50,Core Gene
Zm00036ab000870,pan_gene_51,Core Gene
Zm00036ab000880,pan_gene_52,Core Gene
Zm00036ab000890,pan_gene_53,Core Gene
Zm00036ab000910,pan_gene_54,Core Gene
Zm00036ab000920,pan_gene_55,Core Gene
Zm00036ab000930,pan_gene_56,Core Gene
Zm00036ab000940,pan_gene_57,Core Gene
Zm00036ab000950,pan_gene_58,Core Gene
Zm00036ab000960,pan_gene_59,Dispensable Gene
Zm00036ab000970,pan_gene_60,Core Gene
Zm00036ab000980,pan_gene_62,Core Gene
Zm00036ab000990,pan_gene_63,Core Gene
Zm00036ab001000,pan_gene_64,Core Gene
Zm00036ab001020,pan_gene_65,Core Gene
Zm00036ab001030,pan_gene_66,Core Gene
Zm00036ab001050,pan_gene_67,Core Gene
Zm00036ab001060,pan_gene_68,Core Gene
Zm00036ab001070,pan_gene_69,Core Gene
Zm00036ab001080,pan_gene_70,Core Gene
Zm00036ab001100,pan_gene_71,Core Gene
Zm00036ab001130,pan_gene_72,Core Gene
Zm00036ab001140,pan_gene_73,Core Gene
Zm00036ab001150,pan_gene_74,Core Gene
Zm00036ab001160,pan_gene_75,Core Gene
Zm00036ab001170,pan_gene_76,Core Gene
Zm00036ab001180,pan_gene_77,Core Gene
Zm00036ab001190,pan_gene_78,Core Gene
gmap_ID=chr1:3557294-3559338,pan_gene_79,Dispensable Gene
Zm00036ab001200,pan_gene_80,Core Gene
Zm00036ab001210,pan_gene_81,Core Gene
Zm00036ab001220,pan_gene_82,Core Gene
Zm00036ab001230,pan_gene_83,Core Gene
gmap_ID=chr1:3707461-3707754,pan_gene_84,Near-Core Gene
Zm00036ab001280,pan_gene_86,Core Gene
Zm00036ab001300,pan_gene_87,Core Gene
Zm00036ab001310,pan_gene_88,Core Gene
Zm00036ab001320,pan_gene_89,Core Gene
Zm00036ab001330,pan_gene_90,Core Gene
Zm00036ab001340,pan_gene_91,Core Gene
Zm00036ab001350,pan_gene_92,Core Gene
Zm00036ab001360,pan_gene_93,Core Gene
Zm00036ab001370,pan_gene_94,Core Gene
Zm00036ab001380,pan_gene_95,Core Gene
