gene,pan,copy,class,duplicate
Zm00035ab000070,pan_gene_1,1,Dispensable Gene,N
Zm00035ab000090,pan_gene_2,1,Near-Core Gene,N
gmap_ID=chr1:219468-222299,pan_gene_3,1,Near-Core Gene,N
gmap_ID=chr1:280474-281236,pan_gene_4,1,Dispensable Gene,N
Zm00035ab000100,pan_gene_5,1,Near-Core Gene,N
Zm00035ab000120,pan_gene_7,2,Near-Core Gene,Y
Zm00035ab000190,pan_gene_8,1,Core Gene,N
Zm00035ab000180,pan_gene_9,1,Core Gene,N
Zm00035ab000210,pan_gene_10,1,Core Gene,N
Zm00035ab000200,pan_gene_11,1,Core Gene,N
Zm00035ab000230,pan_gene_12,1,Core Gene,N
Zm00035ab000240,pan_gene_13,1,Core Gene,N
Zm00035ab000250,pan_gene_14,1,Core Gene,N
Zm00035ab000260,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:1287172-1290126,pan_gene_16,1,Core Gene,N
Zm00035ab000310,pan_gene_17,1,Core Gene,N
Zm00035ab000320,pan_gene_18,1,Core Gene,N
Zm00035ab000330,pan_gene_19,1,Core Gene,N
Zm00035ab000340,pan_gene_20,1,Core Gene,N
Zm00035ab000350,pan_gene_21,1,Core Gene,N
Zm00035ab000360,pan_gene_23,2,Core Gene,Y
Zm00035ab000400,pan_gene_24,1,Core Gene,N
Zm00035ab000430,pan_gene_25,1,Core Gene,N
Zm00035ab000420,pan_gene_26,1,Core Gene,N
Zm00035ab000440,pan_gene_27,1,Core Gene,N
Zm00035ab000490,pan_gene_28,1,Core Gene,N
Zm00035ab000500,pan_gene_29,1,Core Gene,N
Zm00035ab000520,pan_gene_30,1,Core Gene,N
Zm00035ab000530,pan_gene_31,1,Core Gene,N
Zm00035ab000540,pan_gene_32,1,Core Gene,N
Zm00035ab000550,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2384646-2384963,pan_gene_34,1,Dispensable Gene,N
Zm00035ab000570,pan_gene_35,1,Near-Core Gene,N
Zm00035ab000580,pan_gene_36,1,Core Gene,N
Zm00035ab000590,pan_gene_37,1,Dispensable Gene,N
Zm00035ab000600,pan_gene_38,1,Core Gene,N
Zm00035ab000610,pan_gene_39,2,Core Gene,Y
Zm00035ab000640,pan_gene_40,1,Core Gene,N
Zm00035ab000650,pan_gene_41,3,Core Gene,Y
Zm00035ab000680,pan_gene_42,1,Core Gene,N
Zm00035ab000690,pan_gene_43,2,Dispensable Gene,Y
Zm00035ab000710,pan_gene_44,1,Core Gene,N
Zm00035ab000730,pan_gene_45,1,Core Gene,N
Zm00035ab000740,pan_gene_46,1,Core Gene,N
Zm00035ab000750,pan_gene_47,1,Core Gene,N
Zm00035ab000760,pan_gene_48,1,Core Gene,N
Zm00035ab000770,pan_gene_49,1,Core Gene,N
Zm00035ab000780,pan_gene_50,1,Core Gene,N
Zm00035ab000800,pan_gene_51,1,Core Gene,N
Zm00035ab000810,pan_gene_52,2,Core Gene,Y
Zm00035ab000820,pan_gene_53,1,Core Gene,N
Zm00035ab000840,pan_gene_54,1,Core Gene,N
Zm00035ab000850,pan_gene_55,1,Core Gene,N
Zm00035ab000860,pan_gene_56,1,Core Gene,N
Zm00035ab000870,pan_gene_57,1,Core Gene,N
Zm00035ab000880,pan_gene_58,1,Core Gene,N
Zm00035ab000890,pan_gene_59,1,Dispensable Gene,N
Zm00035ab000900,pan_gene_60,1,Core Gene,N
gmap_ID=chr1:3201375-3202703,pan_gene_61,1,Dispensable Gene,N
Zm00035ab000910,pan_gene_62,1,Core Gene,N
Zm00035ab000930,pan_gene_63,1,Core Gene,N
Zm00035ab000940,pan_gene_64,1,Core Gene,N
Zm00035ab000950,pan_gene_65,1,Core Gene,N
Zm00035ab000960,pan_gene_66,1,Core Gene,N
Zm00035ab000970,pan_gene_67,1,Core Gene,N
Zm00035ab000990,pan_gene_68,1,Core Gene,N
Zm00035ab001000,pan_gene_69,1,Core Gene,N
Zm00035ab001020,pan_gene_70,1,Core Gene,N
Zm00035ab001030,pan_gene_71,1,Core Gene,N
Zm00035ab001060,pan_gene_72,1,Core Gene,N
Zm00035ab001070,pan_gene_73,1,Core Gene,N
Zm00035ab001080,pan_gene_74,1,Core Gene,N
Zm00035ab001090,pan_gene_75,1,Core Gene,N
Zm00035ab001100,pan_gene_76,1,Core Gene,N
Zm00035ab001110,pan_gene_77,1,Core Gene,N
Zm00035ab001120,pan_gene_78,1,Core Gene,N
Zm00035ab001130,pan_gene_80,1,Core Gene,N
Zm00035ab001140,pan_gene_81,1,Core Gene,N
Zm00035ab001150,pan_gene_82,1,Core Gene,N
Zm00035ab001170,pan_gene_83,1,Core Gene,N
gmap_ID=chr1:3841290-3841583,pan_gene_84,1,Near-Core Gene,N
gmap_ID=chr1:3910272-3910811,pan_gene_85,1,Dispensable Gene,N
Zm00035ab001220,pan_gene_86,1,Core Gene,N
Zm00035ab001230,pan_gene_87,1,Core Gene,N
Zm00035ab001240,pan_gene_88,1,Core Gene,N
Zm00035ab001250,pan_gene_89,1,Core Gene,N
Zm00035ab001260,pan_gene_90,1,Core Gene,N
Zm00035ab001270,pan_gene_91,1,Core Gene,N
Zm00035ab001280,pan_gene_92,1,Core Gene,N
Zm00035ab001290,pan_gene_93,1,Core Gene,N
Zm00035ab001300,pan_gene_94,1,Core Gene,N
Zm00035ab001310,pan_gene_95,1,Core Gene,N
Zm00035ab001320,pan_gene_96,1,Core Gene,N
gmap_ID=chr1:4109241-4109576,pan_gene_97,1,Near-Core Gene,N
Zm00035ab001330,pan_gene_98,1,Core Gene,N
Zm00035ab001340,pan_gene_99,1,Dispensable Gene,N
Zm00035ab001350,pan_gene_100,1,Core Gene,N
Zm00035ab001360,pan_gene_101,1,Core Gene,N
Zm00035ab001370,pan_gene_102,1,Core Gene,N
Zm00035ab001380,pan_gene_103,1,Core Gene,N
Zm00035ab001420,pan_gene_108,3,Core Gene,Y
Zm00035ab001460,pan_gene_109,2,Core Gene,Y
Zm00035ab001480,pan_gene_110,1,Core Gene,N
gmap_ID=chr1:4358179-4358568,pan_gene_111,1,Dispensable Gene,N
Zm00035ab001500,pan_gene_112,1,Dispensable Gene,N
Zm00035ab001510,pan_gene_113,1,Core Gene,N
Zm00035ab001520,pan_gene_114,1,Core Gene,N
Zm00035ab001540,pan_gene_115,1,Core Gene,N
Zm00035ab001560,pan_gene_116,1,Core Gene,N
Zm00035ab001570,pan_gene_117,1,Core Gene,N
Zm00035ab001590,pan_gene_118,1,Core Gene,N
Zm00035ab001580,pan_gene_119,1,Core Gene,N
Zm00035ab001610,pan_gene_120,1,Core Gene,N
Zm00035ab001620,pan_gene_121,1,Near-Core Gene,N
Zm00035ab001640,pan_gene_122,1,Core Gene,N
Zm00035ab001660,pan_gene_123,1,Core Gene,N
Zm00035ab001680,pan_gene_124,2,Core Gene,Y
Zm00035ab001700,pan_gene_125,1,Core Gene,N
Zm00035ab001710,pan_gene_126,1,Dispensable Gene,N
Zm00035ab001720,pan_gene_127,1,Core Gene,N
Zm00035ab001740,pan_gene_128,1,Core Gene,N
Zm00035ab001750,pan_gene_130,1,Core Gene,N
Zm00035ab001760,pan_gene_131,1,Core Gene,N
Zm00035ab001770,pan_gene_132,1,Core Gene,N
Zm00035ab001800,pan_gene_133,1,Core Gene,N
Zm00035ab001820,pan_gene_134,1,Core Gene,N
Zm00035ab001850,pan_gene_135,1,Core Gene,N
Zm00035ab001860,pan_gene_136,1,Core Gene,N
Zm00035ab001870,pan_gene_137,1,Core Gene,N
Zm00035ab001880,pan_gene_138,1,Core Gene,N
Zm00035ab001890,pan_gene_139,1,Core Gene,N
Zm00035ab001900,pan_gene_140,1,Near-Core Gene,N
Zm00035ab001920,pan_gene_141,1,Core Gene,N
Zm00035ab001940,pan_gene_142,1,Core Gene,N
Zm00035ab001950,pan_gene_143,1,Core Gene,N
Zm00035ab001980,pan_gene_146,1,Core Gene,N
Zm00035ab001990,pan_gene_147,1,Core Gene,N
Zm00035ab002020,pan_gene_148,1,Core Gene,N
Zm00035ab002030,pan_gene_149,1,Core Gene,N
Zm00035ab002050,pan_gene_150,1,Core Gene,N
Zm00035ab002060,pan_gene_151,1,Core Gene,N
Zm00035ab002070,pan_gene_152,1,Core Gene,N
Zm00035ab002090,pan_gene_153,1,Core Gene,N
Zm00035ab002100,pan_gene_154,1,Core Gene,N
Zm00035ab002120,pan_gene_155,2,Core Gene,Y
Zm00035ab002140,pan_gene_156,1,Core Gene,N
Zm00035ab002160,pan_gene_157,1,Core Gene,N
Zm00035ab002170,pan_gene_158,1,Core Gene,N
Zm00035ab002180,pan_gene_159,1,Core Gene,N
Zm00035ab002190,pan_gene_160,1,Core Gene,N
Zm00035ab002200,pan_gene_161,1,Core Gene,N
Zm00035ab002210,pan_gene_162,1,Core Gene,N
Zm00035ab002220,pan_gene_163,1,Core Gene,N
Zm00035ab002230,pan_gene_164,1,Core Gene,N
Zm00035ab002240,pan_gene_165,1,Core Gene,N
Zm00035ab002250,pan_gene_166,1,Core Gene,N
Zm00035ab002260,pan_gene_168,1,Core Gene,N
Zm00035ab002270,pan_gene_169,1,Core Gene,N
gmap_ID=chr1:6293934-6294345,pan_gene_170,1,Core Gene,N
Zm00035ab002280,pan_gene_171,1,Core Gene,N
Zm00035ab002290,pan_gene_172,1,Core Gene,N
Zm00035ab002340,pan_gene_174,1,Core Gene,N
Zm00035ab002350,pan_gene_175,1,Core Gene,N
Zm00035ab002360,pan_gene_176,1,Core Gene,N
Zm00035ab002370,pan_gene_177,1,Core Gene,N
Zm00035ab002380,pan_gene_179,1,Core Gene,N
Zm00035ab002400,pan_gene_180,1,Core Gene,N
Zm00035ab002410,pan_gene_181,1,Core Gene,N
Zm00035ab002420,pan_gene_182,1,Core Gene,N
Zm00035ab002440,pan_gene_183,1,Core Gene,N
gmap_ID=chr1:6823363-6823716,pan_gene_184,1,Near-Core Gene,N
Zm00035ab002450,pan_gene_185,1,Core Gene,N
Zm00035ab002460,pan_gene_186,1,Core Gene,N
