gene,pan,copy,class,duplicate
Zm00039ab000050,pan_gene_1,1,Dispensable Gene,N
Zm00039ab000070,pan_gene_2,1,Near-Core Gene,N
Zm00039ab000080,pan_gene_3,1,Near-Core Gene,N
gmap_ID=chr1:245779-246541,pan_gene_4,1,Dispensable Gene,N
Zm00039ab000110,pan_gene_5,1,Near-Core Gene,N
Zm00039ab000130,pan_gene_7,1,Near-Core Gene,N
Zm00039ab000170,pan_gene_8,1,Core Gene,N
Zm00039ab000160,pan_gene_9,1,Core Gene,N
Zm00039ab000200,pan_gene_10,1,Core Gene,N
Zm00039ab000190,pan_gene_11,1,Core Gene,N
Zm00039ab000230,pan_gene_12,1,Core Gene,N
Zm00039ab000240,pan_gene_13,1,Core Gene,N
Zm00039ab000250,pan_gene_14,1,Core Gene,N
Zm00039ab000260,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:1065657-1068606,pan_gene_16,1,Core Gene,N
Zm00039ab000310,pan_gene_17,1,Core Gene,N
Zm00039ab000320,pan_gene_18,1,Core Gene,N
Zm00039ab000330,pan_gene_19,1,Core Gene,N
Zm00039ab000340,pan_gene_20,1,Core Gene,N
Zm00039ab000360,pan_gene_21,1,Core Gene,N
Zm00039ab000380,pan_gene_22,1,Dispensable Gene,N
Zm00039ab000390,pan_gene_23,2,Core Gene,Y
Zm00039ab000410,pan_gene_24,1,Core Gene,N
Zm00039ab000430,pan_gene_25,1,Core Gene,N
Zm00039ab000440,pan_gene_26,1,Core Gene,N
Zm00039ab000450,pan_gene_27,1,Core Gene,N
Zm00039ab000490,pan_gene_28,1,Core Gene,N
Zm00039ab000500,pan_gene_29,1,Core Gene,N
Zm00039ab000510,pan_gene_30,1,Core Gene,N
Zm00039ab000520,pan_gene_31,1,Core Gene,N
Zm00039ab000530,pan_gene_32,1,Core Gene,N
Zm00039ab000540,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2153785-2154102,pan_gene_34,1,Dispensable Gene,N
Zm00039ab000560,pan_gene_35,2,Near-Core Gene,Y
Zm00039ab000580,pan_gene_36,1,Core Gene,N
Zm00039ab000600,pan_gene_38,1,Core Gene,N
Zm00039ab000610,pan_gene_39,1,Core Gene,N
Zm00039ab000620,pan_gene_40,1,Core Gene,N
Zm00039ab000630,pan_gene_41,1,Core Gene,N
Zm00039ab000640,pan_gene_42,1,Core Gene,N
Zm00039ab000660,pan_gene_43,1,Dispensable Gene,N
Zm00039ab000670,pan_gene_44,1,Core Gene,N
Zm00039ab000680,pan_gene_45,1,Core Gene,N
Zm00039ab000690,pan_gene_46,1,Core Gene,N
