gene,pan,class
Zm00029ab000060,pan_gene_1,Dispensable Gene
Zm00029ab000090,pan_gene_2,Near-Core Gene
Zm00029ab000100,pan_gene_3,Near-Core Gene
gmap_ID=chr1:290997-291759,pan_gene_4,Dispensable Gene
Zm00029ab000120,pan_gene_5,Near-Core Gene
Zm00029ab000140,pan_gene_7,Near-Core Gene
Zm00029ab000180,pan_gene_8,Core Gene
Zm00029ab000170,pan_gene_9,Core Gene
Zm00029ab000440,pan_gene_10,Core Gene
Zm00029ab000190,pan_gene_11,Core Gene
Zm00029ab000460,pan_gene_12,Core Gene
Zm00029ab000470,pan_gene_13,Core Gene
Zm00029ab000490,pan_gene_14,Core Gene
Zm00029ab000500,pan_gene_15,Core Gene
Zm00029ab000520,pan_gene_16,Core Gene
gmap_ID=chr1:3236067-3237694,pan_gene_17,Core Gene
gmap_ID=chr1:3238996-3248430,pan_gene_18,Core Gene
Zm00029ab000590,pan_gene_19,Core Gene
Zm00029ab000600,pan_gene_20,Core Gene
Zm00029ab000620,pan_gene_21,Core Gene
Zm00029ab000630,pan_gene_23,Core Gene
Zm00029ab000670,pan_gene_24,Core Gene
Zm00029ab000690,pan_gene_25,Core Gene
Zm00029ab000680,pan_gene_26,Core Gene
Zm00029ab000700,pan_gene_27,Core Gene
Zm00029ab000760,pan_gene_28,Core Gene
Zm00029ab000770,pan_gene_29,Core Gene
Zm00029ab000790,pan_gene_30,Core Gene
Zm00029ab000800,pan_gene_31,Core Gene
Zm00029ab000820,pan_gene_32,Core Gene
Zm00029ab000830,pan_gene_33,Core Gene
Zm00029ab000850,pan_gene_35,Near-Core Gene
Zm00029ab000860,pan_gene_36,Core Gene
Zm00029ab000880,pan_gene_37,Dispensable Gene
Zm00029ab000890,pan_gene_38,Core Gene
Zm00029ab000900,pan_gene_39,Core Gene
Zm00029ab000920,pan_gene_40,Core Gene
Zm00029ab000930,pan_gene_41,Core Gene
Zm00029ab000940,pan_gene_42,Core Gene
Zm00029ab000950,pan_gene_44,Core Gene
Zm00029ab000970,pan_gene_45,Core Gene
Zm00029ab000980,pan_gene_46,Core Gene
Zm00029ab001000,pan_gene_47,Core Gene
Zm00029ab001010,pan_gene_48,Core Gene
Zm00029ab001020,pan_gene_49,Core Gene
Zm00029ab001030,pan_gene_50,Core Gene
Zm00029ab001040,pan_gene_51,Core Gene
Zm00029ab001060,pan_gene_52,Core Gene
Zm00029ab001070,pan_gene_53,Core Gene
Zm00029ab001090,pan_gene_54,Core Gene
Zm00029ab001100,pan_gene_55,Core Gene
Zm00029ab001110,pan_gene_56,Core Gene
Zm00029ab001120,pan_gene_57,Core Gene
Zm00029ab001140,pan_gene_58,Core Gene
Zm00029ab001150,pan_gene_59,Dispensable Gene
Zm00029ab001160,pan_gene_60,Core Gene
Zm00029ab001170,pan_gene_62,Core Gene
Zm00029ab001190,pan_gene_63,Core Gene
Zm00029ab001200,pan_gene_64,Core Gene
Zm00029ab001210,pan_gene_65,Core Gene
Zm00029ab001230,pan_gene_66,Core Gene
Zm00029ab001240,pan_gene_67,Core Gene
Zm00029ab001250,pan_gene_68,Core Gene
Zm00029ab001260,pan_gene_69,Core Gene
Zm00029ab001270,pan_gene_70,Core Gene
Zm00029ab001280,pan_gene_71,Core Gene
Zm00029ab001300,pan_gene_72,Core Gene
Zm00029ab001310,pan_gene_73,Core Gene
Zm00029ab001320,pan_gene_74,Core Gene
Zm00029ab001330,pan_gene_75,Core Gene
Zm00029ab001340,pan_gene_76,Core Gene
Zm00029ab001360,pan_gene_77,Core Gene
Zm00029ab001370,pan_gene_78,Core Gene
Zm00029ab001390,pan_gene_79,Dispensable Gene
Zm00029ab001400,pan_gene_80,Core Gene
Zm00029ab001410,pan_gene_81,Core Gene
Zm00029ab001420,pan_gene_82,Core Gene
Zm00029ab001440,pan_gene_83,Core Gene
gmap_ID=chr1:5719032-5719325,pan_gene_84,Near-Core Gene
gmap_ID=chr1:5797291-5797803,pan_gene_85,Dispensable Gene
Zm00029ab001480,pan_gene_86,Core Gene
Zm00029ab001490,pan_gene_87,Core Gene
Zm00029ab001510,pan_gene_88,Core Gene
Zm00029ab001520,pan_gene_89,Core Gene
Zm00029ab001530,pan_gene_90,Core Gene
Zm00029ab001540,pan_gene_91,Core Gene
Zm00029ab001550,pan_gene_92,Core Gene
Zm00029ab001560,pan_gene_93,Core Gene
Zm00029ab001580,pan_gene_94,Core Gene
Zm00029ab001590,pan_gene_95,Core Gene
Zm00029ab001600,pan_gene_96,Core Gene
gmap_ID=chr1:6029816-6030151,pan_gene_97,Near-Core Gene
Zm00029ab001620,pan_gene_98,Core Gene
Zm00029ab001630,pan_gene_99,Dispensable Gene
Zm00029ab001640,pan_gene_100,Core Gene
Zm00029ab001650,pan_gene_101,Core Gene
Zm00029ab001670,pan_gene_102,Core Gene
Zm00029ab001680,pan_gene_103,Core Gene
Zm00029ab001690,pan_gene_108,Core Gene
Zm00029ab001720,pan_gene_109,Core Gene
Zm00029ab001760,pan_gene_110,Core Gene
Zm00029ab001770,pan_gene_113,Core Gene
Zm00029ab001780,pan_gene_114,Core Gene
Zm00029ab001800,pan_gene_115,Core Gene
Zm00029ab001820,pan_gene_116,Core Gene
Zm00029ab001830,pan_gene_117,Core Gene
Zm00029ab001840,pan_gene_118,Core Gene
Zm00029ab001850,pan_gene_119,Core Gene
Zm00029ab001860,pan_gene_120,Core Gene
gmap_ID=chr1:6579396-6581216,pan_gene_121,Near-Core Gene
Zm00029ab001880,pan_gene_122,Core Gene
Zm00029ab001900,pan_gene_123,Core Gene
Zm00029ab001910,pan_gene_124,Core Gene
Zm00029ab001920,pan_gene_125,Core Gene
Zm00029ab001930,pan_gene_126,Dispensable Gene
Zm00029ab001940,pan_gene_127,Core Gene
Zm00029ab001980,pan_gene_128,Core Gene
Zm00029ab002000,pan_gene_129,Dispensable Gene
Zm00029ab002010,pan_gene_130,Core Gene
Zm00029ab002020,pan_gene_131,Core Gene
Zm00029ab002030,pan_gene_132,Core Gene
gmap_ID=chr1:7171138-7172705,pan_gene_133,Core Gene
Zm00029ab002050,pan_gene_134,Core Gene
Zm00029ab002060,pan_gene_135,Core Gene
Zm00029ab002070,pan_gene_136,Core Gene
Zm00029ab002080,pan_gene_137,Core Gene
Zm00029ab002090,pan_gene_138,Core Gene
Zm00029ab002130,pan_gene_139,Core Gene
Zm00029ab002150,pan_gene_140,Near-Core Gene
Zm00029ab002170,pan_gene_141,Core Gene
Zm00029ab002180,pan_gene_142,Core Gene
Zm00029ab002200,pan_gene_143,Core Gene
Zm00029ab002210,pan_gene_146,Core Gene
Zm00029ab002220,pan_gene_147,Core Gene
Zm00029ab002240,pan_gene_148,Core Gene
Zm00029ab002250,pan_gene_149,Core Gene
Zm00029ab002290,pan_gene_150,Core Gene
Zm00029ab002300,pan_gene_151,Core Gene
Zm00029ab002310,pan_gene_152,Core Gene
Zm00029ab002320,pan_gene_153,Core Gene
Zm00029ab002330,pan_gene_154,Core Gene
Zm00029ab002350,pan_gene_155,Core Gene
Zm00029ab002380,pan_gene_156,Core Gene
Zm00029ab002420,pan_gene_157,Core Gene
Zm00029ab002430,pan_gene_158,Core Gene
Zm00029ab002440,pan_gene_159,Core Gene
Zm00029ab002450,pan_gene_160,Core Gene
Zm00029ab002460,pan_gene_161,Core Gene
Zm00029ab002470,pan_gene_162,Core Gene
Zm00029ab002480,pan_gene_163,Core Gene
Zm00029ab002490,pan_gene_164,Core Gene
Zm00029ab002500,pan_gene_165,Core Gene
Zm00029ab002510,pan_gene_166,Core Gene
Zm00029ab002520,pan_gene_168,Core Gene
Zm00029ab002530,pan_gene_169,Core Gene
gmap_ID=chr1:8166624-8167035,pan_gene_170,Core Gene
Zm00029ab002540,pan_gene_171,Core Gene
Zm00029ab002550,pan_gene_172,Core Gene
Zm00029ab002580,pan_gene_174,Core Gene
Zm00029ab002600,pan_gene_175,Core Gene
Zm00029ab002610,pan_gene_176,Core Gene
Zm00029ab002640,pan_gene_177,Core Gene
gmap_ID=chr1:8447301-8447687,pan_gene_178,Dispensable Gene
