gene,pan,copy,class,duplicate
Zm00028ab000050,pan_gene_1,1,Dispensable Gene,N
Zm00028ab000070,pan_gene_2,1,Near-Core Gene,N
Zm00028ab000090,pan_gene_3,1,Near-Core Gene,N
gmap_ID=chr1:252174-252936,pan_gene_4,1,Dispensable Gene,N
Zm00028ab000130,pan_gene_5,1,Near-Core Gene,N
Zm00028ab000150,pan_gene_7,1,Near-Core Gene,N
Zm00028ab000210,pan_gene_8,1,Core Gene,N
Zm00028ab000200,pan_gene_9,1,Core Gene,N
Zm00028ab000230,pan_gene_10,1,Core Gene,N
Zm00028ab000220,pan_gene_11,1,Core Gene,N
Zm00028ab000280,pan_gene_12,1,Core Gene,N
Zm00028ab000290,pan_gene_13,1,Core Gene,N
Zm00028ab000300,pan_gene_14,1,Core Gene,N
Zm00028ab000310,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:1071387-1074336,pan_gene_16,1,Core Gene,N
Zm00028ab000360,pan_gene_17,1,Core Gene,N
Zm00028ab000370,pan_gene_18,1,Core Gene,N
Zm00028ab000380,pan_gene_19,1,Core Gene,N
Zm00028ab000390,pan_gene_20,1,Core Gene,N
Zm00028ab000400,pan_gene_21,1,Core Gene,N
Zm00028ab000410,pan_gene_22,1,Dispensable Gene,N
Zm00028ab000420,pan_gene_23,2,Core Gene,Y
Zm00028ab000440,pan_gene_24,1,Core Gene,N
Zm00028ab000450,pan_gene_25,1,Core Gene,N
Zm00028ab000460,pan_gene_26,1,Core Gene,N
Zm00028ab000470,pan_gene_27,1,Core Gene,N
Zm00028ab000520,pan_gene_28,1,Core Gene,N
Zm00028ab000530,pan_gene_29,1,Core Gene,N
Zm00028ab000540,pan_gene_30,1,Core Gene,N
Zm00028ab000550,pan_gene_31,1,Core Gene,N
Zm00028ab000570,pan_gene_32,1,Core Gene,N
Zm00028ab000580,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2234612-2234929,pan_gene_34,1,Dispensable Gene,N
Zm00028ab000590,pan_gene_35,1,Near-Core Gene,N
Zm00028ab000620,pan_gene_36,1,Core Gene,N
Zm00028ab000630,pan_gene_37,1,Dispensable Gene,N
Zm00028ab000640,pan_gene_38,1,Core Gene,N
Zm00028ab000650,pan_gene_39,1,Core Gene,N
Zm00028ab000660,pan_gene_40,1,Core Gene,N
Zm00028ab000670,pan_gene_41,1,Core Gene,N
Zm00028ab000680,pan_gene_42,1,Core Gene,N
Zm00028ab000690,pan_gene_44,1,Core Gene,N
Zm00028ab000710,pan_gene_45,1,Core Gene,N
Zm00028ab000720,pan_gene_46,1,Core Gene,N
Zm00028ab000740,pan_gene_47,1,Core Gene,N
Zm00028ab000750,pan_gene_48,1,Core Gene,N
Zm00028ab000770,pan_gene_49,1,Core Gene,N
Zm00028ab000780,pan_gene_50,1,Core Gene,N
Zm00028ab000790,pan_gene_51,1,Core Gene,N
Zm00028ab000800,pan_gene_52,2,Core Gene,Y
Zm00028ab000810,pan_gene_53,1,Core Gene,N
Zm00028ab000840,pan_gene_54,1,Core Gene,N
Zm00028ab000850,pan_gene_55,1,Core Gene,N
Zm00028ab000860,pan_gene_56,1,Core Gene,N
Zm00028ab000870,pan_gene_57,1,Core Gene,N
Zm00028ab000880,pan_gene_58,1,Core Gene,N
Zm00028ab000890,pan_gene_60,1,Core Gene,N
Zm00028ab000900,pan_gene_62,1,Core Gene,N
Zm00028ab000910,pan_gene_63,1,Core Gene,N
Zm00028ab000920,pan_gene_64,1,Core Gene,N
Zm00028ab000950,pan_gene_65,1,Core Gene,N
Zm00028ab000960,pan_gene_66,1,Core Gene,N
Zm00028ab000970,pan_gene_67,1,Core Gene,N
Zm00028ab000980,pan_gene_68,1,Core Gene,N
Zm00028ab000990,pan_gene_69,1,Core Gene,N
Zm00028ab001000,pan_gene_70,1,Core Gene,N
Zm00028ab001010,pan_gene_71,2,Core Gene,Y
Zm00028ab001040,pan_gene_72,1,Core Gene,N
Zm00028ab001050,pan_gene_73,1,Core Gene,N
Zm00028ab001060,pan_gene_74,1,Core Gene,N
Zm00028ab001070,pan_gene_75,1,Core Gene,N
Zm00028ab001080,pan_gene_76,1,Core Gene,N
Zm00028ab001100,pan_gene_77,1,Core Gene,N
Zm00028ab001130,pan_gene_78,1,Core Gene,N
Zm00028ab001140,pan_gene_79,2,Dispensable Gene,Y
Zm00028ab001160,pan_gene_80,1,Core Gene,N
Zm00028ab001170,pan_gene_81,1,Core Gene,N
Zm00028ab001180,pan_gene_82,1,Core Gene,N
Zm00028ab001190,pan_gene_83,1,Core Gene,N
Zm00028ab001210,pan_gene_84,1,Near-Core Gene,N
gmap_ID=chr1:3955075-3955614,pan_gene_85,1,Dispensable Gene,N
Zm00028ab001230,pan_gene_86,1,Core Gene,N
Zm00028ab001240,pan_gene_87,1,Core Gene,N
Zm00028ab001250,pan_gene_88,1,Core Gene,N
Zm00028ab001260,pan_gene_89,1,Core Gene,N
Zm00028ab001270,pan_gene_90,1,Core Gene,N
Zm00028ab001280,pan_gene_91,1,Core Gene,N
Zm00028ab001290,pan_gene_92,1,Core Gene,N
Zm00028ab001300,pan_gene_93,1,Core Gene,N
Zm00028ab001310,pan_gene_94,1,Core Gene,N
Zm00028ab001320,pan_gene_95,1,Core Gene,N
Zm00028ab001330,pan_gene_96,1,Core Gene,N
gmap_ID=chr1:4143595-4143930,pan_gene_97,1,Near-Core Gene,N
Zm00028ab001350,pan_gene_98,1,Core Gene,N
Zm00028ab001360,pan_gene_99,1,Dispensable Gene,N
Zm00028ab001370,pan_gene_100,1,Core Gene,N
Zm00028ab001380,pan_gene_101,1,Core Gene,N
Zm00028ab001390,pan_gene_102,2,Core Gene,Y
Zm00028ab001410,pan_gene_103,1,Core Gene,N
Zm00028ab001420,pan_gene_108,2,Core Gene,Y
Zm00028ab001450,pan_gene_109,2,Core Gene,Y
Zm00028ab001470,pan_gene_110,1,Core Gene,N
Zm00028ab001480,pan_gene_111,1,Dispensable Gene,N
Zm00028ab001490,pan_gene_112,1,Dispensable Gene,N
Zm00028ab001500,pan_gene_113,1,Core Gene,N
Zm00028ab001510,pan_gene_114,1,Core Gene,N
Zm00028ab001530,pan_gene_115,2,Core Gene,Y
Zm00028ab001550,pan_gene_116,1,Core Gene,N
gmap_ID=chr1:4643035-4644695,pan_gene_117,1,Core Gene,N
Zm00028ab001590,pan_gene_118,1,Core Gene,N
Zm00028ab001600,pan_gene_119,1,Core Gene,N
Zm00028ab001610,pan_gene_120,1,Core Gene,N
gmap_ID=chr1:4812619-4814721,pan_gene_121,1,Near-Core Gene,N
Zm00028ab001620,pan_gene_122,1,Core Gene,N
Zm00028ab001630,pan_gene_123,1,Core Gene,N
Zm00028ab001640,pan_gene_124,1,Core Gene,N
Zm00028ab001660,pan_gene_125,1,Core Gene,N
Zm00028ab001690,pan_gene_127,1,Core Gene,N
Zm00028ab001710,pan_gene_128,1,Core Gene,N
Zm00028ab001720,pan_gene_130,1,Core Gene,N
Zm00028ab001740,pan_gene_131,1,Core Gene,N
Zm00028ab001750,pan_gene_132,1,Core Gene,N
Zm00028ab001770,pan_gene_133,1,Core Gene,N
Zm00028ab001780,pan_gene_134,1,Core Gene,N
Zm00028ab001800,pan_gene_135,1,Core Gene,N
Zm00028ab001810,pan_gene_136,1,Core Gene,N
Zm00028ab001820,pan_gene_137,1,Core Gene,N
Zm00028ab001830,pan_gene_138,1,Core Gene,N
Zm00028ab001850,pan_gene_139,1,Core Gene,N
Zm00028ab001860,pan_gene_141,1,Core Gene,N
Zm00028ab001870,pan_gene_142,1,Core Gene,N
Zm00028ab001880,pan_gene_143,1,Core Gene,N
Zm00028ab001890,pan_gene_146,1,Core Gene,N
Zm00028ab001900,pan_gene_147,1,Core Gene,N
Zm00028ab001910,pan_gene_148,1,Core Gene,N
Zm00028ab001920,pan_gene_149,1,Core Gene,N
Zm00028ab001940,pan_gene_150,1,Core Gene,N
Zm00028ab001950,pan_gene_151,1,Core Gene,N
Zm00028ab001960,pan_gene_152,2,Core Gene,Y
Zm00028ab001980,pan_gene_153,1,Core Gene,N
Zm00028ab002000,pan_gene_154,1,Core Gene,N
Zm00028ab002030,pan_gene_155,2,Core Gene,Y
Zm00028ab002050,pan_gene_156,1,Core Gene,N
Zm00028ab002090,pan_gene_157,1,Core Gene,N
Zm00028ab002100,pan_gene_158,1,Core Gene,N
Zm00028ab002120,pan_gene_159,1,Core Gene,N
Zm00028ab002130,pan_gene_160,1,Core Gene,N
Zm00028ab002140,pan_gene_161,1,Core Gene,N
Zm00028ab002160,pan_gene_162,1,Core Gene,N
Zm00028ab002170,pan_gene_163,1,Core Gene,N
Zm00028ab002180,pan_gene_164,1,Core Gene,N
Zm00028ab002190,pan_gene_165,1,Core Gene,N
Zm00028ab002210,pan_gene_166,1,Core Gene,N
Zm00028ab002220,pan_gene_168,1,Core Gene,N
Zm00028ab002230,pan_gene_169,1,Core Gene,N
gmap_ID=chr1:6420930-6421355,pan_gene_170,1,Core Gene,N
Zm00028ab002240,pan_gene_171,1,Core Gene,N
Zm00028ab002250,pan_gene_172,1,Core Gene,N
Zm00028ab002290,pan_gene_174,1,Core Gene,N
Zm00028ab002300,pan_gene_175,1,Core Gene,N
Zm00028ab002310,pan_gene_176,1,Core Gene,N
Zm00028ab002320,pan_gene_177,1,Core Gene,N
Zm00028ab002330,pan_gene_179,1,Core Gene,N
Zm00028ab002340,pan_gene_180,1,Core Gene,N
Zm00028ab002350,pan_gene_181,1,Core Gene,N
Zm00028ab002360,pan_gene_182,1,Core Gene,N
Zm00028ab002400,pan_gene_183,1,Core Gene,N
Zm00028ab002410,pan_gene_184,1,Near-Core Gene,N
Zm00028ab002420,pan_gene_185,1,Core Gene,N
Zm00028ab002430,pan_gene_186,1,Core Gene,N
Zm00028ab002440,pan_gene_187,1,Core Gene,N
Zm00028ab002450,pan_gene_188,1,Core Gene,N
Zm00028ab002460,pan_gene_189,1,Core Gene,N
Zm00028ab002480,pan_gene_191,2,Core Gene,Y
Zm00028ab002500,pan_gene_192,2,Near-Core Gene,Y
Zm00028ab002520,pan_gene_193,1,Near-Core Gene,N
Zm00028ab002530,pan_gene_194,1,Core Gene,N
Zm00028ab002540,pan_gene_195,1,Core Gene,N
Zm00028ab002550,pan_gene_196,1,Core Gene,N
Zm00028ab002570,pan_gene_197,1,Core Gene,N
Zm00028ab002580,pan_gene_198,1,Core Gene,N
Zm00028ab002590,pan_gene_199,2,Core Gene,Y
Zm00028ab002610,pan_gene_200,1,Core Gene,N
Zm00028ab002620,pan_gene_201,1,Core Gene,N
Zm00028ab002630,pan_gene_202,1,Core Gene,N
Zm00028ab002640,pan_gene_203,1,Core Gene,N
