gene,pan,class
Zm00028ab000050,pan_gene_1,Dispensable Gene
Zm00028ab000070,pan_gene_2,Near-Core Gene
Zm00028ab000090,pan_gene_3,Near-Core Gene
gmap_ID=chr1:252174-252936,pan_gene_4,Dispensable Gene
Zm00028ab000130,pan_gene_5,Near-Core Gene
Zm00028ab000150,pan_gene_7,Near-Core Gene
Zm00028ab000210,pan_gene_8,Core Gene
Zm00028ab000200,pan_gene_9,Core Gene
Zm00028ab000230,pan_gene_10,Core Gene
Zm00028ab000220,pan_gene_11,Core Gene
Zm00028ab000280,pan_gene_12,Core Gene
Zm00028ab000290,pan_gene_13,Core Gene
Zm00028ab000300,pan_gene_14,Core Gene
Zm00028ab000310,pan_gene_15,Core Gene
gmap_ID=chr1:1071387-1074336,pan_gene_16,Core Gene
Zm00028ab000360,pan_gene_17,Core Gene
Zm00028ab000370,pan_gene_18,Core Gene
Zm00028ab000380,pan_gene_19,Core Gene
Zm00028ab000390,pan_gene_20,Core Gene
Zm00028ab000400,pan_gene_21,Core Gene
Zm00028ab000410,pan_gene_22,Dispensable Gene
Zm00028ab000420,pan_gene_23,Core Gene
Zm00028ab000440,pan_gene_24,Core Gene
Zm00028ab000450,pan_gene_25,Core Gene
Zm00028ab000460,pan_gene_26,Core Gene
Zm00028ab000470,pan_gene_27,Core Gene
Zm00028ab000520,pan_gene_28,Core Gene
Zm00028ab000530,pan_gene_29,Core Gene
Zm00028ab000540,pan_gene_30,Core Gene
Zm00028ab000550,pan_gene_31,Core Gene
Zm00028ab000570,pan_gene_32,Core Gene
Zm00028ab000580,pan_gene_33,Core Gene
gmap_ID=chr1:2234612-2234929,pan_gene_34,Dispensable Gene
Zm00028ab000590,pan_gene_35,Near-Core Gene
Zm00028ab000620,pan_gene_36,Core Gene
Zm00028ab000630,pan_gene_37,Dispensable Gene
Zm00028ab000640,pan_gene_38,Core Gene
Zm00028ab000650,pan_gene_39,Core Gene
Zm00028ab000660,pan_gene_40,Core Gene
Zm00028ab000670,pan_gene_41,Core Gene
Zm00028ab000680,pan_gene_42,Core Gene
Zm00028ab000690,pan_gene_44,Core Gene
Zm00028ab000710,pan_gene_45,Core Gene
Zm00028ab000720,pan_gene_46,Core Gene
Zm00028ab000740,pan_gene_47,Core Gene
Zm00028ab000750,pan_gene_48,Core Gene
Zm00028ab000770,pan_gene_49,Core Gene
Zm00028ab000780,pan_gene_50,Core Gene
Zm00028ab000790,pan_gene_51,Core Gene
Zm00028ab000800,pan_gene_52,Core Gene
Zm00028ab000810,pan_gene_53,Core Gene
Zm00028ab000840,pan_gene_54,Core Gene
Zm00028ab000850,pan_gene_55,Core Gene
Zm00028ab000860,pan_gene_56,Core Gene
Zm00028ab000870,pan_gene_57,Core Gene
Zm00028ab000880,pan_gene_58,Core Gene
Zm00028ab000890,pan_gene_60,Core Gene
Zm00028ab000900,pan_gene_62,Core Gene
Zm00028ab000910,pan_gene_63,Core Gene
Zm00028ab000920,pan_gene_64,Core Gene
Zm00028ab000950,pan_gene_65,Core Gene
Zm00028ab000960,pan_gene_66,Core Gene
Zm00028ab000970,pan_gene_67,Core Gene
Zm00028ab000980,pan_gene_68,Core Gene
Zm00028ab000990,pan_gene_69,Core Gene
Zm00028ab001000,pan_gene_70,Core Gene
Zm00028ab001010,pan_gene_71,Core Gene
Zm00028ab001040,pan_gene_72,Core Gene
Zm00028ab001050,pan_gene_73,Core Gene
Zm00028ab001060,pan_gene_74,Core Gene
Zm00028ab001070,pan_gene_75,Core Gene
Zm00028ab001080,pan_gene_76,Core Gene
Zm00028ab001100,pan_gene_77,Core Gene
Zm00028ab001130,pan_gene_78,Core Gene
Zm00028ab001140,pan_gene_79,Dispensable Gene
Zm00028ab001160,pan_gene_80,Core Gene
Zm00028ab001170,pan_gene_81,Core Gene
Zm00028ab001180,pan_gene_82,Core Gene
Zm00028ab001190,pan_gene_83,Core Gene
Zm00028ab001210,pan_gene_84,Near-Core Gene
gmap_ID=chr1:3955075-3955614,pan_gene_85,Dispensable Gene
Zm00028ab001230,pan_gene_86,Core Gene
Zm00028ab001240,pan_gene_87,Core Gene
Zm00028ab001250,pan_gene_88,Core Gene
Zm00028ab001260,pan_gene_89,Core Gene
Zm00028ab001270,pan_gene_90,Core Gene
Zm00028ab001280,pan_gene_91,Core Gene
Zm00028ab001290,pan_gene_92,Core Gene
Zm00028ab001300,pan_gene_93,Core Gene
Zm00028ab001310,pan_gene_94,Core Gene
Zm00028ab001320,pan_gene_95,Core Gene
Zm00028ab001330,pan_gene_96,Core Gene
gmap_ID=chr1:4143595-4143930,pan_gene_97,Near-Core Gene
Zm00028ab001350,pan_gene_98,Core Gene
Zm00028ab001360,pan_gene_99,Dispensable Gene
Zm00028ab001370,pan_gene_100,Core Gene
Zm00028ab001380,pan_gene_101,Core Gene
Zm00028ab001390,pan_gene_102,Core Gene
Zm00028ab001410,pan_gene_103,Core Gene
Zm00028ab001420,pan_gene_108,Core Gene
Zm00028ab001450,pan_gene_109,Core Gene
Zm00028ab001470,pan_gene_110,Core Gene
Zm00028ab001480,pan_gene_111,Dispensable Gene
Zm00028ab001490,pan_gene_112,Dispensable Gene
Zm00028ab001500,pan_gene_113,Core Gene
Zm00028ab001510,pan_gene_114,Core Gene
Zm00028ab001530,pan_gene_115,Core Gene
Zm00028ab001550,pan_gene_116,Core Gene
gmap_ID=chr1:4643035-4644695,pan_gene_117,Core Gene
Zm00028ab001590,pan_gene_118,Core Gene
Zm00028ab001600,pan_gene_119,Core Gene
Zm00028ab001610,pan_gene_120,Core Gene
gmap_ID=chr1:4812619-4814721,pan_gene_121,Near-Core Gene
Zm00028ab001620,pan_gene_122,Core Gene
Zm00028ab001630,pan_gene_123,Core Gene
Zm00028ab001640,pan_gene_124,Core Gene
Zm00028ab001660,pan_gene_125,Core Gene
Zm00028ab001690,pan_gene_127,Core Gene
Zm00028ab001710,pan_gene_128,Core Gene
Zm00028ab001720,pan_gene_130,Core Gene
Zm00028ab001740,pan_gene_131,Core Gene
Zm00028ab001750,pan_gene_132,Core Gene
Zm00028ab001770,pan_gene_133,Core Gene
Zm00028ab001780,pan_gene_134,Core Gene
Zm00028ab001800,pan_gene_135,Core Gene
Zm00028ab001810,pan_gene_136,Core Gene
Zm00028ab001820,pan_gene_137,Core Gene
Zm00028ab001830,pan_gene_138,Core Gene
Zm00028ab001850,pan_gene_139,Core Gene
Zm00028ab001860,pan_gene_141,Core Gene
Zm00028ab001870,pan_gene_142,Core Gene
Zm00028ab001880,pan_gene_143,Core Gene
Zm00028ab001890,pan_gene_146,Core Gene
Zm00028ab001900,pan_gene_147,Core Gene
Zm00028ab001910,pan_gene_148,Core Gene
Zm00028ab001920,pan_gene_149,Core Gene
Zm00028ab001940,pan_gene_150,Core Gene
Zm00028ab001950,pan_gene_151,Core Gene
Zm00028ab001960,pan_gene_152,Core Gene
Zm00028ab001980,pan_gene_153,Core Gene
Zm00028ab002000,pan_gene_154,Core Gene
Zm00028ab002030,pan_gene_155,Core Gene
Zm00028ab002050,pan_gene_156,Core Gene
Zm00028ab002090,pan_gene_157,Core Gene
Zm00028ab002100,pan_gene_158,Core Gene
Zm00028ab002120,pan_gene_159,Core Gene
Zm00028ab002130,pan_gene_160,Core Gene
Zm00028ab002140,pan_gene_161,Core Gene
Zm00028ab002160,pan_gene_162,Core Gene
Zm00028ab002170,pan_gene_163,Core Gene
Zm00028ab002180,pan_gene_164,Core Gene
Zm00028ab002190,pan_gene_165,Core Gene
Zm00028ab002210,pan_gene_166,Core Gene
Zm00028ab002220,pan_gene_168,Core Gene
Zm00028ab002230,pan_gene_169,Core Gene
gmap_ID=chr1:6420930-6421355,pan_gene_170,Core Gene
Zm00028ab002240,pan_gene_171,Core Gene
Zm00028ab002250,pan_gene_172,Core Gene
Zm00028ab002290,pan_gene_174,Core Gene
Zm00028ab002300,pan_gene_175,Core Gene
Zm00028ab002310,pan_gene_176,Core Gene
Zm00028ab002320,pan_gene_177,Core Gene
Zm00028ab002330,pan_gene_179,Core Gene
Zm00028ab002340,pan_gene_180,Core Gene
Zm00028ab002350,pan_gene_181,Core Gene
Zm00028ab002360,pan_gene_182,Core Gene
Zm00028ab002400,pan_gene_183,Core Gene
Zm00028ab002410,pan_gene_184,Near-Core Gene
Zm00028ab002420,pan_gene_185,Core Gene
Zm00028ab002430,pan_gene_186,Core Gene
Zm00028ab002440,pan_gene_187,Core Gene
Zm00028ab002450,pan_gene_188,Core Gene
Zm00028ab002460,pan_gene_189,Core Gene
Zm00028ab002480,pan_gene_191,Core Gene
Zm00028ab002500,pan_gene_192,Near-Core Gene
Zm00028ab002520,pan_gene_193,Near-Core Gene
Zm00028ab002530,pan_gene_194,Core Gene
Zm00028ab002540,pan_gene_195,Core Gene
Zm00028ab002550,pan_gene_196,Core Gene
Zm00028ab002570,pan_gene_197,Core Gene
Zm00028ab002580,pan_gene_198,Core Gene
Zm00028ab002590,pan_gene_199,Core Gene
Zm00028ab002610,pan_gene_200,Core Gene
Zm00028ab002620,pan_gene_201,Core Gene
Zm00028ab002630,pan_gene_202,Core Gene
Zm00028ab002640,pan_gene_203,Core Gene
Zm00028ab002680,pan_gene_204,Core Gene
Zm00028ab002700,pan_gene_205,Core Gene
Zm00028ab002710,pan_gene_206,Core Gene
Zm00028ab002740,pan_gene_207,Core Gene
Zm00028ab002750,pan_gene_208,Core Gene
Zm00028ab002760,pan_gene_209,Core Gene
Zm00028ab002780,pan_gene_210,Core Gene
Zm00028ab002800,pan_gene_211,Core Gene
Zm00028ab002810,pan_gene_212,Core Gene
Zm00028ab002830,pan_gene_214,Core Gene
Zm00028ab002900,pan_gene_215,Core Gene
Zm00028ab002910,pan_gene_216,Core Gene
Zm00028ab002920,pan_gene_217,Core Gene
Zm00028ab002950,pan_gene_218,Core Gene
Zm00028ab002960,pan_gene_220,Core Gene
Zm00028ab002980,pan_gene_222,Core Gene
Zm00028ab003000,pan_gene_223,Core Gene
Zm00028ab003020,pan_gene_224,Core Gene
Zm00028ab003030,pan_gene_225,Near-Core Gene
Zm00028ab003060,pan_gene_226,Core Gene
Zm00028ab003070,pan_gene_227,Core Gene
Zm00028ab003080,pan_gene_228,Core Gene
Zm00028ab003090,pan_gene_229,Dispensable Gene
Zm00028ab003130,pan_gene_230,Core Gene
Zm00028ab003120,pan_gene_231,Core Gene
Zm00028ab003140,pan_gene_232,Core Gene
Zm00028ab003150,pan_gene_233,Core Gene
Zm00028ab003160,pan_gene_234,Core Gene
Zm00028ab003190,pan_gene_238,Core Gene
Zm00028ab003220,pan_gene_239,Core Gene
Zm00028ab003250,pan_gene_240,Core Gene
Zm00028ab003260,pan_gene_241,Core Gene
Zm00028ab003270,pan_gene_242,Core Gene
Zm00028ab003290,pan_gene_244,Core Gene
Zm00028ab003370,pan_gene_245,Core Gene
Zm00028ab003390,pan_gene_246,Core Gene
Zm00028ab003400,pan_gene_247,Core Gene
Zm00028ab003410,pan_gene_248,Core Gene
Zm00028ab003420,pan_gene_250,Core Gene
Zm00028ab003430,pan_gene_251,Core Gene
Zm00028ab003440,pan_gene_252,Core Gene
Zm00028ab003450,pan_gene_253,Core Gene
Zm00028ab003490,pan_gene_254,Near-Core Gene
Zm00028ab003510,pan_gene_256,Core Gene
Zm00028ab003520,pan_gene_257,Core Gene
Zm00028ab003530,pan_gene_258,Core Gene
Zm00028ab003540,pan_gene_259,Core Gene
Zm00028ab003550,pan_gene_262,Core Gene
Zm00028ab003570,pan_gene_263,Near-Core Gene
Zm00028ab003580,pan_gene_264,Core Gene
Zm00028ab003590,pan_gene_265,Core Gene
Zm00028ab003600,pan_gene_266,Core Gene
Zm00028ab003610,pan_gene_267,Core Gene
Zm00028ab003620,pan_gene_268,Core Gene
Zm00028ab003630,pan_gene_269,Core Gene
Zm00028ab003650,pan_gene_270,Core Gene
Zm00028ab003660,pan_gene_271,Core Gene
Zm00028ab003670,pan_gene_272,Dispensable Gene
Zm00028ab003680,pan_gene_273,Core Gene
Zm00028ab003690,pan_gene_274,Core Gene
gmap_ID=chr1:10353377-10353739,pan_gene_275,Dispensable Gene
Zm00028ab003700,pan_gene_276,Dispensable Gene
Zm00028ab003710,pan_gene_277,Core Gene
Zm00028ab003720,pan_gene_278,Core Gene
Zm00028ab003730,pan_gene_279,Core Gene
Zm00028ab003770,pan_gene_280,Core Gene
Zm00028ab003780,pan_gene_281,Core Gene
Zm00028ab003790,pan_gene_282,Core Gene
Zm00028ab003800,pan_gene_283,Core Gene
Zm00028ab003810,pan_gene_284,Core Gene
Zm00028ab003820,pan_gene_287,Core Gene
Zm00028ab003840,pan_gene_289,Core Gene
Zm00028ab003860,pan_gene_290,Core Gene
Zm00028ab003870,pan_gene_292,Core Gene
Zm00028ab003880,pan_gene_293,Dispensable Gene
Zm00028ab003900,pan_gene_294,Core Gene
Zm00028ab003910,pan_gene_295,Dispensable Gene
Zm00028ab003920,pan_gene_296,Core Gene
Zm00028ab003940,pan_gene_297,Core Gene
Zm00028ab003950,pan_gene_298,Core Gene
Zm00028ab003970,pan_gene_299,Core Gene
Zm00028ab003980,pan_gene_300,Core Gene
Zm00028ab003990,pan_gene_301,Core Gene
Zm00028ab004010,pan_gene_302,Core Gene
Zm00028ab004020,pan_gene_303,Core Gene
Zm00028ab004040,pan_gene_304,Core Gene
Zm00028ab004060,pan_gene_305,Core Gene
Zm00028ab004070,pan_gene_307,Core Gene
Zm00028ab004100,pan_gene_308,Core Gene
Zm00028ab004110,pan_gene_309,Core Gene
Zm00028ab004130,pan_gene_310,Core Gene
Zm00028ab004140,pan_gene_311,Core Gene
Zm00028ab004150,pan_gene_313,Core Gene
Zm00028ab004160,pan_gene_314,Near-Core Gene
Zm00028ab004170,pan_gene_317,Core Gene
Zm00028ab004180,pan_gene_318,Core Gene
Zm00028ab004200,pan_gene_319,Core Gene
gmap_ID=chr1:12049779-12049964,pan_gene_320,Dispensable Gene
Zm00028ab004220,pan_gene_321,Core Gene
Zm00028ab004240,pan_gene_322,Core Gene
Zm00028ab004250,pan_gene_323,Core Gene
Zm00028ab004270,pan_gene_324,Core Gene
Zm00028ab004280,pan_gene_325,Core Gene
Zm00028ab004290,pan_gene_326,Core Gene
Zm00028ab004300,pan_gene_327,Core Gene
Zm00028ab004310,pan_gene_328,Dispensable Gene
Zm00028ab004320,pan_gene_329,Dispensable Gene
Zm00028ab004330,pan_gene_330,Core Gene
Zm00028ab004340,pan_gene_331,Core Gene
Zm00028ab004350,pan_gene_332,Core Gene
Zm00028ab004400,pan_gene_333,Core Gene
Zm00028ab004390,pan_gene_334,Core Gene
Zm00028ab004380,pan_gene_335,Core Gene
Zm00028ab004410,pan_gene_336,Core Gene
Zm00028ab004420,pan_gene_338,Core Gene
Zm00028ab004440,pan_gene_340,Core Gene
Zm00028ab004450,pan_gene_341,Core Gene
Zm00028ab004460,pan_gene_342,Core Gene
Zm00028ab004470,pan_gene_343,Core Gene
Zm00028ab004480,pan_gene_344,Core Gene
Zm00028ab004490,pan_gene_345,Core Gene
Zm00028ab004500,pan_gene_346,Core Gene
Zm00028ab004520,pan_gene_347,Core Gene
Zm00028ab004530,pan_gene_348,Core Gene
Zm00028ab004540,pan_gene_349,Core Gene
Zm00028ab004550,pan_gene_350,Core Gene
Zm00028ab004560,pan_gene_351,Core Gene
Zm00028ab004570,pan_gene_352,Dispensable Gene
Zm00028ab004580,pan_gene_353,Core Gene
Zm00028ab004590,pan_gene_354,Core Gene
Zm00028ab004600,pan_gene_355,Core Gene
Zm00028ab004620,pan_gene_356,Core Gene
Zm00028ab004640,pan_gene_357,Core Gene
Zm00028ab004660,pan_gene_358,Core Gene
Zm00028ab004680,pan_gene_359,Dispensable Gene
gmap_ID=chr1:13311755-13312033,pan_gene_360,Dispensable Gene
Zm00028ab004700,pan_gene_361,Core Gene
gmap_ID=chr1:13324659-13325102,pan_gene_362,Dispensable Gene
gmap_ID=chr1:13331185-13331679,pan_gene_363,Core Gene
Zm00028ab004720,pan_gene_364,Core Gene
Zm00028ab004730,pan_gene_365,Core Gene
Zm00028ab004740,pan_gene_366,Dispensable Gene
Zm00028ab004760,pan_gene_367,Core Gene
Zm00028ab004770,pan_gene_368,Core Gene
Zm00028ab004790,pan_gene_369,Core Gene
Zm00028ab004820,pan_gene_370,Core Gene
Zm00028ab004830,pan_gene_371,Core Gene
Zm00028ab004860,pan_gene_372,Core Gene
Zm00028ab004870,pan_gene_373,Core Gene
Zm00028ab005050,pan_gene_374,Core Gene
Zm00028ab005040,pan_gene_378,Core Gene
Zm00028ab005140,pan_gene_381,Core Gene
Zm00028ab005150,pan_gene_382,Core Gene
Zm00028ab005160,pan_gene_383,Core Gene
Zm00028ab005170,pan_gene_384,Core Gene
Zm00028ab005190,pan_gene_385,Core Gene
Zm00028ab005200,pan_gene_386,Core Gene
Zm00028ab005220,pan_gene_387,Core Gene
Zm00028ab005230,pan_gene_388,Core Gene
Zm00028ab005240,pan_gene_389,Core Gene
Zm00028ab005250,pan_gene_390,Core Gene
Zm00028ab005260,pan_gene_391,Core Gene
Zm00028ab005270,pan_gene_392,Core Gene
Zm00028ab005290,pan_gene_395,Core Gene
Zm00028ab005320,pan_gene_396,Core Gene
Zm00028ab005340,pan_gene_397,Core Gene
gmap_ID=chr1:15348529-15367698,pan_gene_398,Core Gene
Zm00028ab005370,pan_gene_399,Core Gene
Zm00028ab005380,pan_gene_400,Core Gene
Zm00028ab005390,pan_gene_401,Dispensable Gene
Zm00028ab005400,pan_gene_402,Core Gene
Zm00028ab005420,pan_gene_404,Core Gene
Zm00028ab005430,pan_gene_405,Dispensable Gene
Zm00028ab005440,pan_gene_406,Core Gene
Zm00028ab005450,pan_gene_407,Core Gene
Zm00028ab005460,pan_gene_408,Core Gene
Zm00028ab005470,pan_gene_409,Core Gene
Zm00028ab005480,pan_gene_410,Core Gene
Zm00028ab005500,pan_gene_411,Core Gene
Zm00028ab005510,pan_gene_412,Core Gene
Zm00028ab005530,pan_gene_413,Core Gene
Zm00028ab005540,pan_gene_414,Core Gene
Zm00028ab005580,pan_gene_415,Core Gene
Zm00028ab005600,pan_gene_417,Core Gene
Zm00028ab005610,pan_gene_418,Core Gene
Zm00028ab005620,pan_gene_419,Core Gene
Zm00028ab005640,pan_gene_420,Core Gene
Zm00028ab005650,pan_gene_421,Core Gene
gmap_ID=chr1:16030926-16043304,pan_gene_422,Core Gene
gmap_ID=chr1:16054010-16054584,pan_gene_423,Core Gene
Zm00028ab005670,pan_gene_424,Core Gene
Zm00028ab005690,pan_gene_425,Core Gene
Zm00028ab005730,pan_gene_426,Core Gene
Zm00028ab005750,pan_gene_427,Core Gene
Zm00028ab005760,pan_gene_428,Core Gene
Zm00028ab005770,pan_gene_429,Core Gene
Zm00028ab005800,pan_gene_430,Core Gene
Zm00028ab005820,pan_gene_431,Core Gene
Zm00028ab005830,pan_gene_433,Core Gene
Zm00028ab005840,pan_gene_434,Core Gene
Zm00028ab005850,pan_gene_435,Core Gene
Zm00028ab005860,pan_gene_436,Core Gene
Zm00028ab005870,pan_gene_437,Core Gene
Zm00028ab005880,pan_gene_438,Near-Core Gene
Zm00028ab005890,pan_gene_439,Core Gene
Zm00028ab005910,pan_gene_440,Core Gene
Zm00028ab005920,pan_gene_441,Core Gene
Zm00028ab005950,pan_gene_442,Core Gene
Zm00028ab005970,pan_gene_443,Core Gene
Zm00028ab005990,pan_gene_444,Core Gene
Zm00028ab006000,pan_gene_445,Core Gene
Zm00028ab006010,pan_gene_446,Dispensable Gene
Zm00028ab006020,pan_gene_447,Core Gene
Zm00028ab006030,pan_gene_448,Core Gene
Zm00028ab006040,pan_gene_449,Core Gene
Zm00028ab006050,pan_gene_450,Core Gene
Zm00028ab006060,pan_gene_451,Core Gene
Zm00028ab006080,pan_gene_453,Core Gene
Zm00028ab006090,pan_gene_454,Core Gene
Zm00028ab006110,pan_gene_455,Core Gene
Zm00028ab006120,pan_gene_456,Core Gene
Zm00028ab006130,pan_gene_457,Core Gene
Zm00028ab006140,pan_gene_458,Core Gene
Zm00028ab006180,pan_gene_459,Core Gene
Zm00028ab006210,pan_gene_460,Core Gene
Zm00028ab006240,pan_gene_461,Core Gene
Zm00028ab006270,pan_gene_462,Core Gene
Zm00028ab006280,pan_gene_464,Core Gene
Zm00028ab006290,pan_gene_465,Core Gene
Zm00028ab006310,pan_gene_466,Dispensable Gene
Zm00028ab006320,pan_gene_467,Core Gene
Zm00028ab006330,pan_gene_468,Near-Core Gene
gmap_ID=chr1:18296961-18297315,pan_gene_469,Core Gene
Zm00028ab006350,pan_gene_471,Core Gene
Zm00028ab006360,pan_gene_472,Core Gene
Zm00028ab006370,pan_gene_473,Core Gene
Zm00028ab006380,pan_gene_474,Core Gene
Zm00028ab006390,pan_gene_475,Dispensable Gene
Zm00028ab006430,pan_gene_478,Core Gene
Zm00028ab006440,pan_gene_479,Core Gene
Zm00028ab006460,pan_gene_482,Core Gene
Zm00028ab006470,pan_gene_483,Core Gene
Zm00028ab006480,pan_gene_484,Core Gene
Zm00028ab006500,pan_gene_485,Core Gene
Zm00028ab006510,pan_gene_486,Core Gene
Zm00028ab006520,pan_gene_488,Core Gene
Zm00028ab006540,pan_gene_489,Core Gene
Zm00028ab006550,pan_gene_490,Core Gene
Zm00028ab006560,pan_gene_491,Core Gene
Zm00028ab006570,pan_gene_492,Core Gene
Zm00028ab006620,pan_gene_493,Core Gene
Zm00028ab006640,pan_gene_495,Core Gene
Zm00028ab006650,pan_gene_496,Core Gene
Zm00028ab006760,pan_gene_498,Core Gene
Zm00028ab006770,pan_gene_499,Core Gene
Zm00028ab006780,pan_gene_500,Core Gene
Zm00028ab006790,pan_gene_501,Core Gene
Zm00028ab006800,pan_gene_502,Core Gene
Zm00028ab006810,pan_gene_503,Core Gene
Zm00028ab006820,pan_gene_504,Core Gene
Zm00028ab006860,pan_gene_505,Core Gene
Zm00028ab006880,pan_gene_507,Core Gene
Zm00028ab006890,pan_gene_508,Core Gene
Zm00028ab006900,pan_gene_509,Core Gene
Zm00028ab006920,pan_gene_510,Dispensable Gene
Zm00028ab006930,pan_gene_511,Core Gene
Zm00028ab006940,pan_gene_512,Core Gene
Zm00028ab006950,pan_gene_513,Core Gene
Zm00028ab006960,pan_gene_514,Core Gene
Zm00028ab006990,pan_gene_515,Core Gene
Zm00028ab007000,pan_gene_516,Core Gene
Zm00028ab007020,pan_gene_518,Core Gene
Zm00028ab007030,pan_gene_519,Core Gene
Zm00028ab007060,pan_gene_520,Dispensable Gene
Zm00028ab007080,pan_gene_521,Core Gene
gmap_ID=chr1:20387560-20396278,pan_gene_522,Dispensable Gene
Zm00028ab007090,pan_gene_523,Core Gene
Zm00028ab007110,pan_gene_524,Core Gene
Zm00028ab007120,pan_gene_525,Core Gene
Zm00028ab007130,pan_gene_526,Core Gene
Zm00028ab007140,pan_gene_527,Core Gene
Zm00028ab007160,pan_gene_528,Core Gene
Zm00028ab007180,pan_gene_529,Core Gene
Zm00028ab007190,pan_gene_530,Core Gene
Zm00028ab007200,pan_gene_531,Core Gene
Zm00028ab007210,pan_gene_532,Near-Core Gene
Zm00028ab007220,pan_gene_534,Core Gene
Zm00028ab007230,pan_gene_535,Dispensable Gene
Zm00028ab007250,pan_gene_536,Core Gene
Zm00028ab007260,pan_gene_537,Core Gene
Zm00028ab007270,pan_gene_538,Core Gene
Zm00028ab007280,pan_gene_539,Core Gene
Zm00028ab007300,pan_gene_541,Core Gene
Zm00028ab007330,pan_gene_542,Core Gene
Zm00028ab007340,pan_gene_543,Core Gene
Zm00028ab007350,pan_gene_545,Core Gene
Zm00028ab007360,pan_gene_546,Core Gene
gmap_ID=chr1:21169273-21169833,pan_gene_547,Core Gene
Zm00028ab007370,pan_gene_548,Core Gene
Zm00028ab007380,pan_gene_549,Core Gene
Zm00028ab007400,pan_gene_550,Core Gene
Zm00028ab007410,pan_gene_551,Core Gene
Zm00028ab007440,pan_gene_553,Core Gene
Zm00028ab007450,pan_gene_554,Core Gene
Zm00028ab007460,pan_gene_555,Core Gene
Zm00028ab007470,pan_gene_556,Core Gene
Zm00028ab007480,pan_gene_557,Core Gene
Zm00028ab007490,pan_gene_558,Core Gene
Zm00028ab007500,pan_gene_559,Core Gene
Zm00028ab007510,pan_gene_560,Core Gene
Zm00028ab007520,pan_gene_561,Core Gene
Zm00028ab007530,pan_gene_562,Core Gene
Zm00028ab007540,pan_gene_565,Core Gene
Zm00028ab007550,pan_gene_566,Core Gene
Zm00028ab007560,pan_gene_567,Core Gene
Zm00028ab007690,pan_gene_568,Core Gene
Zm00028ab007700,pan_gene_569,Core Gene
Zm00028ab007720,pan_gene_570,Core Gene
Zm00028ab007730,pan_gene_571,Core Gene
Zm00028ab007750,pan_gene_572,Core Gene
Zm00028ab007790,pan_gene_575,Core Gene
Zm00028ab007800,pan_gene_576,Core Gene
gmap_ID=chr1:22594947-22595263,pan_gene_577,Core Gene
Zm00028ab007820,pan_gene_578,Core Gene
Zm00028ab007830,pan_gene_579,Core Gene
Zm00028ab007850,pan_gene_580,Dispensable Gene
Zm00028ab007860,pan_gene_581,Core Gene
Zm00028ab007870,pan_gene_582,Core Gene
Zm00028ab007880,pan_gene_583,Core Gene
Zm00028ab007890,pan_gene_584,Core Gene
Zm00028ab007900,pan_gene_585,Core Gene
Zm00028ab007980,pan_gene_586,Core Gene
Zm00028ab007990,pan_gene_588,Core Gene
Zm00028ab008000,pan_gene_589,Core Gene
Zm00028ab008010,pan_gene_590,Core Gene
Zm00028ab008020,pan_gene_591,Core Gene
Zm00028ab008040,pan_gene_592,Core Gene
Zm00028ab008060,pan_gene_593,Core Gene
