gene,pan,copy,class,duplicate
Zm00033ab000040,pan_gene_1,1,Dispensable Gene,N
Zm00033ab000070,pan_gene_2,1,Near-Core Gene,N
gmap_ID=chr1:208437-211268,pan_gene_3,1,Near-Core Gene,N
Zm00033ab000110,pan_gene_5,1,Near-Core Gene,N
Zm00033ab000130,pan_gene_7,1,Near-Core Gene,N
Zm00033ab000200,pan_gene_8,1,Core Gene,N
Zm00033ab000190,pan_gene_9,1,Core Gene,N
Zm00033ab000230,pan_gene_10,1,Core Gene,N
Zm00033ab000240,pan_gene_11,1,Core Gene,N
Zm00033ab000260,pan_gene_12,1,Core Gene,N
Zm00033ab000270,pan_gene_13,1,Core Gene,N
Zm00033ab000280,pan_gene_14,1,Core Gene,N
Zm00033ab000290,pan_gene_15,1,Core Gene,N
Zm00033ab000320,pan_gene_16,1,Core Gene,N
Zm00033ab000350,pan_gene_17,1,Core Gene,N
Zm00033ab000360,pan_gene_18,1,Core Gene,N
Zm00033ab000370,pan_gene_19,1,Core Gene,N
Zm00033ab000380,pan_gene_20,1,Core Gene,N
Zm00033ab000420,pan_gene_21,1,Core Gene,N
Zm00033ab000430,pan_gene_23,3,Core Gene,Y
Zm00033ab000470,pan_gene_24,1,Core Gene,N
Zm00033ab000480,pan_gene_25,1,Core Gene,N
Zm00033ab000490,pan_gene_26,1,Core Gene,N
Zm00033ab000530,pan_gene_27,1,Core Gene,N
Zm00033ab000600,pan_gene_28,1,Core Gene,N
Zm00033ab000610,pan_gene_29,1,Core Gene,N
Zm00033ab000630,pan_gene_30,1,Core Gene,N
Zm00033ab000640,pan_gene_31,1,Core Gene,N
Zm00033ab000660,pan_gene_32,1,Core Gene,N
Zm00033ab000670,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2533553-2533870,pan_gene_34,1,Dispensable Gene,N
Zm00033ab000710,pan_gene_35,1,Near-Core Gene,N
Zm00033ab000730,pan_gene_36,1,Core Gene,N
Zm00033ab000740,pan_gene_37,1,Dispensable Gene,N
Zm00033ab000750,pan_gene_38,1,Core Gene,N
Zm00033ab000760,pan_gene_39,1,Core Gene,N
Zm00033ab000770,pan_gene_40,1,Core Gene,N
Zm00033ab000780,pan_gene_41,1,Core Gene,N
Zm00033ab000790,pan_gene_42,1,Core Gene,N
Zm00033ab000800,pan_gene_43,1,Dispensable Gene,N
Zm00033ab000820,pan_gene_44,1,Core Gene,N
Zm00033ab000830,pan_gene_45,1,Core Gene,N
Zm00033ab000840,pan_gene_46,1,Core Gene,N
Zm00033ab000850,pan_gene_47,1,Core Gene,N
Zm00033ab000860,pan_gene_48,1,Core Gene,N
Zm00033ab000880,pan_gene_49,1,Core Gene,N
Zm00033ab000890,pan_gene_50,1,Core Gene,N
Zm00033ab000900,pan_gene_51,1,Core Gene,N
Zm00033ab000920,pan_gene_52,2,Core Gene,Y
Zm00033ab000930,pan_gene_53,1,Core Gene,N
Zm00033ab000950,pan_gene_54,1,Core Gene,N
Zm00033ab000960,pan_gene_55,1,Core Gene,N
Zm00033ab000970,pan_gene_56,1,Core Gene,N
Zm00033ab000980,pan_gene_57,1,Core Gene,N
Zm00033ab000990,pan_gene_58,1,Core Gene,N
Zm00033ab001000,pan_gene_59,1,Dispensable Gene,N
Zm00033ab001010,pan_gene_60,1,Core Gene,N
gmap_ID=chr1:3401906-3403539,pan_gene_61,1,Dispensable Gene,N
Zm00033ab001020,pan_gene_62,1,Core Gene,N
gmap_ID=chr1:3460075-3460371,pan_gene_63,1,Core Gene,N
Zm00033ab001040,pan_gene_64,1,Core Gene,N
Zm00033ab001060,pan_gene_65,1,Core Gene,N
Zm00033ab001070,pan_gene_66,1,Core Gene,N
Zm00033ab001090,pan_gene_67,1,Core Gene,N
Zm00033ab001100,pan_gene_68,1,Core Gene,N
Zm00033ab001110,pan_gene_69,1,Core Gene,N
Zm00033ab001120,pan_gene_70,1,Core Gene,N
Zm00033ab001130,pan_gene_71,1,Core Gene,N
Zm00033ab001160,pan_gene_72,1,Core Gene,N
Zm00033ab001170,pan_gene_73,1,Core Gene,N
Zm00033ab001180,pan_gene_74,1,Core Gene,N
Zm00033ab001190,pan_gene_75,1,Core Gene,N
Zm00033ab001200,pan_gene_76,1,Core Gene,N
Zm00033ab001210,pan_gene_77,1,Core Gene,N
Zm00033ab001220,pan_gene_78,1,Core Gene,N
Zm00033ab001230,pan_gene_80,1,Core Gene,N
Zm00033ab001250,pan_gene_81,1,Core Gene,N
Zm00033ab001260,pan_gene_82,1,Core Gene,N
Zm00033ab001270,pan_gene_83,1,Core Gene,N
Zm00033ab001290,pan_gene_84,1,Near-Core Gene,N
gmap_ID=chr1:4103726-4104265,pan_gene_85,1,Dispensable Gene,N
Zm00033ab001330,pan_gene_86,1,Core Gene,N
Zm00033ab001340,pan_gene_87,1,Core Gene,N
Zm00033ab001350,pan_gene_88,1,Core Gene,N
