gene,pan,copy,class,duplicate
Zm00023ab000060,pan_gene_2,1,Near-Core Gene,N
gmap_ID=chr1:188535-191366,pan_gene_3,1,Near-Core Gene,N
gmap_ID=chr1:237628-238390,pan_gene_4,1,Dispensable Gene,N
Zm00023ab000090,pan_gene_5,1,Near-Core Gene,N
Zm00023ab000110,pan_gene_7,1,Near-Core Gene,N
Zm00023ab000190,pan_gene_8,3,Core Gene,Y
Zm00023ab000180,pan_gene_9,5,Core Gene,Y
Zm00023ab000540,pan_gene_10,2,Core Gene,Y
Zm00023ab000210,pan_gene_11,2,Core Gene,Y
Zm00023ab000580,pan_gene_12,1,Core Gene,N
Zm00023ab000590,pan_gene_13,1,Core Gene,N
Zm00023ab000610,pan_gene_14,1,Core Gene,N
Zm00023ab000620,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:3176486-3179558,pan_gene_16,1,Core Gene,N
gmap_ID=chr1:3354141-3355768,pan_gene_17,1,Core Gene,N
Zm00023ab000690,pan_gene_18,1,Core Gene,N
Zm00023ab000700,pan_gene_19,1,Core Gene,N
Zm00023ab000710,pan_gene_20,1,Core Gene,N
Zm00023ab000720,pan_gene_21,1,Core Gene,N
Zm00023ab000730,pan_gene_23,2,Core Gene,Y
Zm00023ab000750,pan_gene_24,1,Core Gene,N
Zm00023ab000770,pan_gene_25,1,Core Gene,N
Zm00023ab000780,pan_gene_26,1,Core Gene,N
Zm00023ab000790,pan_gene_27,1,Core Gene,N
Zm00023ab000880,pan_gene_28,1,Core Gene,N
Zm00023ab000890,pan_gene_29,1,Core Gene,N
Zm00023ab000900,pan_gene_30,1,Core Gene,N
Zm00023ab000910,pan_gene_31,1,Core Gene,N
Zm00023ab000920,pan_gene_32,1,Core Gene,N
Zm00023ab000930,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:4380800-4381117,pan_gene_34,1,Dispensable Gene,N
Zm00023ab000950,pan_gene_35,2,Near-Core Gene,Y
Zm00023ab000970,pan_gene_36,1,Core Gene,N
Zm00023ab000980,pan_gene_38,1,Core Gene,N
Zm00023ab000990,pan_gene_39,1,Core Gene,N
Zm00023ab001000,pan_gene_40,1,Core Gene,N
Zm00023ab001010,pan_gene_41,1,Core Gene,N
Zm00023ab001020,pan_gene_42,1,Core Gene,N
Zm00023ab001030,pan_gene_43,1,Dispensable Gene,N
Zm00023ab001040,pan_gene_44,1,Core Gene,N
Zm00023ab001060,pan_gene_45,1,Core Gene,N
Zm00023ab001070,pan_gene_46,1,Core Gene,N
Zm00023ab001080,pan_gene_47,1,Core Gene,N
Zm00023ab001090,pan_gene_48,1,Core Gene,N
Zm00023ab001110,pan_gene_49,1,Core Gene,N
Zm00023ab001130,pan_gene_50,1,Core Gene,N
Zm00023ab001140,pan_gene_51,1,Core Gene,N
Zm00023ab001160,pan_gene_52,2,Core Gene,Y
Zm00023ab001170,pan_gene_53,1,Core Gene,N
Zm00023ab001190,pan_gene_54,1,Core Gene,N
Zm00023ab001200,pan_gene_55,1,Core Gene,N
Zm00023ab001210,pan_gene_56,1,Core Gene,N
Zm00023ab001220,pan_gene_57,1,Core Gene,N
Zm00023ab001230,pan_gene_58,1,Core Gene,N
Zm00023ab001240,pan_gene_59,1,Dispensable Gene,N
Zm00023ab001250,pan_gene_60,1,Core Gene,N
Zm00023ab001260,pan_gene_62,1,Core Gene,N
gmap_ID=chr1:5265331-5265627,pan_gene_63,1,Core Gene,N
Zm00023ab001280,pan_gene_64,1,Core Gene,N
Zm00023ab001290,pan_gene_65,1,Core Gene,N
Zm00023ab001300,pan_gene_66,1,Core Gene,N
Zm00023ab001320,pan_gene_67,1,Core Gene,N
Zm00023ab001340,pan_gene_68,1,Core Gene,N
Zm00023ab001350,pan_gene_69,1,Core Gene,N
Zm00023ab001370,pan_gene_70,1,Core Gene,N
Zm00023ab001380,pan_gene_71,1,Core Gene,N
Zm00023ab001400,pan_gene_72,1,Core Gene,N
Zm00023ab001410,pan_gene_73,1,Core Gene,N
Zm00023ab001420,pan_gene_74,1,Core Gene,N
Zm00023ab001430,pan_gene_75,1,Core Gene,N
Zm00023ab001440,pan_gene_76,1,Core Gene,N
Zm00023ab001460,pan_gene_77,1,Core Gene,N
Zm00023ab001470,pan_gene_78,1,Core Gene,N
Zm00023ab001480,pan_gene_80,1,Core Gene,N
Zm00023ab001500,pan_gene_81,2,Core Gene,Y
Zm00023ab001520,pan_gene_82,1,Core Gene,N
Zm00023ab001530,pan_gene_83,1,Core Gene,N
gmap_ID=chr1:5919801-5920094,pan_gene_84,1,Near-Core Gene,N
gmap_ID=chr1:5997971-5998483,pan_gene_85,1,Dispensable Gene,N
Zm00023ab001550,pan_gene_86,1,Core Gene,N
Zm00023ab001570,pan_gene_87,1,Core Gene,N
Zm00023ab001580,pan_gene_88,1,Core Gene,N
Zm00023ab001590,pan_gene_89,1,Core Gene,N
Zm00023ab001600,pan_gene_90,1,Core Gene,N
Zm00023ab001610,pan_gene_91,1,Core Gene,N
Zm00023ab001620,pan_gene_92,1,Core Gene,N
Zm00023ab001630,pan_gene_93,1,Core Gene,N
Zm00023ab001640,pan_gene_94,1,Core Gene,N
Zm00023ab001650,pan_gene_95,1,Core Gene,N
Zm00023ab001660,pan_gene_96,1,Core Gene,N
gmap_ID=chr1:6169659-6169982,pan_gene_97,1,Near-Core Gene,N
Zm00023ab001680,pan_gene_98,1,Core Gene,N
Zm00023ab001690,pan_gene_100,1,Core Gene,N
Zm00023ab001700,pan_gene_101,1,Core Gene,N
Zm00023ab001720,pan_gene_102,1,Core Gene,N
Zm00023ab001730,pan_gene_103,1,Core Gene,N
Zm00023ab001740,pan_gene_108,2,Core Gene,Y
Zm00023ab001770,pan_gene_109,2,Core Gene,Y
Zm00023ab001790,pan_gene_110,1,Core Gene,N
Zm00023ab001810,pan_gene_113,1,Core Gene,N
Zm00023ab001820,pan_gene_114,1,Core Gene,N
Zm00023ab001850,pan_gene_115,1,Core Gene,N
Zm00023ab001870,pan_gene_116,1,Core Gene,N
Zm00023ab001880,pan_gene_117,1,Core Gene,N
Zm00023ab001890,pan_gene_118,1,Core Gene,N
Zm00023ab001900,pan_gene_119,1,Core Gene,N
Zm00023ab001920,pan_gene_120,1,Core Gene,N
Zm00023ab001930,pan_gene_121,1,Near-Core Gene,N
Zm00023ab001940,pan_gene_122,2,Core Gene,Y
Zm00023ab001960,pan_gene_123,1,Core Gene,N
Zm00023ab001990,pan_gene_124,1,Core Gene,N
Zm00023ab002000,pan_gene_125,1,Core Gene,N
Zm00023ab002020,pan_gene_126,1,Dispensable Gene,N
Zm00023ab002030,pan_gene_127,2,Core Gene,Y
Zm00023ab002050,pan_gene_128,1,Core Gene,N
Zm00023ab002070,pan_gene_129,1,Dispensable Gene,N
Zm00023ab002080,pan_gene_130,1,Core Gene,N
Zm00023ab002090,pan_gene_131,1,Core Gene,N
Zm00023ab002100,pan_gene_132,1,Core Gene,N
Zm00023ab002120,pan_gene_133,1,Core Gene,N
Zm00023ab002140,pan_gene_134,1,Core Gene,N
Zm00023ab002150,pan_gene_135,1,Core Gene,N
Zm00023ab002160,pan_gene_136,1,Core Gene,N
Zm00023ab002170,pan_gene_137,1,Core Gene,N
Zm00023ab002180,pan_gene_138,1,Core Gene,N
Zm00023ab002190,pan_gene_139,1,Core Gene,N
Zm00023ab002200,pan_gene_140,1,Near-Core Gene,N
Zm00023ab002220,pan_gene_141,1,Core Gene,N
Zm00023ab002230,pan_gene_142,1,Core Gene,N
Zm00023ab002240,pan_gene_143,1,Core Gene,N
Zm00023ab002250,pan_gene_146,1,Core Gene,N
Zm00023ab002260,pan_gene_147,1,Core Gene,N
Zm00023ab002270,pan_gene_148,2,Core Gene,Y
Zm00023ab002290,pan_gene_149,1,Core Gene,N
Zm00023ab002310,pan_gene_150,1,Core Gene,N
Zm00023ab002320,pan_gene_151,1,Core Gene,N
Zm00023ab002360,pan_gene_152,1,Core Gene,N
Zm00023ab002370,pan_gene_153,1,Core Gene,N
Zm00023ab002380,pan_gene_154,1,Core Gene,N
Zm00023ab002400,pan_gene_155,2,Core Gene,Y
Zm00023ab002440,pan_gene_156,1,Core Gene,N
Zm00023ab002470,pan_gene_157,1,Core Gene,N
Zm00023ab002480,pan_gene_158,1,Core Gene,N
Zm00023ab002490,pan_gene_159,1,Core Gene,N
Zm00023ab002500,pan_gene_160,1,Core Gene,N
Zm00023ab002510,pan_gene_161,1,Core Gene,N
Zm00023ab002520,pan_gene_162,1,Core Gene,N
Zm00023ab002530,pan_gene_163,1,Core Gene,N
Zm00023ab002540,pan_gene_164,1,Core Gene,N
Zm00023ab002550,pan_gene_165,1,Core Gene,N
Zm00023ab002560,pan_gene_166,1,Core Gene,N
Zm00023ab002570,pan_gene_168,1,Core Gene,N
Zm00023ab002580,pan_gene_169,1,Core Gene,N
gmap_ID=chr1:8896611-8897034,pan_gene_170,1,Core Gene,N
Zm00023ab002590,pan_gene_171,1,Core Gene,N
Zm00023ab002610,pan_gene_172,1,Core Gene,N
gmap_ID=chr1:9075036-9076412,pan_gene_173,1,Dispensable Gene,N
Zm00023ab002680,pan_gene_174,1,Core Gene,N
Zm00023ab002700,pan_gene_175,1,Core Gene,N
Zm00023ab002710,pan_gene_176,2,Core Gene,Y
Zm00023ab002740,pan_gene_177,2,Core Gene,Y
gmap_ID=chr1:9237346-9237728,pan_gene_178,1,Dispensable Gene,N
Zm00023ab002760,pan_gene_179,1,Core Gene,N
Zm00023ab002770,pan_gene_180,1,Core Gene,N
Zm00023ab002780,pan_gene_181,1,Core Gene,N
Zm00023ab002790,pan_gene_182,1,Core Gene,N
Zm00023ab002810,pan_gene_183,1,Core Gene,N
gmap_ID=chr1:9297525-9297877,pan_gene_184,1,Near-Core Gene,N
Zm00023ab002830,pan_gene_185,1,Core Gene,N
Zm00023ab002840,pan_gene_186,1,Core Gene,N
Zm00023ab002850,pan_gene_187,1,Core Gene,N
Zm00023ab002860,pan_gene_188,1,Core Gene,N
Zm00023ab002870,pan_gene_189,1,Core Gene,N
Zm00023ab002890,pan_gene_191,1,Core Gene,N
Zm00023ab002910,pan_gene_193,1,Near-Core Gene,N
Zm00023ab002920,pan_gene_194,1,Core Gene,N
Zm00023ab002930,pan_gene_195,1,Core Gene,N
Zm00023ab002940,pan_gene_196,1,Core Gene,N
