gene,pan,copy,class,duplicate
Zm00038ab000040,pan_gene_1,1,Dispensable Gene,N
Zm00038ab000060,pan_gene_2,1,Near-Core Gene,N
Zm00038ab000080,pan_gene_3,1,Near-Core Gene,N
gmap_ID=chr1:245872-246634,pan_gene_4,1,Dispensable Gene,N
Zm00038ab000110,pan_gene_5,1,Near-Core Gene,N
Zm00038ab000130,pan_gene_7,1,Near-Core Gene,N
Zm00038ab000190,pan_gene_8,1,Core Gene,N
Zm00038ab000180,pan_gene_9,1,Core Gene,N
Zm00038ab000200,pan_gene_10,1,Core Gene,N
Zm00038ab000210,pan_gene_11,1,Core Gene,N
Zm00038ab000220,pan_gene_12,1,Core Gene,N
Zm00038ab000230,pan_gene_13,1,Core Gene,N
Zm00038ab000240,pan_gene_14,1,Core Gene,N
Zm00038ab000250,pan_gene_15,1,Core Gene,N
Zm00038ab000280,pan_gene_16,1,Core Gene,N
Zm00038ab000310,pan_gene_17,1,Core Gene,N
gmap_ID=chr1:1392059-1406517,pan_gene_18,1,Core Gene,N
Zm00038ab000320,pan_gene_19,1,Core Gene,N
Zm00038ab000340,pan_gene_20,1,Core Gene,N
Zm00038ab000380,pan_gene_21,1,Core Gene,N
Zm00038ab000400,pan_gene_23,2,Core Gene,Y
Zm00038ab000420,pan_gene_24,1,Core Gene,N
Zm00038ab000440,pan_gene_25,1,Core Gene,N
Zm00038ab000450,pan_gene_26,1,Core Gene,N
Zm00038ab000500,pan_gene_27,1,Core Gene,N
Zm00038ab000540,pan_gene_28,1,Core Gene,N
Zm00038ab000550,pan_gene_29,1,Core Gene,N
Zm00038ab000560,pan_gene_30,1,Core Gene,N
Zm00038ab000570,pan_gene_31,1,Core Gene,N
Zm00038ab000580,pan_gene_32,1,Core Gene,N
Zm00038ab000590,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2380532-2380849,pan_gene_34,1,Dispensable Gene,N
Zm00038ab000610,pan_gene_35,1,Near-Core Gene,N
Zm00038ab000620,pan_gene_36,1,Core Gene,N
Zm00038ab000630,pan_gene_37,2,Dispensable Gene,Y
Zm00038ab000650,pan_gene_38,1,Core Gene,N
Zm00038ab000670,pan_gene_39,1,Core Gene,N
Zm00038ab000700,pan_gene_40,1,Core Gene,N
Zm00038ab000720,pan_gene_41,1,Core Gene,N
Zm00038ab000730,pan_gene_42,1,Core Gene,N
Zm00038ab000740,pan_gene_44,1,Core Gene,N
Zm00038ab000750,pan_gene_45,1,Core Gene,N
Zm00038ab000760,pan_gene_46,1,Core Gene,N
Zm00038ab000770,pan_gene_47,1,Core Gene,N
Zm00038ab000780,pan_gene_48,1,Core Gene,N
Zm00038ab000790,pan_gene_49,1,Core Gene,N
Zm00038ab000800,pan_gene_50,1,Core Gene,N
Zm00038ab000810,pan_gene_51,1,Core Gene,N
Zm00038ab000830,pan_gene_52,2,Core Gene,Y
Zm00038ab000840,pan_gene_53,1,Core Gene,N
Zm00038ab000860,pan_gene_54,1,Core Gene,N
Zm00038ab000870,pan_gene_55,1,Core Gene,N
Zm00038ab000880,pan_gene_56,1,Core Gene,N
Zm00038ab000890,pan_gene_57,1,Core Gene,N
Zm00038ab000900,pan_gene_58,1,Core Gene,N
Zm00038ab000910,pan_gene_59,1,Dispensable Gene,N
Zm00038ab000920,pan_gene_60,1,Core Gene,N
Zm00038ab000930,pan_gene_62,1,Core Gene,N
Zm00038ab000940,pan_gene_63,1,Core Gene,N
Zm00038ab000950,pan_gene_64,1,Core Gene,N
Zm00038ab000960,pan_gene_65,1,Core Gene,N
Zm00038ab000970,pan_gene_66,2,Core Gene,Y
Zm00038ab001000,pan_gene_67,1,Core Gene,N
Zm00038ab001020,pan_gene_68,1,Core Gene,N
Zm00038ab001030,pan_gene_69,1,Core Gene,N
Zm00038ab001040,pan_gene_70,1,Core Gene,N
Zm00038ab001050,pan_gene_71,2,Core Gene,Y
Zm00038ab001080,pan_gene_72,1,Core Gene,N
Zm00038ab001090,pan_gene_73,1,Core Gene,N
Zm00038ab001100,pan_gene_74,1,Core Gene,N
Zm00038ab001110,pan_gene_75,1,Core Gene,N
Zm00038ab001120,pan_gene_76,1,Core Gene,N
Zm00038ab001130,pan_gene_77,1,Core Gene,N
Zm00038ab001140,pan_gene_78,1,Core Gene,N
Zm00038ab001150,pan_gene_80,1,Core Gene,N
Zm00038ab001160,pan_gene_81,1,Core Gene,N
Zm00038ab001170,pan_gene_82,1,Core Gene,N
Zm00038ab001190,pan_gene_83,1,Core Gene,N
gmap_ID=chr1:3801815-3802108,pan_gene_84,1,Near-Core Gene,N
Zm00038ab001220,pan_gene_85,1,Dispensable Gene,N
Zm00038ab001230,pan_gene_86,1,Core Gene,N
Zm00038ab001240,pan_gene_87,1,Core Gene,N
Zm00038ab001250,pan_gene_88,1,Core Gene,N
Zm00038ab001260,pan_gene_89,1,Core Gene,N
Zm00038ab001270,pan_gene_90,1,Core Gene,N
Zm00038ab001280,pan_gene_91,1,Core Gene,N
Zm00038ab001290,pan_gene_92,1,Core Gene,N
Zm00038ab001300,pan_gene_93,1,Core Gene,N
Zm00038ab001310,pan_gene_94,1,Core Gene,N
Zm00038ab001320,pan_gene_95,1,Core Gene,N
Zm00038ab001330,pan_gene_96,1,Core Gene,N
gmap_ID=chr1:4064866-4065201,pan_gene_97,1,Near-Core Gene,N
Zm00038ab001340,pan_gene_98,1,Core Gene,N
Zm00038ab001350,pan_gene_99,1,Dispensable Gene,N
Zm00038ab001360,pan_gene_100,1,Core Gene,N
Zm00038ab001370,pan_gene_101,1,Core Gene,N
Zm00038ab001380,pan_gene_102,1,Core Gene,N
Zm00038ab001390,pan_gene_103,1,Core Gene,N
Zm00038ab001410,pan_gene_108,2,Core Gene,Y
Zm00038ab001440,pan_gene_109,2,Core Gene,Y
Zm00038ab001470,pan_gene_110,1,Core Gene,N
gmap_ID=chr1:4366236-4366625,pan_gene_111,1,Dispensable Gene,N
Zm00038ab001490,pan_gene_112,1,Dispensable Gene,N
Zm00038ab001500,pan_gene_113,1,Core Gene,N
Zm00038ab001510,pan_gene_114,1,Core Gene,N
Zm00038ab001540,pan_gene_115,1,Core Gene,N
Zm00038ab001550,pan_gene_116,1,Core Gene,N
Zm00038ab001560,pan_gene_117,1,Core Gene,N
Zm00038ab001570,pan_gene_118,1,Core Gene,N
Zm00038ab001580,pan_gene_119,1,Core Gene,N
Zm00038ab001590,pan_gene_120,1,Core Gene,N
gmap_ID=chr1:4655931-4664023,pan_gene_121,1,Near-Core Gene,N
Zm00038ab001600,pan_gene_122,1,Core Gene,N
Zm00038ab001620,pan_gene_123,1,Core Gene,N
Zm00038ab001630,pan_gene_124,1,Core Gene,N
Zm00038ab001640,pan_gene_125,1,Core Gene,N
Zm00038ab001660,pan_gene_126,2,Dispensable Gene,Y
Zm00038ab001670,pan_gene_127,1,Core Gene,N
Zm00038ab001680,pan_gene_128,1,Core Gene,N
Zm00038ab001690,pan_gene_130,1,Core Gene,N
Zm00038ab001700,pan_gene_131,1,Core Gene,N
Zm00038ab001710,pan_gene_132,1,Core Gene,N
Zm00038ab001730,pan_gene_133,1,Core Gene,N
Zm00038ab001740,pan_gene_134,1,Core Gene,N
Zm00038ab001750,pan_gene_135,1,Core Gene,N
Zm00038ab001760,pan_gene_136,1,Core Gene,N
Zm00038ab001770,pan_gene_137,1,Core Gene,N
Zm00038ab001780,pan_gene_138,1,Core Gene,N
Zm00038ab001800,pan_gene_139,1,Core Gene,N
gmap_ID=chr1:5448665-5450648,pan_gene_140,1,Near-Core Gene,N
Zm00038ab001820,pan_gene_141,1,Core Gene,N
Zm00038ab001850,pan_gene_142,1,Core Gene,N
Zm00038ab001870,pan_gene_143,1,Core Gene,N
Zm00038ab001900,pan_gene_146,1,Core Gene,N
Zm00038ab001910,pan_gene_147,1,Core Gene,N
Zm00038ab001920,pan_gene_148,1,Core Gene,N
Zm00038ab001930,pan_gene_149,1,Core Gene,N
Zm00038ab001960,pan_gene_150,1,Core Gene,N
Zm00038ab001970,pan_gene_151,1,Core Gene,N
Zm00038ab001980,pan_gene_152,1,Core Gene,N
Zm00038ab001990,pan_gene_153,1,Core Gene,N
Zm00038ab002000,pan_gene_154,1,Core Gene,N
Zm00038ab002020,pan_gene_155,3,Core Gene,Y
Zm00038ab002050,pan_gene_156,1,Core Gene,N
Zm00038ab002070,pan_gene_157,1,Core Gene,N
Zm00038ab002080,pan_gene_158,1,Core Gene,N
Zm00038ab002100,pan_gene_159,1,Core Gene,N
Zm00038ab002110,pan_gene_160,1,Core Gene,N
Zm00038ab002120,pan_gene_161,1,Core Gene,N
Zm00038ab002130,pan_gene_162,1,Core Gene,N
Zm00038ab002140,pan_gene_163,1,Core Gene,N
Zm00038ab002150,pan_gene_164,1,Core Gene,N
Zm00038ab002160,pan_gene_165,1,Core Gene,N
Zm00038ab002180,pan_gene_166,1,Core Gene,N
Zm00038ab002190,pan_gene_167,1,Dispensable Gene,N
Zm00038ab002200,pan_gene_168,1,Core Gene,N
Zm00038ab002210,pan_gene_169,1,Core Gene,N
gmap_ID=chr1:6449482-6449907,pan_gene_170,1,Core Gene,N
Zm00038ab002220,pan_gene_171,1,Core Gene,N
Zm00038ab002230,pan_gene_172,1,Core Gene,N
