gene,pan,class
Zm00039ab000050,pan_gene_1,Dispensable Gene
Zm00039ab000070,pan_gene_2,Near-Core Gene
Zm00039ab000080,pan_gene_3,Near-Core Gene
gmap_ID=chr1:245779-246541,pan_gene_4,Dispensable Gene
Zm00039ab000110,pan_gene_5,Near-Core Gene
Zm00039ab000130,pan_gene_7,Near-Core Gene
Zm00039ab000170,pan_gene_8,Core Gene
Zm00039ab000160,pan_gene_9,Core Gene
Zm00039ab000200,pan_gene_10,Core Gene
Zm00039ab000190,pan_gene_11,Core Gene
Zm00039ab000230,pan_gene_12,Core Gene
Zm00039ab000240,pan_gene_13,Core Gene
Zm00039ab000250,pan_gene_14,Core Gene
Zm00039ab000260,pan_gene_15,Core Gene
gmap_ID=chr1:1065657-1068606,pan_gene_16,Core Gene
Zm00039ab000310,pan_gene_17,Core Gene
Zm00039ab000320,pan_gene_18,Core Gene
Zm00039ab000330,pan_gene_19,Core Gene
Zm00039ab000340,pan_gene_20,Core Gene
Zm00039ab000360,pan_gene_21,Core Gene
Zm00039ab000380,pan_gene_22,Dispensable Gene
Zm00039ab000390,pan_gene_23,Core Gene
Zm00039ab000410,pan_gene_24,Core Gene
Zm00039ab000430,pan_gene_25,Core Gene
Zm00039ab000440,pan_gene_26,Core Gene
Zm00039ab000450,pan_gene_27,Core Gene
Zm00039ab000490,pan_gene_28,Core Gene
Zm00039ab000500,pan_gene_29,Core Gene
Zm00039ab000510,pan_gene_30,Core Gene
Zm00039ab000520,pan_gene_31,Core Gene
Zm00039ab000530,pan_gene_32,Core Gene
Zm00039ab000540,pan_gene_33,Core Gene
gmap_ID=chr1:2153785-2154102,pan_gene_34,Dispensable Gene
Zm00039ab000560,pan_gene_35,Near-Core Gene
Zm00039ab000580,pan_gene_36,Core Gene
Zm00039ab000600,pan_gene_38,Core Gene
Zm00039ab000610,pan_gene_39,Core Gene
Zm00039ab000620,pan_gene_40,Core Gene
Zm00039ab000630,pan_gene_41,Core Gene
Zm00039ab000640,pan_gene_42,Core Gene
Zm00039ab000660,pan_gene_43,Dispensable Gene
Zm00039ab000670,pan_gene_44,Core Gene
Zm00039ab000680,pan_gene_45,Core Gene
Zm00039ab000690,pan_gene_46,Core Gene
Zm00039ab000700,pan_gene_47,Core Gene
Zm00039ab000710,pan_gene_48,Core Gene
Zm00039ab000720,pan_gene_49,Core Gene
Zm00039ab000730,pan_gene_50,Core Gene
Zm00039ab000740,pan_gene_51,Core Gene
Zm00039ab000750,pan_gene_52,Core Gene
Zm00039ab000760,pan_gene_53,Core Gene
Zm00039ab000780,pan_gene_54,Core Gene
Zm00039ab000790,pan_gene_55,Core Gene
Zm00039ab000800,pan_gene_56,Core Gene
Zm00039ab000810,pan_gene_57,Core Gene
Zm00039ab000820,pan_gene_58,Core Gene
Zm00039ab000830,pan_gene_60,Core Gene
Zm00039ab000840,pan_gene_62,Core Gene
Zm00039ab000860,pan_gene_63,Core Gene
Zm00039ab000870,pan_gene_64,Core Gene
Zm00039ab000890,pan_gene_65,Core Gene
Zm00039ab000920,pan_gene_66,Core Gene
Zm00039ab000930,pan_gene_67,Core Gene
Zm00039ab000950,pan_gene_68,Core Gene
Zm00039ab000960,pan_gene_69,Core Gene
Zm00039ab000990,pan_gene_70,Core Gene
Zm00039ab001000,pan_gene_71,Core Gene
Zm00039ab001030,pan_gene_72,Core Gene
Zm00039ab001040,pan_gene_73,Core Gene
Zm00039ab001050,pan_gene_74,Core Gene
Zm00039ab001060,pan_gene_75,Core Gene
Zm00039ab001070,pan_gene_76,Core Gene
Zm00039ab001080,pan_gene_77,Core Gene
Zm00039ab001090,pan_gene_78,Core Gene
Zm00039ab001100,pan_gene_80,Core Gene
Zm00039ab001120,pan_gene_81,Core Gene
Zm00039ab001130,pan_gene_82,Core Gene
Zm00039ab001160,pan_gene_83,Core Gene
gmap_ID=chr1:3586317-3586610,pan_gene_84,Near-Core Gene
gmap_ID=chr1:3657626-3658138,pan_gene_85,Dispensable Gene
Zm00039ab001180,pan_gene_86,Core Gene
Zm00039ab001210,pan_gene_87,Core Gene
Zm00039ab001220,pan_gene_88,Core Gene
Zm00039ab001230,pan_gene_89,Core Gene
Zm00039ab001240,pan_gene_90,Core Gene
Zm00039ab001250,pan_gene_91,Core Gene
Zm00039ab001260,pan_gene_92,Core Gene
Zm00039ab001270,pan_gene_93,Core Gene
Zm00039ab001280,pan_gene_94,Core Gene
Zm00039ab001290,pan_gene_95,Core Gene
Zm00039ab001300,pan_gene_96,Core Gene
gmap_ID=chr1:3903796-3904131,pan_gene_97,Near-Core Gene
Zm00039ab001320,pan_gene_98,Core Gene
Zm00039ab001330,pan_gene_99,Dispensable Gene
Zm00039ab001340,pan_gene_100,Core Gene
Zm00039ab001350,pan_gene_101,Core Gene
Zm00039ab001360,pan_gene_102,Core Gene
Zm00039ab001370,pan_gene_103,Core Gene
Zm00039ab001380,pan_gene_108,Core Gene
Zm00039ab001420,pan_gene_109,Core Gene
Zm00039ab001440,pan_gene_110,Core Gene
Zm00039ab001450,pan_gene_113,Core Gene
Zm00039ab001460,pan_gene_114,Core Gene
Zm00039ab001480,pan_gene_115,Core Gene
Zm00039ab001490,pan_gene_116,Core Gene
Zm00039ab001500,pan_gene_117,Core Gene
Zm00039ab001520,pan_gene_118,Core Gene
Zm00039ab001510,pan_gene_119,Core Gene
Zm00039ab001530,pan_gene_120,Core Gene
gmap_ID=chr1:4643570-4645377,pan_gene_121,Near-Core Gene
Zm00039ab001550,pan_gene_122,Core Gene
Zm00039ab001580,pan_gene_123,Core Gene
Zm00039ab001590,pan_gene_124,Core Gene
Zm00039ab001600,pan_gene_125,Core Gene
Zm00039ab001610,pan_gene_126,Dispensable Gene
Zm00039ab001630,pan_gene_127,Core Gene
Zm00039ab001640,pan_gene_128,Core Gene
Zm00039ab001650,pan_gene_129,Dispensable Gene
Zm00039ab001670,pan_gene_130,Core Gene
Zm00039ab001690,pan_gene_131,Core Gene
Zm00039ab001700,pan_gene_132,Core Gene
Zm00039ab001720,pan_gene_133,Core Gene
Zm00039ab001740,pan_gene_134,Core Gene
Zm00039ab001770,pan_gene_135,Core Gene
Zm00039ab001780,pan_gene_136,Core Gene
Zm00039ab001790,pan_gene_137,Core Gene
Zm00039ab001800,pan_gene_138,Core Gene
Zm00039ab001810,pan_gene_139,Core Gene
Zm00039ab001820,pan_gene_140,Near-Core Gene
Zm00039ab001840,pan_gene_141,Core Gene
Zm00039ab001850,pan_gene_142,Core Gene
Zm00039ab001860,pan_gene_143,Core Gene
Zm00039ab001870,pan_gene_146,Core Gene
Zm00039ab001880,pan_gene_147,Core Gene
Zm00039ab001890,pan_gene_148,Core Gene
Zm00039ab001900,pan_gene_149,Core Gene
Zm00039ab001920,pan_gene_150,Core Gene
Zm00039ab001930,pan_gene_151,Core Gene
Zm00039ab001940,pan_gene_152,Core Gene
Zm00039ab001970,pan_gene_153,Core Gene
Zm00039ab001990,pan_gene_154,Core Gene
Zm00039ab002000,pan_gene_155,Core Gene
Zm00039ab002040,pan_gene_156,Core Gene
Zm00039ab002090,pan_gene_157,Core Gene
Zm00039ab002100,pan_gene_158,Core Gene
Zm00039ab002120,pan_gene_159,Core Gene
Zm00039ab002130,pan_gene_160,Core Gene
Zm00039ab002140,pan_gene_161,Core Gene
Zm00039ab002160,pan_gene_162,Core Gene
Zm00039ab002170,pan_gene_163,Core Gene
Zm00039ab002180,pan_gene_164,Core Gene
Zm00039ab002190,pan_gene_165,Core Gene
Zm00039ab002200,pan_gene_166,Core Gene
Zm00039ab002210,pan_gene_167,Dispensable Gene
Zm00039ab002220,pan_gene_168,Core Gene
Zm00039ab002230,pan_gene_169,Core Gene
gmap_ID=chr1:6342128-6342553,pan_gene_170,Core Gene
Zm00039ab002240,pan_gene_171,Core Gene
Zm00039ab002250,pan_gene_172,Core Gene
Zm00039ab002280,pan_gene_174,Core Gene
Zm00039ab002310,pan_gene_175,Core Gene
Zm00039ab002320,pan_gene_176,Core Gene
Zm00039ab002350,pan_gene_177,Core Gene
gmap_ID=chr1:6591254-6591645,pan_gene_178,Dispensable Gene
Zm00039ab002360,pan_gene_179,Core Gene
Zm00039ab002380,pan_gene_180,Core Gene
Zm00039ab002390,pan_gene_181,Core Gene
Zm00039ab002400,pan_gene_182,Core Gene
Zm00039ab002420,pan_gene_183,Core Gene
Zm00039ab002430,pan_gene_184,Near-Core Gene
Zm00039ab002440,pan_gene_185,Core Gene
Zm00039ab002450,pan_gene_186,Core Gene
Zm00039ab002460,pan_gene_187,Core Gene
Zm00039ab002470,pan_gene_188,Core Gene
Zm00039ab002490,pan_gene_189,Core Gene
Zm00039ab002500,pan_gene_191,Core Gene
Zm00039ab002510,pan_gene_192,Near-Core Gene
Zm00039ab002530,pan_gene_193,Near-Core Gene
Zm00039ab002540,pan_gene_194,Core Gene
Zm00039ab002550,pan_gene_195,Core Gene
Zm00039ab002560,pan_gene_196,Core Gene
Zm00039ab002570,pan_gene_197,Core Gene
Zm00039ab002580,pan_gene_198,Core Gene
