gene,pan,copy,class,duplicate
gmap_ID=chr1:189478-189837,pan_gene_1,1,Dispensable Gene,N
Zm00018ab000070,pan_gene_2,1,Near-Core Gene,N
Zm00018ab000090,pan_gene_3,2,Near-Core Gene,Y
gmap_ID=chr1:256713-257475,pan_gene_4,1,Dispensable Gene,N
Zm00018ab000130,pan_gene_5,1,Near-Core Gene,N
gmap_ID=chr1:333325-333600,pan_gene_7,1,Near-Core Gene,N
Zm00018ab000220,pan_gene_8,1,Core Gene,N
Zm00018ab000230,pan_gene_9,1,Core Gene,N
Zm00018ab000260,pan_gene_10,1,Core Gene,N
Zm00018ab000250,pan_gene_11,1,Core Gene,N
Zm00018ab000280,pan_gene_12,1,Core Gene,N
Zm00018ab000290,pan_gene_13,1,Core Gene,N
Zm00018ab000310,pan_gene_14,1,Core Gene,N
Zm00018ab000320,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:1241628-1244582,pan_gene_16,1,Core Gene,N
Zm00018ab000370,pan_gene_17,1,Core Gene,N
Zm00018ab000380,pan_gene_18,1,Core Gene,N
Zm00018ab000390,pan_gene_19,1,Core Gene,N
Zm00018ab000400,pan_gene_20,1,Core Gene,N
Zm00018ab000450,pan_gene_21,1,Core Gene,N
Zm00018ab000460,pan_gene_23,2,Core Gene,Y
Zm00018ab000490,pan_gene_24,1,Core Gene,N
Zm00018ab000510,pan_gene_25,1,Core Gene,N
Zm00018ab000520,pan_gene_26,1,Core Gene,N
Zm00018ab000570,pan_gene_27,1,Core Gene,N
Zm00018ab000610,pan_gene_28,1,Core Gene,N
Zm00018ab000620,pan_gene_29,1,Core Gene,N
Zm00018ab000630,pan_gene_30,1,Core Gene,N
Zm00018ab000640,pan_gene_31,1,Core Gene,N
Zm00018ab000650,pan_gene_32,1,Core Gene,N
Zm00018ab000660,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2371872-2372189,pan_gene_34,1,Dispensable Gene,N
Zm00018ab000680,pan_gene_35,1,Near-Core Gene,N
Zm00018ab000690,pan_gene_36,1,Core Gene,N
Zm00018ab000700,pan_gene_38,1,Core Gene,N
Zm00018ab000710,pan_gene_39,1,Core Gene,N
Zm00018ab000730,pan_gene_40,1,Core Gene,N
Zm00018ab000740,pan_gene_41,1,Core Gene,N
Zm00018ab000750,pan_gene_42,1,Core Gene,N
Zm00018ab000760,pan_gene_43,1,Dispensable Gene,N
Zm00018ab000770,pan_gene_44,1,Core Gene,N
Zm00018ab000800,pan_gene_45,1,Core Gene,N
