"pan","B73","B97","CML103","CML228","CML247","CML277","CML322","CML333","CML52","CML69","HP301","Il14H","Ki11","Ki3","Ky21","M162W","M37W","Mo18W","Ms71","NC350","NC358","Oh43","Oh7B","P39","Tx303","Tzi8","median"
"pan_gene_10",5415,5415,5415,NA,NA,5415,NA,5415,NA,5415,5415,5415,NA,NA,NA,5415,NA,5415,5415,5415,5415,5415,5415,5415,5415,5415,5415
"pan_gene_100",885,885,885,885,885,NA,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885,885
"pan_gene_1000",4242,4242,4242,4242,4242,4242,4242,4242,4242,4242,4242,4242,4104,3099,4242,4086,4242,4242,4242,4242,4104,3654,4086,4242,4086,3336,4242
"pan_gene_10000",888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888
"pan_gene_10001",1407,NA,414,1407,NA,1407,1407,1407,NA,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,1407,NA,1407,1407,1407,1353,1407
"pan_gene_100017",NA,354,354,354,354,354,354,354,NA,354,354,354,354,354,NA,354,354,354,NA,354,NA,354,NA,354,354,354,354
"pan_gene_100028",NA,NA,NA,NA,267,267,NA,NA,564,267,NA,NA,NA,255,NA,267,372,NA,NA,291,NA,267,NA,NA,NA,267,267
"pan_gene_100029",NA,372,414,NA,NA,NA,NA,414,NA,NA,NA,NA,414,414,NA,NA,NA,NA,NA,315,NA,NA,NA,NA,NA,414,414
"pan_gene_10003",1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788
"pan_gene_100035",NA,534,951,867,1074,534,960,810,534,NA,NA,969,534,534,324,NA,NA,867,867,975,528,969,975,804,975,867,867
"pan_gene_10004",1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,NA,NA,1626,1626,1626,1626,1626,1626,NA,1626,1626,1626,1626,1626
"pan_gene_100046",NA,336,336,336,336,246,NA,336,336,336,NA,NA,NA,336,NA,NA,336,336,NA,336,246,NA,NA,NA,NA,336,336
"pan_gene_100050",NA,NA,345,345,351,351,468,NA,351,NA,NA,351,345,351,351,351,345,NA,345,351,345,345,345,351,NA,351,351
"pan_gene_100072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,NA,NA,363,339
"pan_gene_10008",2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2403,2409,2403,2403,2403
"pan_gene_100080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,NA,NA,NA,NA,NA,NA,NA,465,447,447,447
"pan_gene_100081",NA,NA,267,NA,420,NA,267,420,NA,420,420,NA,267,267,NA,NA,267,378,267,267,267,267,384,267,267,267,267
"pan_gene_10009",2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,1716,1791,NA,2037,2037,1941,1794,2238,2037,2037,2037,1197,2037,2037
