gene,pan,copy,class,duplicate
Zm00031ab000060,pan_gene_1,1,Dispensable Gene,N
Zm00031ab000080,pan_gene_2,1,Near-Core Gene,N
Zm00031ab000100,pan_gene_3,1,Near-Core Gene,N
Zm00031ab000110,pan_gene_4,1,Dispensable Gene,N
Zm00031ab000130,pan_gene_5,1,Near-Core Gene,N
Zm00031ab000160,pan_gene_6,1,Dispensable Gene,N
Zm00031ab000170,pan_gene_7,1,Near-Core Gene,N
Zm00031ab000230,pan_gene_8,1,Core Gene,N
Zm00031ab000220,pan_gene_9,1,Core Gene,N
Zm00031ab000250,pan_gene_10,6,Core Gene,Y
Zm00031ab000240,pan_gene_11,2,Core Gene,Y
Zm00031ab000340,pan_gene_12,1,Core Gene,N
Zm00031ab000350,pan_gene_13,1,Core Gene,N
Zm00031ab000370,pan_gene_14,1,Core Gene,N
Zm00031ab000380,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:1333239-1336188,pan_gene_16,1,Core Gene,N
Zm00031ab000430,pan_gene_17,1,Core Gene,N
gmap_ID=chr1:1491470-1499605,pan_gene_18,1,Core Gene,N
Zm00031ab000440,pan_gene_19,1,Core Gene,N
Zm00031ab000450,pan_gene_20,1,Core Gene,N
Zm00031ab000480,pan_gene_21,1,Core Gene,N
Zm00031ab000490,pan_gene_23,2,Core Gene,Y
Zm00031ab000520,pan_gene_24,1,Core Gene,N
Zm00031ab000530,pan_gene_25,1,Core Gene,N
Zm00031ab000540,pan_gene_26,1,Core Gene,N
Zm00031ab000550,pan_gene_27,1,Core Gene,N
Zm00031ab000590,pan_gene_28,1,Core Gene,N
Zm00031ab000600,pan_gene_29,1,Core Gene,N
Zm00031ab000610,pan_gene_30,1,Core Gene,N
Zm00031ab000620,pan_gene_31,1,Core Gene,N
Zm00031ab000630,pan_gene_32,1,Core Gene,N
Zm00031ab000640,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2332417-2332734,pan_gene_34,1,Dispensable Gene,N
Zm00031ab000680,pan_gene_35,1,Near-Core Gene,N
Zm00031ab000690,pan_gene_36,1,Core Gene,N
Zm00031ab000700,pan_gene_37,1,Dispensable Gene,N
Zm00031ab000710,pan_gene_38,1,Core Gene,N
Zm00031ab000720,pan_gene_39,1,Core Gene,N
Zm00031ab000730,pan_gene_40,1,Core Gene,N
Zm00031ab000740,pan_gene_41,1,Core Gene,N
Zm00031ab000750,pan_gene_42,1,Core Gene,N
Zm00031ab000760,pan_gene_43,1,Dispensable Gene,N
Zm00031ab000770,pan_gene_44,1,Core Gene,N
Zm00031ab000780,pan_gene_45,1,Core Gene,N
Zm00031ab000790,pan_gene_46,1,Core Gene,N
Zm00031ab000800,pan_gene_47,1,Core Gene,N
Zm00031ab000810,pan_gene_48,1,Core Gene,N
Zm00031ab000820,pan_gene_49,1,Core Gene,N
Zm00031ab000830,pan_gene_50,1,Core Gene,N
Zm00031ab000840,pan_gene_51,1,Core Gene,N
Zm00031ab000850,pan_gene_52,2,Core Gene,Y
Zm00031ab000860,pan_gene_53,1,Core Gene,N
Zm00031ab000880,pan_gene_54,1,Core Gene,N
Zm00031ab000890,pan_gene_55,1,Core Gene,N
Zm00031ab000900,pan_gene_56,1,Core Gene,N
Zm00031ab000910,pan_gene_57,1,Core Gene,N
Zm00031ab000920,pan_gene_58,1,Core Gene,N
Zm00031ab000930,pan_gene_59,1,Dispensable Gene,N
Zm00031ab000940,pan_gene_60,1,Core Gene,N
Zm00031ab000960,pan_gene_62,1,Core Gene,N
Zm00031ab000970,pan_gene_63,1,Core Gene,N
Zm00031ab000980,pan_gene_64,1,Core Gene,N
Zm00031ab000990,pan_gene_65,1,Core Gene,N
Zm00031ab001010,pan_gene_66,1,Core Gene,N
Zm00031ab001020,pan_gene_67,1,Core Gene,N
Zm00031ab001030,pan_gene_68,1,Core Gene,N
Zm00031ab001040,pan_gene_69,1,Core Gene,N
Zm00031ab001050,pan_gene_70,1,Core Gene,N
Zm00031ab001060,pan_gene_71,1,Core Gene,N
Zm00031ab001100,pan_gene_72,1,Core Gene,N
Zm00031ab001110,pan_gene_73,1,Core Gene,N
Zm00031ab001120,pan_gene_74,1,Core Gene,N
Zm00031ab001130,pan_gene_75,1,Core Gene,N
Zm00031ab001140,pan_gene_76,1,Core Gene,N
Zm00031ab001160,pan_gene_77,1,Core Gene,N
Zm00031ab001170,pan_gene_78,1,Core Gene,N
gmap_ID=chr1:3727312-3728590,pan_gene_79,1,Dispensable Gene,N
Zm00031ab001180,pan_gene_80,1,Core Gene,N
Zm00031ab001190,pan_gene_81,1,Core Gene,N
Zm00031ab001200,pan_gene_82,1,Core Gene,N
Zm00031ab001210,pan_gene_83,1,Core Gene,N
gmap_ID=chr1:3879461-3879754,pan_gene_84,1,Near-Core Gene,N
gmap_ID=chr1:3942033-3942549,pan_gene_85,1,Dispensable Gene,N
Zm00031ab001230,pan_gene_86,1,Core Gene,N
Zm00031ab001240,pan_gene_87,1,Core Gene,N
Zm00031ab001250,pan_gene_88,1,Core Gene,N
Zm00031ab001260,pan_gene_89,1,Core Gene,N
Zm00031ab001270,pan_gene_90,1,Core Gene,N
Zm00031ab001280,pan_gene_91,1,Core Gene,N
Zm00031ab001290,pan_gene_92,1,Core Gene,N
Zm00031ab001300,pan_gene_93,1,Core Gene,N
Zm00031ab001310,pan_gene_94,1,Core Gene,N
Zm00031ab001320,pan_gene_95,1,Core Gene,N
Zm00031ab001330,pan_gene_96,1,Core Gene,N
gmap_ID=chr1:4159863-4160198,pan_gene_97,1,Near-Core Gene,N
Zm00031ab001360,pan_gene_98,1,Core Gene,N
Zm00031ab001370,pan_gene_99,1,Dispensable Gene,N
Zm00031ab001380,pan_gene_100,1,Core Gene,N
Zm00031ab001390,pan_gene_101,1,Core Gene,N
Zm00031ab001400,pan_gene_102,1,Core Gene,N
Zm00031ab001410,pan_gene_103,1,Core Gene,N
Zm00031ab001420,pan_gene_108,2,Core Gene,Y
Zm00031ab001450,pan_gene_109,2,Core Gene,Y
Zm00031ab001490,pan_gene_110,1,Core Gene,N
Zm00031ab001500,pan_gene_113,1,Core Gene,N
Zm00031ab001510,pan_gene_114,1,Core Gene,N
Zm00031ab001540,pan_gene_115,1,Core Gene,N
Zm00031ab001550,pan_gene_116,1,Core Gene,N
Zm00031ab001600,pan_gene_117,1,Core Gene,N
Zm00031ab001610,pan_gene_118,1,Core Gene,N
Zm00031ab001620,pan_gene_119,1,Core Gene,N
Zm00031ab001630,pan_gene_120,1,Core Gene,N
Zm00031ab001650,pan_gene_121,1,Near-Core Gene,N
Zm00031ab001660,pan_gene_122,2,Core Gene,Y
Zm00031ab001690,pan_gene_123,2,Core Gene,Y
Zm00031ab001710,pan_gene_124,1,Core Gene,N
Zm00031ab001720,pan_gene_125,1,Core Gene,N
Zm00031ab001750,pan_gene_127,2,Core Gene,Y
Zm00031ab001770,pan_gene_128,1,Core Gene,N
Zm00031ab001780,pan_gene_130,1,Core Gene,N
Zm00031ab001790,pan_gene_131,1,Core Gene,N
Zm00031ab001800,pan_gene_132,1,Core Gene,N
Zm00031ab001820,pan_gene_133,1,Core Gene,N
Zm00031ab001840,pan_gene_134,1,Core Gene,N
Zm00031ab001850,pan_gene_135,1,Core Gene,N
Zm00031ab001860,pan_gene_136,1,Core Gene,N
Zm00031ab001870,pan_gene_137,1,Core Gene,N
Zm00031ab001880,pan_gene_138,1,Core Gene,N
Zm00031ab001910,pan_gene_139,1,Core Gene,N
Zm00031ab001920,pan_gene_140,1,Near-Core Gene,N
Zm00031ab001940,pan_gene_141,1,Core Gene,N
Zm00031ab001950,pan_gene_142,1,Core Gene,N
Zm00031ab001960,pan_gene_143,1,Core Gene,N
Zm00031ab001980,pan_gene_146,1,Core Gene,N
Zm00031ab001990,pan_gene_147,1,Core Gene,N
Zm00031ab002010,pan_gene_148,1,Core Gene,N
Zm00031ab002030,pan_gene_149,1,Core Gene,N
Zm00031ab002050,pan_gene_150,1,Core Gene,N
Zm00031ab002060,pan_gene_151,1,Core Gene,N
Zm00031ab002070,pan_gene_152,1,Core Gene,N
Zm00031ab002080,pan_gene_153,1,Core Gene,N
Zm00031ab002090,pan_gene_154,1,Core Gene,N
Zm00031ab002110,pan_gene_155,2,Core Gene,Y
Zm00031ab002130,pan_gene_156,1,Core Gene,N
Zm00031ab002180,pan_gene_157,1,Core Gene,N
Zm00031ab002190,pan_gene_158,1,Core Gene,N
Zm00031ab002210,pan_gene_159,1,Core Gene,N
Zm00031ab002230,pan_gene_160,1,Core Gene,N
Zm00031ab002240,pan_gene_161,1,Core Gene,N
Zm00031ab002250,pan_gene_162,1,Core Gene,N
Zm00031ab002260,pan_gene_163,1,Core Gene,N
Zm00031ab002270,pan_gene_164,1,Core Gene,N
Zm00031ab002280,pan_gene_165,1,Core Gene,N
Zm00031ab002300,pan_gene_166,1,Core Gene,N
Zm00031ab002310,pan_gene_167,1,Dispensable Gene,N
Zm00031ab002340,pan_gene_168,2,Core Gene,Y
Zm00031ab002360,pan_gene_169,1,Core Gene,N
Zm00031ab002370,pan_gene_170,1,Core Gene,N
Zm00031ab002380,pan_gene_171,1,Core Gene,N
Zm00031ab002390,pan_gene_172,1,Core Gene,N
Zm00031ab002420,pan_gene_174,1,Core Gene,N
Zm00031ab002500,pan_gene_175,1,Core Gene,N
Zm00031ab002510,pan_gene_176,1,Core Gene,N
Zm00031ab002520,pan_gene_177,1,Core Gene,N
Zm00031ab002540,pan_gene_179,1,Core Gene,N
Zm00031ab002560,pan_gene_180,1,Core Gene,N
Zm00031ab002570,pan_gene_181,1,Core Gene,N
Zm00031ab002580,pan_gene_182,1,Core Gene,N
Zm00031ab002600,pan_gene_183,1,Core Gene,N
Zm00031ab002610,pan_gene_184,1,Near-Core Gene,N
Zm00031ab002620,pan_gene_185,1,Core Gene,N
Zm00031ab002630,pan_gene_186,1,Core Gene,N
Zm00031ab002640,pan_gene_187,1,Core Gene,N
Zm00031ab002650,pan_gene_188,1,Core Gene,N
Zm00031ab002690,pan_gene_189,1,Core Gene,N
Zm00031ab002700,pan_gene_191,1,Core Gene,N
gmap_ID=chr1:7156289-7156646,pan_gene_192,1,Near-Core Gene,N
Zm00031ab002720,pan_gene_193,1,Near-Core Gene,N
Zm00031ab002730,pan_gene_194,1,Core Gene,N
Zm00031ab002740,pan_gene_195,1,Core Gene,N
Zm00031ab002750,pan_gene_196,1,Core Gene,N
Zm00031ab002760,pan_gene_197,1,Core Gene,N
Zm00031ab002770,pan_gene_198,1,Core Gene,N
Zm00031ab002780,pan_gene_199,4,Core Gene,Y
Zm00031ab002820,pan_gene_200,1,Core Gene,N
Zm00031ab002830,pan_gene_201,1,Core Gene,N
Zm00031ab002840,pan_gene_202,1,Core Gene,N
Zm00031ab002850,pan_gene_203,1,Core Gene,N
Zm00031ab002880,pan_gene_204,1,Core Gene,N
Zm00031ab002890,pan_gene_205,1,Core Gene,N
Zm00031ab002900,pan_gene_206,1,Core Gene,N
Zm00031ab002940,pan_gene_207,1,Core Gene,N
Zm00031ab002950,pan_gene_208,1,Core Gene,N
Zm00031ab002960,pan_gene_209,1,Core Gene,N
Zm00031ab002970,pan_gene_210,1,Core Gene,N
Zm00031ab002980,pan_gene_211,1,Core Gene,N
Zm00031ab002990,pan_gene_212,1,Core Gene,N
Zm00031ab003010,pan_gene_214,1,Core Gene,N
Zm00031ab003040,pan_gene_215,1,Core Gene,N
Zm00031ab003050,pan_gene_216,1,Core Gene,N
Zm00031ab003060,pan_gene_217,3,Core Gene,Y
Zm00031ab003100,pan_gene_218,1,Core Gene,N
Zm00031ab003110,pan_gene_220,1,Core Gene,N
Zm00031ab003130,pan_gene_222,3,Core Gene,Y
Zm00031ab003150,pan_gene_223,1,Core Gene,N
Zm00031ab003170,pan_gene_224,1,Core Gene,N
Zm00031ab003180,pan_gene_225,1,Near-Core Gene,N
Zm00031ab003220,pan_gene_226,1,Core Gene,N
Zm00031ab003230,pan_gene_227,1,Core Gene,N
Zm00031ab003240,pan_gene_228,1,Core Gene,N
