gene,pan,copy,class,duplicate
gmap_ID=chr1:193203-193562,pan_gene_1,1,Dispensable Gene,N
Zm00030ab000110,pan_gene_2,1,Near-Core Gene,N
Zm00030ab000130,pan_gene_3,1,Near-Core Gene,N
gmap_ID=chr1:261001-261763,pan_gene_4,1,Dispensable Gene,N
Zm00030ab000140,pan_gene_5,1,Near-Core Gene,N
Zm00030ab000160,pan_gene_7,1,Near-Core Gene,N
Zm00030ab000210,pan_gene_8,4,Core Gene,Y
Zm00030ab000200,pan_gene_9,5,Core Gene,Y
Zm00030ab000470,pan_gene_10,3,Core Gene,Y
Zm00030ab000230,pan_gene_11,2,Core Gene,Y
Zm00030ab000510,pan_gene_12,1,Core Gene,N
Zm00030ab000520,pan_gene_13,1,Core Gene,N
Zm00030ab000540,pan_gene_14,1,Core Gene,N
Zm00030ab000550,pan_gene_15,1,Core Gene,N
Zm00030ab000570,pan_gene_16,1,Core Gene,N
Zm00030ab000600,pan_gene_17,1,Core Gene,N
Zm00030ab000610,pan_gene_18,1,Core Gene,N
Zm00030ab000620,pan_gene_19,1,Core Gene,N
Zm00030ab000630,pan_gene_20,1,Core Gene,N
Zm00030ab000640,pan_gene_21,1,Core Gene,N
Zm00030ab000650,pan_gene_23,2,Core Gene,Y
Zm00030ab000670,pan_gene_24,1,Core Gene,N
Zm00030ab000680,pan_gene_25,1,Core Gene,N
Zm00030ab000690,pan_gene_26,1,Core Gene,N
Zm00030ab000710,pan_gene_27,1,Core Gene,N
Zm00030ab000770,pan_gene_28,1,Core Gene,N
Zm00030ab000780,pan_gene_29,1,Core Gene,N
Zm00030ab000790,pan_gene_30,1,Core Gene,N
Zm00030ab000800,pan_gene_31,1,Core Gene,N
Zm00030ab000820,pan_gene_32,1,Core Gene,N
Zm00030ab000830,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:4395708-4396025,pan_gene_34,1,Dispensable Gene,N
Zm00030ab000850,pan_gene_35,1,Near-Core Gene,N
Zm00030ab000860,pan_gene_36,1,Core Gene,N
Zm00030ab000870,pan_gene_37,1,Dispensable Gene,N
Zm00030ab000880,pan_gene_38,1,Core Gene,N
Zm00030ab000890,pan_gene_39,1,Core Gene,N
Zm00030ab000920,pan_gene_40,1,Core Gene,N
Zm00030ab000940,pan_gene_41,1,Core Gene,N
Zm00030ab000950,pan_gene_42,1,Core Gene,N
Zm00030ab000960,pan_gene_44,1,Core Gene,N
Zm00030ab000970,pan_gene_45,1,Core Gene,N
Zm00030ab000980,pan_gene_46,1,Core Gene,N
Zm00030ab001000,pan_gene_47,1,Core Gene,N
Zm00030ab001010,pan_gene_48,1,Core Gene,N
Zm00030ab001020,pan_gene_49,1,Core Gene,N
Zm00030ab001030,pan_gene_50,1,Core Gene,N
Zm00030ab001040,pan_gene_51,1,Core Gene,N
Zm00030ab001050,pan_gene_52,2,Core Gene,Y
Zm00030ab001060,pan_gene_53,1,Core Gene,N
Zm00030ab001080,pan_gene_54,1,Core Gene,N
Zm00030ab001090,pan_gene_55,1,Core Gene,N
Zm00030ab001100,pan_gene_56,1,Core Gene,N
Zm00030ab001110,pan_gene_57,1,Core Gene,N
Zm00030ab001130,pan_gene_58,1,Core Gene,N
Zm00030ab001140,pan_gene_60,1,Core Gene,N
Zm00030ab001150,pan_gene_62,1,Core Gene,N
Zm00030ab001160,pan_gene_63,1,Core Gene,N
Zm00030ab001170,pan_gene_64,1,Core Gene,N
Zm00030ab001180,pan_gene_65,1,Core Gene,N
Zm00030ab001190,pan_gene_66,1,Core Gene,N
Zm00030ab001200,pan_gene_67,1,Core Gene,N
Zm00030ab001220,pan_gene_68,1,Core Gene,N
Zm00030ab001230,pan_gene_69,1,Core Gene,N
Zm00030ab001240,pan_gene_70,1,Core Gene,N
Zm00030ab001250,pan_gene_71,1,Core Gene,N
Zm00030ab001270,pan_gene_72,1,Core Gene,N
Zm00030ab001280,pan_gene_73,1,Core Gene,N
Zm00030ab001290,pan_gene_74,1,Core Gene,N
Zm00030ab001300,pan_gene_75,1,Core Gene,N
Zm00030ab001310,pan_gene_76,1,Core Gene,N
Zm00030ab001330,pan_gene_77,2,Core Gene,Y
Zm00030ab001350,pan_gene_78,1,Core Gene,N
Zm00030ab001360,pan_gene_79,1,Dispensable Gene,N
Zm00030ab001370,pan_gene_80,1,Core Gene,N
Zm00030ab001380,pan_gene_81,1,Core Gene,N
Zm00030ab001390,pan_gene_82,1,Core Gene,N
Zm00030ab001430,pan_gene_83,1,Core Gene,N
