gene,pan,class
gmap_ID=chr1:189478-189837,pan_gene_1,Dispensable Gene
Zm00018ab000070,pan_gene_2,Near-Core Gene
Zm00018ab000090,pan_gene_3,Near-Core Gene
gmap_ID=chr1:256713-257475,pan_gene_4,Dispensable Gene
Zm00018ab000130,pan_gene_5,Near-Core Gene
gmap_ID=chr1:333325-333600,pan_gene_7,Near-Core Gene
Zm00018ab000220,pan_gene_8,Core Gene
Zm00018ab000230,pan_gene_9,Core Gene
Zm00018ab000260,pan_gene_10,Core Gene
Zm00018ab000250,pan_gene_11,Core Gene
Zm00018ab000280,pan_gene_12,Core Gene
Zm00018ab000290,pan_gene_13,Core Gene
Zm00018ab000310,pan_gene_14,Core Gene
Zm00018ab000320,pan_gene_15,Core Gene
gmap_ID=chr1:1241628-1244582,pan_gene_16,Core Gene
Zm00018ab000370,pan_gene_17,Core Gene
Zm00018ab000380,pan_gene_18,Core Gene
Zm00018ab000390,pan_gene_19,Core Gene
Zm00018ab000400,pan_gene_20,Core Gene
Zm00018ab000450,pan_gene_21,Core Gene
Zm00018ab000460,pan_gene_23,Core Gene
Zm00018ab000490,pan_gene_24,Core Gene
Zm00018ab000510,pan_gene_25,Core Gene
Zm00018ab000520,pan_gene_26,Core Gene
Zm00018ab000570,pan_gene_27,Core Gene
Zm00018ab000610,pan_gene_28,Core Gene
Zm00018ab000620,pan_gene_29,Core Gene
Zm00018ab000630,pan_gene_30,Core Gene
Zm00018ab000640,pan_gene_31,Core Gene
Zm00018ab000650,pan_gene_32,Core Gene
Zm00018ab000660,pan_gene_33,Core Gene
gmap_ID=chr1:2371872-2372189,pan_gene_34,Dispensable Gene
Zm00018ab000680,pan_gene_35,Near-Core Gene
Zm00018ab000690,pan_gene_36,Core Gene
Zm00018ab000700,pan_gene_38,Core Gene
Zm00018ab000710,pan_gene_39,Core Gene
Zm00018ab000730,pan_gene_40,Core Gene
Zm00018ab000740,pan_gene_41,Core Gene
Zm00018ab000750,pan_gene_42,Core Gene
Zm00018ab000760,pan_gene_43,Dispensable Gene
Zm00018ab000770,pan_gene_44,Core Gene
Zm00018ab000800,pan_gene_45,Core Gene
Zm00018ab000810,pan_gene_46,Core Gene
Zm00018ab000820,pan_gene_47,Core Gene
Zm00018ab000830,pan_gene_48,Core Gene
Zm00018ab000840,pan_gene_49,Core Gene
Zm00018ab000850,pan_gene_50,Core Gene
Zm00018ab000860,pan_gene_51,Core Gene
Zm00018ab000870,pan_gene_52,Core Gene
Zm00018ab000890,pan_gene_53,Core Gene
Zm00018ab000900,pan_gene_54,Core Gene
Zm00018ab000910,pan_gene_55,Core Gene
Zm00018ab000920,pan_gene_56,Core Gene
Zm00018ab000930,pan_gene_57,Core Gene
Zm00018ab000940,pan_gene_58,Core Gene
Zm00018ab000950,pan_gene_59,Dispensable Gene
Zm00018ab000960,pan_gene_60,Core Gene
