gene,pan,copy,class,duplicate
Zm00001eb000060,pan_gene_1,1,Dispensable Gene,N
Zm00001eb000080,pan_gene_2,1,Near-Core Gene,N
Zm00001eb000100,pan_gene_3,1,Near-Core Gene,N
Zm00001eb000110,pan_gene_4,1,Dispensable Gene,N
Zm00001eb000120,pan_gene_5,1,Near-Core Gene,N
Zm00001eb000140,pan_gene_6,1,Dispensable Gene,N
Zm00001eb000150,pan_gene_7,1,Near-Core Gene,N
Zm00001eb000170,pan_gene_8,1,Core Gene,N
Zm00001eb000180,pan_gene_9,1,Core Gene,N
Zm00001eb000190,pan_gene_10,1,Core Gene,N
Zm00001eb000200,pan_gene_11,1,Core Gene,N
Zm00001eb000210,pan_gene_12,1,Core Gene,N
Zm00001eb000220,pan_gene_13,1,Core Gene,N
Zm00001eb000230,pan_gene_14,1,Core Gene,N
Zm00001eb000240,pan_gene_15,1,Core Gene,N
Zm00001eb000270,pan_gene_16,1,Core Gene,N
Zm00001eb000300,pan_gene_17,1,Core Gene,N
Zm00001eb000310,pan_gene_18,1,Core Gene,N
Zm00001eb000320,pan_gene_19,1,Core Gene,N
Zm00001eb000330,pan_gene_20,1,Core Gene,N
Zm00001eb000340,pan_gene_21,1,Core Gene,N
Zm00001eb000360,pan_gene_22,1,Dispensable Gene,N
Zm00001eb000370,pan_gene_23,2,Core Gene,Y
Zm00001eb000390,pan_gene_24,1,Core Gene,N
Zm00001eb000400,pan_gene_25,1,Core Gene,N
Zm00001eb000410,pan_gene_26,1,Core Gene,N
Zm00001eb000420,pan_gene_27,1,Core Gene,N
Zm00001eb000460,pan_gene_28,2,Core Gene,Y
Zm00001eb000480,pan_gene_29,1,Core Gene,N
Zm00001eb000490,pan_gene_30,1,Core Gene,N
Zm00001eb000500,pan_gene_31,1,Core Gene,N
Zm00001eb000510,pan_gene_32,1,Core Gene,N
Zm00001eb000520,pan_gene_33,1,Core Gene,N
Zm00001eb000530,pan_gene_34,1,Dispensable Gene,N
Zm00001eb000540,pan_gene_35,1,Near-Core Gene,N
Zm00001eb000550,pan_gene_36,1,Core Gene,N
Zm00001eb000560,pan_gene_37,1,Dispensable Gene,N
Zm00001eb000570,pan_gene_38,1,Core Gene,N
Zm00001eb000580,pan_gene_39,1,Core Gene,N
Zm00001eb000590,pan_gene_40,1,Core Gene,N
Zm00001eb000600,pan_gene_41,1,Core Gene,N
Zm00001eb000620,pan_gene_42,1,Core Gene,N
Zm00001eb000630,pan_gene_43,1,Dispensable Gene,N
Zm00001eb000640,pan_gene_44,1,Core Gene,N
Zm00001eb000650,pan_gene_45,1,Core Gene,N
Zm00001eb000660,pan_gene_46,1,Core Gene,N
Zm00001eb000670,pan_gene_47,1,Core Gene,N
Zm00001eb000680,pan_gene_48,1,Core Gene,N
Zm00001eb000690,pan_gene_49,1,Core Gene,N
Zm00001eb000700,pan_gene_50,1,Core Gene,N
Zm00001eb000710,pan_gene_51,1,Core Gene,N
Zm00001eb000720,pan_gene_52,2,Core Gene,Y
Zm00001eb000740,pan_gene_53,1,Core Gene,N
Zm00001eb000760,pan_gene_54,1,Core Gene,N
Zm00001eb000770,pan_gene_55,1,Core Gene,N
Zm00001eb000780,pan_gene_56,1,Core Gene,N
Zm00001eb000790,pan_gene_57,1,Core Gene,N
Zm00001eb000800,pan_gene_58,1,Core Gene,N
Zm00001eb000810,pan_gene_59,1,Dispensable Gene,N
Zm00001eb000820,pan_gene_60,1,Core Gene,N
Zm00001eb000830,pan_gene_61,1,Dispensable Gene,N
Zm00001eb000840,pan_gene_62,1,Core Gene,N
Zm00001eb000850,pan_gene_63,1,Core Gene,N
Zm00001eb000860,pan_gene_64,1,Core Gene,N
Zm00001eb000870,pan_gene_65,1,Core Gene,N
Zm00001eb000880,pan_gene_66,1,Core Gene,N
Zm00001eb000890,pan_gene_67,1,Core Gene,N
Zm00001eb000900,pan_gene_68,1,Core Gene,N
Zm00001eb000910,pan_gene_69,1,Core Gene,N
Zm00001eb000920,pan_gene_70,1,Core Gene,N
