gene,pan,class,copy
gmap_ID=chr1:196216-196575,pan_gene_1,Dispensable Gene,1
Zm00027ab000080,pan_gene_2,Near-Core Gene,1
Zm00027ab000090,pan_gene_3,Near-Core Gene,2
Zm00027ab000110,pan_gene_5,Near-Core Gene,1
Zm00027ab000130,pan_gene_7,Near-Core Gene,1
Zm00027ab000180,pan_gene_8,Core Gene,1
Zm00027ab000170,pan_gene_9,Core Gene,1
Zm00027ab000220,pan_gene_10,Core Gene,1
Zm00027ab000210,pan_gene_11,Core Gene,1
Zm00027ab000240,pan_gene_12,Core Gene,1
Zm00027ab000250,pan_gene_13,Core Gene,1
Zm00027ab000270,pan_gene_14,Core Gene,1
Zm00027ab000280,pan_gene_15,Core Gene,1
Zm00027ab000300,pan_gene_16,Core Gene,1
Zm00027ab000320,pan_gene_17,Core Gene,1
gmap_ID=chr1:1412935-1427406,pan_gene_18,Core Gene,1
Zm00027ab000330,pan_gene_19,Core Gene,1
Zm00027ab000340,pan_gene_20,Core Gene,1
Zm00027ab000380,pan_gene_21,Core Gene,1
Zm00027ab000400,pan_gene_23,Core Gene,2
Zm00027ab000450,pan_gene_24,Core Gene,1
Zm00027ab000460,pan_gene_25,Core Gene,1
Zm00027ab000470,pan_gene_26,Core Gene,1
Zm00027ab000490,pan_gene_27,Core Gene,1
Zm00027ab000570,pan_gene_28,Core Gene,1
Zm00027ab000590,pan_gene_29,Core Gene,1
Zm00027ab000600,pan_gene_30,Core Gene,1
Zm00027ab000610,pan_gene_31,Core Gene,1
Zm00027ab000620,pan_gene_32,Core Gene,1
Zm00027ab000630,pan_gene_33,Core Gene,1
gmap_ID=chr1:2429566-2429883,pan_gene_34,Dispensable Gene,1
Zm00027ab000640,pan_gene_35,Near-Core Gene,2
Zm00027ab000670,pan_gene_36,Core Gene,1
Zm00027ab000680,pan_gene_37,Dispensable Gene,1
Zm00027ab000690,pan_gene_38,Core Gene,1
Zm00027ab000700,pan_gene_39,Core Gene,1
Zm00027ab000720,pan_gene_40,Core Gene,1
Zm00027ab000740,pan_gene_41,Core Gene,1
Zm00027ab000750,pan_gene_42,Core Gene,1
Zm00027ab000760,pan_gene_43,Dispensable Gene,1
Zm00027ab000770,pan_gene_44,Core Gene,1
Zm00027ab000780,pan_gene_45,Core Gene,1
Zm00027ab000790,pan_gene_46,Core Gene,1
Zm00027ab000800,pan_gene_47,Core Gene,1
Zm00027ab000810,pan_gene_48,Core Gene,1
Zm00027ab000820,pan_gene_49,Core Gene,1
Zm00027ab000830,pan_gene_50,Core Gene,1
Zm00027ab000840,pan_gene_51,Core Gene,1
Zm00027ab000850,pan_gene_52,Core Gene,2
Zm00027ab000870,pan_gene_53,Core Gene,1
Zm00027ab000890,pan_gene_54,Core Gene,1
Zm00027ab000900,pan_gene_55,Core Gene,1
Zm00027ab000910,pan_gene_56,Core Gene,1
Zm00027ab000920,pan_gene_57,Core Gene,1
Zm00027ab000930,pan_gene_58,Core Gene,1
Zm00027ab000940,pan_gene_59,Dispensable Gene,1
Zm00027ab000950,pan_gene_60,Core Gene,1
Zm00027ab000960,pan_gene_62,Core Gene,1
Zm00027ab000970,pan_gene_63,Core Gene,1
Zm00027ab000980,pan_gene_64,Core Gene,1
Zm00027ab000990,pan_gene_65,Core Gene,1
Zm00027ab001010,pan_gene_66,Core Gene,1
Zm00027ab001020,pan_gene_67,Core Gene,1
Zm00027ab001040,pan_gene_68,Core Gene,1
Zm00027ab001050,pan_gene_69,Core Gene,1
Zm00027ab001060,pan_gene_70,Core Gene,1
Zm00027ab001070,pan_gene_71,Core Gene,2
Zm00027ab001100,pan_gene_72,Core Gene,1
Zm00027ab001110,pan_gene_73,Core Gene,1
Zm00027ab001120,pan_gene_74,Core Gene,1
Zm00027ab001130,pan_gene_75,Core Gene,1
Zm00027ab001140,pan_gene_76,Core Gene,1
Zm00027ab001150,pan_gene_77,Core Gene,1
Zm00027ab001160,pan_gene_78,Core Gene,1
Zm00027ab001170,pan_gene_80,Core Gene,1
Zm00027ab001190,pan_gene_81,Core Gene,1
Zm00027ab001200,pan_gene_82,Core Gene,1
Zm00027ab001220,pan_gene_83,Core Gene,1
gmap_ID=chr1:3992924-3993217,pan_gene_84,Near-Core Gene,1
Zm00027ab001250,pan_gene_85,Dispensable Gene,1
Zm00027ab001260,pan_gene_86,Core Gene,1
Zm00027ab001280,pan_gene_87,Core Gene,1
Zm00027ab001290,pan_gene_88,Core Gene,1
Zm00027ab001300,pan_gene_89,Core Gene,1
