gene,pan,class,copy
Zm00025ab000040,pan_gene_2,Near-Core Gene,1
Zm00025ab000050,pan_gene_3,Near-Core Gene,2
gmap_ID=chr1:231996-232758,pan_gene_4,Dispensable Gene,1
Zm00025ab000080,pan_gene_5,Near-Core Gene,1
Zm00025ab000100,pan_gene_7,Near-Core Gene,1
Zm00025ab000190,pan_gene_8,Core Gene,4
Zm00025ab000170,pan_gene_9,Core Gene,6
Zm00025ab000440,pan_gene_10,Core Gene,2
Zm00025ab000200,pan_gene_11,Core Gene,2
Zm00025ab000470,pan_gene_12,Core Gene,1
Zm00025ab000480,pan_gene_13,Core Gene,1
Zm00025ab000500,pan_gene_14,Core Gene,1
Zm00025ab000510,pan_gene_15,Core Gene,1
Zm00025ab000540,pan_gene_16,Core Gene,1
gmap_ID=chr1:1946924-1948551,pan_gene_17,Core Gene,1
gmap_ID=chr1:1949853-1959287,pan_gene_18,Core Gene,1
Zm00025ab000610,pan_gene_19,Core Gene,1
Zm00025ab000620,pan_gene_20,Core Gene,1
Zm00025ab000630,pan_gene_21,Core Gene,1
Zm00025ab000650,pan_gene_23,Core Gene,2
Zm00025ab000680,pan_gene_24,Core Gene,1
Zm00025ab000730,pan_gene_25,Core Gene,1
Zm00025ab000740,pan_gene_26,Core Gene,1
Zm00025ab000750,pan_gene_27,Core Gene,1
Zm00025ab000780,pan_gene_28,Core Gene,1
Zm00025ab000790,pan_gene_29,Core Gene,1
Zm00025ab000800,pan_gene_30,Core Gene,1
Zm00025ab000810,pan_gene_31,Core Gene,1
Zm00025ab000830,pan_gene_32,Core Gene,1
Zm00025ab000840,pan_gene_33,Core Gene,1
Zm00025ab000870,pan_gene_35,Near-Core Gene,1
Zm00025ab000880,pan_gene_36,Core Gene,1
Zm00025ab000890,pan_gene_38,Core Gene,1
Zm00025ab000900,pan_gene_39,Core Gene,1
Zm00025ab000920,pan_gene_40,Core Gene,1
Zm00025ab000930,pan_gene_41,Core Gene,1
Zm00025ab000940,pan_gene_42,Core Gene,1
Zm00025ab000950,pan_gene_44,Core Gene,1
Zm00025ab000970,pan_gene_45,Core Gene,1
Zm00025ab000980,pan_gene_46,Core Gene,1
Zm00025ab001000,pan_gene_47,Core Gene,1
Zm00025ab001010,pan_gene_48,Core Gene,2
Zm00025ab001030,pan_gene_49,Core Gene,1
Zm00025ab001040,pan_gene_50,Core Gene,1
Zm00025ab001050,pan_gene_51,Core Gene,1
Zm00025ab001060,pan_gene_52,Core Gene,2
Zm00025ab001070,pan_gene_53,Core Gene,1
Zm00025ab001090,pan_gene_54,Core Gene,1
Zm00025ab001100,pan_gene_55,Core Gene,1
Zm00025ab001110,pan_gene_56,Core Gene,1
Zm00025ab001120,pan_gene_57,Core Gene,1
Zm00025ab001130,pan_gene_58,Core Gene,1
Zm00025ab001150,pan_gene_59,Dispensable Gene,1
Zm00025ab001160,pan_gene_60,Core Gene,1
Zm00025ab001170,pan_gene_62,Core Gene,1
Zm00025ab001180,pan_gene_63,Core Gene,1
Zm00025ab001190,pan_gene_64,Core Gene,1
Zm00025ab001200,pan_gene_65,Core Gene,1
Zm00025ab001210,pan_gene_66,Core Gene,1
Zm00025ab001220,pan_gene_67,Core Gene,1
Zm00025ab001240,pan_gene_68,Core Gene,1
Zm00025ab001250,pan_gene_69,Core Gene,1
Zm00025ab001270,pan_gene_70,Core Gene,1
Zm00025ab001290,pan_gene_71,Core Gene,1
Zm00025ab001310,pan_gene_72,Core Gene,1
Zm00025ab001320,pan_gene_73,Core Gene,1
Zm00025ab001330,pan_gene_74,Core Gene,1
Zm00025ab001340,pan_gene_75,Core Gene,1
Zm00025ab001350,pan_gene_76,Core Gene,1
Zm00025ab001360,pan_gene_77,Core Gene,1
Zm00025ab001370,pan_gene_78,Core Gene,1
gmap_ID=chr1:4283912-4285998,pan_gene_79,Dispensable Gene,1
Zm00025ab001380,pan_gene_80,Core Gene,1
Zm00025ab001390,pan_gene_81,Core Gene,1
Zm00025ab001400,pan_gene_82,Core Gene,1
Zm00025ab001430,pan_gene_83,Core Gene,1
gmap_ID=chr1:4404544-4404837,pan_gene_84,Near-Core Gene,1
Zm00025ab001480,pan_gene_85,Dispensable Gene,1
Zm00025ab001490,pan_gene_86,Core Gene,1
Zm00025ab001510,pan_gene_87,Core Gene,1
Zm00025ab001520,pan_gene_88,Core Gene,1
Zm00025ab001530,pan_gene_89,Core Gene,1
Zm00025ab001540,pan_gene_90,Core Gene,1
Zm00025ab001550,pan_gene_91,Core Gene,1
Zm00025ab001560,pan_gene_92,Core Gene,1
Zm00025ab001570,pan_gene_93,Core Gene,1
Zm00025ab001590,pan_gene_94,Core Gene,1
Zm00025ab001600,pan_gene_95,Core Gene,1
Zm00025ab001610,pan_gene_96,Core Gene,1
Zm00025ab001620,pan_gene_97,Near-Core Gene,1
Zm00025ab001640,pan_gene_98,Core Gene,1
Zm00025ab001650,pan_gene_99,Dispensable Gene,1
Zm00025ab001660,pan_gene_100,Core Gene,1
Zm00025ab001670,pan_gene_101,Core Gene,1
Zm00025ab001680,pan_gene_102,Core Gene,1
Zm00025ab001690,pan_gene_103,Core Gene,1
Zm00025ab001700,pan_gene_108,Core Gene,2
Zm00025ab001740,pan_gene_109,Core Gene,3
Zm00025ab001760,pan_gene_110,Core Gene,1
Zm00025ab001780,pan_gene_113,Core Gene,1
Zm00025ab001810,pan_gene_114,Core Gene,1
Zm00025ab001830,pan_gene_115,Core Gene,1
Zm00025ab001840,pan_gene_116,Core Gene,1
gmap_ID=chr1:5190487-5192075,pan_gene_117,Core Gene,1
Zm00025ab001860,pan_gene_118,Core Gene,1
Zm00025ab001850,pan_gene_119,Core Gene,1
Zm00025ab001870,pan_gene_120,Core Gene,1
gmap_ID=chr1:5271272-5273055,pan_gene_121,Near-Core Gene,1
Zm00025ab001880,pan_gene_122,Core Gene,1
Zm00025ab001900,pan_gene_123,Core Gene,4
Zm00025ab001940,pan_gene_124,Core Gene,1
Zm00025ab001950,pan_gene_125,Core Gene,1
Zm00025ab001960,pan_gene_126,Dispensable Gene,1
Zm00025ab001970,pan_gene_127,Core Gene,1
Zm00025ab001980,pan_gene_128,Core Gene,1
Zm00025ab001990,pan_gene_129,Dispensable Gene,1
Zm00025ab002000,pan_gene_130,Core Gene,1
Zm00025ab002020,pan_gene_131,Core Gene,1
Zm00025ab002030,pan_gene_132,Core Gene,1
Zm00025ab002050,pan_gene_133,Core Gene,1
Zm00025ab002060,pan_gene_134,Core Gene,1
Zm00025ab002080,pan_gene_135,Core Gene,1
Zm00025ab002090,pan_gene_136,Core Gene,1
Zm00025ab002100,pan_gene_137,Core Gene,1
Zm00025ab002110,pan_gene_138,Core Gene,1
Zm00025ab002120,pan_gene_139,Core Gene,1
Zm00025ab002130,pan_gene_140,Near-Core Gene,1
Zm00025ab002150,pan_gene_141,Core Gene,1
Zm00025ab002160,pan_gene_142,Core Gene,1
Zm00025ab002170,pan_gene_143,Core Gene,1
Zm00025ab002180,pan_gene_146,Core Gene,1
Zm00025ab002190,pan_gene_147,Core Gene,1
Zm00025ab002210,pan_gene_148,Core Gene,1
Zm00025ab002220,pan_gene_149,Core Gene,1
Zm00025ab002250,pan_gene_150,Core Gene,1
Zm00025ab002260,pan_gene_151,Core Gene,1
Zm00025ab002270,pan_gene_152,Core Gene,1
Zm00025ab002280,pan_gene_153,Core Gene,1
Zm00025ab002290,pan_gene_154,Core Gene,1
Zm00025ab002300,pan_gene_155,Core Gene,2
Zm00025ab002350,pan_gene_156,Core Gene,1
Zm00025ab002390,pan_gene_157,Core Gene,1
Zm00025ab002400,pan_gene_158,Core Gene,1
Zm00025ab002410,pan_gene_159,Core Gene,1
Zm00025ab002420,pan_gene_160,Core Gene,1
Zm00025ab002430,pan_gene_161,Core Gene,1
Zm00025ab002440,pan_gene_162,Core Gene,1
Zm00025ab002450,pan_gene_163,Core Gene,1
Zm00025ab002460,pan_gene_164,Core Gene,1
Zm00025ab002470,pan_gene_165,Core Gene,1
Zm00025ab002480,pan_gene_166,Core Gene,1
Zm00025ab002490,pan_gene_168,Core Gene,1
Zm00025ab002510,pan_gene_169,Core Gene,1
gmap_ID=chr1:6918333-6918751,pan_gene_170,Core Gene,1
Zm00025ab002520,pan_gene_171,Core Gene,1
Zm00025ab002530,pan_gene_172,Core Gene,1
Zm00025ab002570,pan_gene_174,Core Gene,1
Zm00025ab002590,pan_gene_175,Core Gene,1
Zm00025ab002600,pan_gene_176,Core Gene,1
Zm00025ab002620,pan_gene_177,Core Gene,1
gmap_ID=chr1:7354164-7354548,pan_gene_178,Dispensable Gene,1
Zm00025ab002630,pan_gene_179,Core Gene,1
Zm00025ab002640,pan_gene_180,Core Gene,1
Zm00025ab002650,pan_gene_181,Core Gene,2
Zm00025ab002670,pan_gene_182,Core Gene,1
Zm00025ab002720,pan_gene_183,Core Gene,1
gmap_ID=chr1:7424543-7425059,pan_gene_184,Near-Core Gene,1
Zm00025ab002740,pan_gene_185,Core Gene,1
Zm00025ab002750,pan_gene_186,Core Gene,1
Zm00025ab002760,pan_gene_187,Core Gene,1
Zm00025ab002770,pan_gene_188,Core Gene,1
Zm00025ab002780,pan_gene_189,Core Gene,1
Zm00025ab002800,pan_gene_191,Core Gene,2
Zm00025ab002820,pan_gene_192,Near-Core Gene,1
Zm00025ab002830,pan_gene_193,Near-Core Gene,1
Zm00025ab002840,pan_gene_194,Core Gene,1
Zm00025ab002850,pan_gene_195,Core Gene,1
Zm00025ab002870,pan_gene_196,Core Gene,1
Zm00025ab002880,pan_gene_197,Core Gene,1
Zm00025ab002890,pan_gene_198,Core Gene,1
Zm00025ab002900,pan_gene_199,Core Gene,2
Zm00025ab002920,pan_gene_200,Core Gene,1
Zm00025ab002930,pan_gene_201,Core Gene,1
Zm00025ab002940,pan_gene_202,Core Gene,1
Zm00025ab002950,pan_gene_203,Core Gene,1
Zm00025ab002980,pan_gene_204,Core Gene,1
Zm00025ab002990,pan_gene_205,Core Gene,1
Zm00025ab003000,pan_gene_206,Core Gene,1
Zm00025ab003010,pan_gene_207,Core Gene,1
Zm00025ab003030,pan_gene_208,Core Gene,1
Zm00025ab003040,pan_gene_209,Core Gene,1
Zm00025ab003050,pan_gene_210,Core Gene,1
Zm00025ab003060,pan_gene_211,Core Gene,2
Zm00025ab003080,pan_gene_212,Core Gene,1
Zm00025ab003090,pan_gene_214,Core Gene,1
Zm00025ab003100,pan_gene_215,Core Gene,1
Zm00025ab003110,pan_gene_216,Core Gene,1
Zm00025ab003120,pan_gene_217,Core Gene,4
Zm00025ab003160,pan_gene_218,Core Gene,1
Zm00025ab003170,pan_gene_219,Dispensable Gene,1
Zm00025ab003180,pan_gene_220,Core Gene,1
Zm00025ab003200,pan_gene_222,Core Gene,3
Zm00025ab003220,pan_gene_223,Core Gene,1
Zm00025ab003240,pan_gene_224,Core Gene,1
Zm00025ab003250,pan_gene_225,Near-Core Gene,1
Zm00025ab003300,pan_gene_226,Core Gene,1
Zm00025ab003310,pan_gene_227,Core Gene,1
Zm00025ab003320,pan_gene_228,Core Gene,1
gmap_ID=chr1:9159964-9174197,pan_gene_229,Dispensable Gene,1
Zm00025ab003360,pan_gene_230,Core Gene,1
Zm00025ab003370,pan_gene_231,Core Gene,1
Zm00025ab003380,pan_gene_232,Core Gene,1
Zm00025ab003410,pan_gene_233,Core Gene,1
Zm00025ab003420,pan_gene_234,Core Gene,1
Zm00025ab003440,pan_gene_238,Core Gene,3
Zm00025ab003470,pan_gene_239,Core Gene,1
Zm00025ab003690,pan_gene_240,Core Gene,1
Zm00025ab003700,pan_gene_241,Core Gene,1
Zm00025ab003710,pan_gene_242,Core Gene,1
Zm00025ab003740,pan_gene_244,Core Gene,1
Zm00025ab003760,pan_gene_245,Core Gene,1
Zm00025ab003770,pan_gene_246,Core Gene,1
Zm00025ab003800,pan_gene_247,Core Gene,1
Zm00025ab003810,pan_gene_248,Core Gene,1
Zm00025ab003820,pan_gene_250,Core Gene,1
Zm00025ab003830,pan_gene_251,Core Gene,1
Zm00025ab003840,pan_gene_252,Core Gene,1
Zm00025ab003850,pan_gene_253,Core Gene,2
Zm00025ab003890,pan_gene_254,Near-Core Gene,1
Zm00025ab003960,pan_gene_256,Core Gene,1
Zm00025ab003970,pan_gene_257,Core Gene,1
Zm00025ab003980,pan_gene_258,Core Gene,1
Zm00025ab003990,pan_gene_259,Core Gene,1
Zm00025ab004000,pan_gene_260,Dispensable Gene,2
Zm00025ab004020,pan_gene_261,Dispensable Gene,1
Zm00025ab004030,pan_gene_262,Core Gene,1
Zm00025ab004050,pan_gene_264,Core Gene,1
Zm00025ab004060,pan_gene_265,Core Gene,1
Zm00025ab004070,pan_gene_266,Core Gene,1
Zm00025ab004090,pan_gene_267,Core Gene,1
Zm00025ab004110,pan_gene_268,Core Gene,1
Zm00025ab004120,pan_gene_269,Core Gene,1
Zm00025ab004140,pan_gene_270,Core Gene,1
Zm00025ab004150,pan_gene_271,Core Gene,1
gmap_ID=chr1:11189103-11282518,pan_gene_272,Dispensable Gene,1
Zm00025ab004160,pan_gene_273,Core Gene,1
Zm00025ab004180,pan_gene_274,Core Gene,1
Zm00025ab004200,pan_gene_277,Core Gene,1
Zm00025ab004190,pan_gene_278,Core Gene,1
Zm00025ab004210,pan_gene_279,Core Gene,5
Zm00025ab004270,pan_gene_280,Core Gene,1
Zm00025ab004280,pan_gene_281,Core Gene,1
Zm00025ab004290,pan_gene_282,Core Gene,1
Zm00025ab004300,pan_gene_283,Core Gene,1
Zm00025ab004330,pan_gene_284,Core Gene,1
Zm00025ab004340,pan_gene_287,Core Gene,2
Zm00025ab004360,pan_gene_289,Core Gene,1
Zm00025ab004370,pan_gene_290,Core Gene,1
Zm00025ab004390,pan_gene_292,Core Gene,1
Zm00025ab004420,pan_gene_293,Dispensable Gene,1
Zm00025ab004440,pan_gene_294,Core Gene,1
Zm00025ab004450,pan_gene_296,Core Gene,1
Zm00025ab004470,pan_gene_297,Core Gene,1
Zm00025ab004490,pan_gene_298,Core Gene,1
Zm00025ab004540,pan_gene_299,Core Gene,1
Zm00025ab004550,pan_gene_300,Core Gene,1
Zm00025ab004560,pan_gene_301,Core Gene,1
Zm00025ab004600,pan_gene_302,Core Gene,1
Zm00025ab004610,pan_gene_303,Core Gene,1
Zm00025ab004620,pan_gene_304,Core Gene,2
Zm00025ab004640,pan_gene_305,Core Gene,1
Zm00025ab004650,pan_gene_307,Core Gene,1
Zm00025ab004660,pan_gene_308,Core Gene,1
Zm00025ab004670,pan_gene_309,Core Gene,3
Zm00025ab004700,pan_gene_310,Core Gene,1
Zm00025ab004710,pan_gene_311,Core Gene,1
Zm00025ab004720,pan_gene_312,Dispensable Gene,1
Zm00025ab004740,pan_gene_313,Core Gene,1
Zm00025ab004760,pan_gene_314,Near-Core Gene,1
Zm00025ab004770,pan_gene_317,Core Gene,1
Zm00025ab004780,pan_gene_318,Core Gene,2
Zm00025ab004800,pan_gene_319,Core Gene,1
Zm00025ab004810,pan_gene_321,Core Gene,2
Zm00025ab004840,pan_gene_322,Core Gene,1
Zm00025ab004850,pan_gene_323,Core Gene,1
Zm00025ab004860,pan_gene_324,Core Gene,1
Zm00025ab004870,pan_gene_325,Core Gene,1
Zm00025ab004880,pan_gene_326,Core Gene,1
Zm00025ab004890,pan_gene_327,Core Gene,1
Zm00025ab004910,pan_gene_328,Dispensable Gene,1
Zm00025ab004920,pan_gene_329,Dispensable Gene,1
Zm00025ab004930,pan_gene_330,Core Gene,1
Zm00025ab004940,pan_gene_331,Core Gene,1
Zm00025ab004950,pan_gene_332,Core Gene,1
Zm00025ab004970,pan_gene_333,Core Gene,1
Zm00025ab004980,pan_gene_334,Core Gene,1
Zm00025ab004990,pan_gene_335,Core Gene,1
Zm00025ab005000,pan_gene_336,Core Gene,1
Zm00025ab005010,pan_gene_337,Dispensable Gene,1
Zm00025ab005020,pan_gene_338,Core Gene,2
Zm00025ab005040,pan_gene_339,Dispensable Gene,1
Zm00025ab005050,pan_gene_340,Core Gene,1
Zm00025ab005070,pan_gene_341,Core Gene,1
Zm00025ab005090,pan_gene_342,Core Gene,1
Zm00025ab005100,pan_gene_343,Core Gene,1
Zm00025ab005110,pan_gene_344,Core Gene,1
Zm00025ab005120,pan_gene_345,Core Gene,1
Zm00025ab005140,pan_gene_346,Core Gene,1
Zm00025ab005170,pan_gene_347,Core Gene,1
Zm00025ab005180,pan_gene_348,Core Gene,1
Zm00025ab005190,pan_gene_349,Core Gene,1
Zm00025ab005200,pan_gene_350,Core Gene,1
Zm00025ab005210,pan_gene_351,Core Gene,1
Zm00025ab005240,pan_gene_353,Core Gene,1
Zm00025ab005250,pan_gene_354,Core Gene,1
Zm00025ab005260,pan_gene_355,Core Gene,1
Zm00025ab005270,pan_gene_356,Core Gene,1
Zm00025ab005280,pan_gene_357,Core Gene,1
Zm00025ab005290,pan_gene_358,Core Gene,1
Zm00025ab005310,pan_gene_359,Dispensable Gene,2
gmap_ID=chr1:14794246-14794524,pan_gene_360,Dispensable Gene,1
Zm00025ab005330,pan_gene_361,Core Gene,1
Zm00025ab005340,pan_gene_363,Core Gene,1
Zm00025ab005350,pan_gene_364,Core Gene,1
Zm00025ab005360,pan_gene_365,Core Gene,1
Zm00025ab005370,pan_gene_366,Dispensable Gene,1
Zm00025ab005390,pan_gene_367,Core Gene,1
Zm00025ab005400,pan_gene_368,Core Gene,2
Zm00025ab005420,pan_gene_369,Core Gene,1
Zm00025ab005440,pan_gene_370,Core Gene,1
Zm00025ab005460,pan_gene_371,Core Gene,1
Zm00025ab005470,pan_gene_372,Core Gene,1
Zm00025ab005480,pan_gene_373,Core Gene,1
Zm00025ab005540,pan_gene_374,Core Gene,12
Zm00025ab005590,pan_gene_377,Dispensable Gene,1
Zm00025ab005600,pan_gene_378,Core Gene,1
Zm00025ab005640,pan_gene_381,Core Gene,1
Zm00025ab005650,pan_gene_382,Core Gene,1
Zm00025ab005660,pan_gene_383,Core Gene,1
Zm00025ab005670,pan_gene_384,Core Gene,1
Zm00025ab005680,pan_gene_385,Core Gene,1
Zm00025ab005690,pan_gene_386,Core Gene,1
Zm00025ab005700,pan_gene_387,Core Gene,1
Zm00025ab005710,pan_gene_388,Core Gene,1
Zm00025ab005730,pan_gene_389,Core Gene,1
Zm00025ab005740,pan_gene_390,Core Gene,1
Zm00025ab005770,pan_gene_391,Core Gene,2
Zm00025ab005790,pan_gene_392,Core Gene,2
Zm00025ab005810,pan_gene_395,Core Gene,1
Zm00025ab005820,pan_gene_396,Core Gene,1
Zm00025ab005850,pan_gene_397,Core Gene,3
Zm00025ab005890,pan_gene_398,Core Gene,1
Zm00025ab005900,pan_gene_399,Core Gene,1
Zm00025ab005910,pan_gene_400,Core Gene,1
Zm00025ab005920,pan_gene_401,Dispensable Gene,1
Zm00025ab005930,pan_gene_402,Core Gene,1
Zm00025ab005980,pan_gene_403,Dispensable Gene,1
Zm00025ab006000,pan_gene_404,Core Gene,1
Zm00025ab006010,pan_gene_405,Dispensable Gene,1
Zm00025ab006020,pan_gene_406,Core Gene,1
Zm00025ab006030,pan_gene_407,Core Gene,1
Zm00025ab006040,pan_gene_408,Core Gene,1
Zm00025ab006050,pan_gene_409,Core Gene,1
Zm00025ab006060,pan_gene_410,Core Gene,1
Zm00025ab006070,pan_gene_411,Core Gene,1
Zm00025ab006080,pan_gene_412,Core Gene,2
Zm00025ab006110,pan_gene_413,Core Gene,1
Zm00025ab006120,pan_gene_414,Core Gene,1
Zm00025ab006130,pan_gene_415,Core Gene,1
Zm00025ab006140,pan_gene_417,Core Gene,1
Zm00025ab006150,pan_gene_418,Core Gene,1
Zm00025ab006170,pan_gene_419,Core Gene,1
Zm00025ab006180,pan_gene_420,Core Gene,1
Zm00025ab006190,pan_gene_421,Core Gene,1
gmap_ID=chr1:17347532-17348051,pan_gene_422,Core Gene,1
Zm00025ab006200,pan_gene_423,Core Gene,1
Zm00025ab006210,pan_gene_424,Core Gene,2
Zm00025ab006230,pan_gene_425,Core Gene,1
Zm00025ab006250,pan_gene_426,Core Gene,1
Zm00025ab006270,pan_gene_427,Core Gene,1
Zm00025ab006280,pan_gene_428,Core Gene,1
Zm00025ab006290,pan_gene_429,Core Gene,1
Zm00025ab006320,pan_gene_430,Core Gene,1
Zm00025ab006330,pan_gene_431,Core Gene,1
Zm00025ab006360,pan_gene_433,Core Gene,1
Zm00025ab006370,pan_gene_434,Core Gene,1
Zm00025ab006380,pan_gene_435,Core Gene,1
Zm00025ab006390,pan_gene_436,Core Gene,1
Zm00025ab006400,pan_gene_437,Core Gene,1
Zm00025ab006410,pan_gene_438,Near-Core Gene,1
Zm00025ab006420,pan_gene_439,Core Gene,1
Zm00025ab006440,pan_gene_440,Core Gene,1
Zm00025ab006450,pan_gene_441,Core Gene,1
Zm00025ab006470,pan_gene_442,Core Gene,1
Zm00025ab006480,pan_gene_443,Core Gene,1
Zm00025ab006490,pan_gene_444,Core Gene,1
Zm00025ab006510,pan_gene_445,Core Gene,1
Zm00025ab006520,pan_gene_446,Dispensable Gene,1
Zm00025ab006530,pan_gene_447,Core Gene,1
Zm00025ab006540,pan_gene_448,Core Gene,1
Zm00025ab006550,pan_gene_449,Core Gene,1
Zm00025ab006560,pan_gene_450,Core Gene,1
Zm00025ab006570,pan_gene_451,Core Gene,2
Zm00025ab006590,pan_gene_453,Core Gene,1
Zm00025ab006610,pan_gene_454,Core Gene,1
Zm00025ab006630,pan_gene_455,Core Gene,1
Zm00025ab006650,pan_gene_456,Core Gene,1
Zm00025ab006660,pan_gene_457,Core Gene,1
Zm00025ab006670,pan_gene_458,Core Gene,1
Zm00025ab006680,pan_gene_459,Core Gene,1
Zm00025ab006700,pan_gene_460,Core Gene,3
Zm00025ab006720,pan_gene_461,Core Gene,1
Zm00025ab006730,pan_gene_462,Core Gene,1
Zm00025ab006740,pan_gene_464,Core Gene,1
Zm00025ab006760,pan_gene_465,Core Gene,1
gmap_ID=chr1:19324866-19326514,pan_gene_466,Dispensable Gene,1
Zm00025ab006780,pan_gene_467,Core Gene,1
Zm00025ab006790,pan_gene_468,Near-Core Gene,1
Zm00025ab006800,pan_gene_469,Core Gene,1
Zm00025ab006810,pan_gene_471,Core Gene,1
Zm00025ab006820,pan_gene_472,Core Gene,1
Zm00025ab006830,pan_gene_473,Core Gene,1
Zm00025ab006840,pan_gene_474,Core Gene,4
Zm00025ab006890,pan_gene_478,Core Gene,1
Zm00025ab006920,pan_gene_479,Core Gene,1
gmap_ID=chr1:19825761-19826165,pan_gene_480,Dispensable Gene,1
gmap_ID=chr1:19832802-19833864,pan_gene_481,Dispensable Gene,1
Zm00025ab006940,pan_gene_482,Core Gene,1
Zm00025ab006950,pan_gene_483,Core Gene,1
Zm00025ab006960,pan_gene_484,Core Gene,1
Zm00025ab006970,pan_gene_485,Core Gene,1
Zm00025ab006980,pan_gene_486,Core Gene,1
gmap_ID=chr1:19879308-19879732,pan_gene_487,Dispensable Gene,1
Zm00025ab007000,pan_gene_488,Core Gene,1
Zm00025ab007010,pan_gene_489,Core Gene,1
Zm00025ab007020,pan_gene_490,Core Gene,1
Zm00025ab007030,pan_gene_491,Core Gene,2
Zm00025ab007040,pan_gene_492,Core Gene,2
Zm00025ab007100,pan_gene_493,Core Gene,1
Zm00025ab007110,pan_gene_494,Dispensable Gene,1
Zm00025ab007120,pan_gene_495,Core Gene,1
Zm00025ab007130,pan_gene_496,Core Gene,1
Zm00025ab007140,pan_gene_497,Dispensable Gene,1
Zm00025ab007150,pan_gene_498,Core Gene,1
Zm00025ab007160,pan_gene_499,Core Gene,1
Zm00025ab007180,pan_gene_500,Core Gene,1
Zm00025ab007190,pan_gene_501,Core Gene,1
Zm00025ab007200,pan_gene_502,Core Gene,1
Zm00025ab007210,pan_gene_503,Core Gene,1
Zm00025ab007230,pan_gene_504,Core Gene,1
Zm00025ab007250,pan_gene_505,Core Gene,1
Zm00025ab007260,pan_gene_506,Dispensable Gene,1
Zm00025ab007270,pan_gene_507,Core Gene,1
Zm00025ab007280,pan_gene_508,Core Gene,1
Zm00025ab007300,pan_gene_509,Core Gene,2
Zm00025ab007320,pan_gene_510,Dispensable Gene,1
Zm00025ab007360,pan_gene_511,Core Gene,1
Zm00025ab007370,pan_gene_512,Core Gene,1
Zm00025ab007390,pan_gene_513,Core Gene,1
Zm00025ab007400,pan_gene_514,Core Gene,1
Zm00025ab007410,pan_gene_515,Core Gene,1
Zm00025ab007420,pan_gene_516,Core Gene,1
Zm00025ab007430,pan_gene_518,Core Gene,2
Zm00025ab007450,pan_gene_519,Core Gene,2
Zm00025ab007470,pan_gene_520,Dispensable Gene,1
