gene,pan,class
Zm00032ab000050,pan_gene_1,Dispensable Gene
Zm00032ab000080,pan_gene_2,Near-Core Gene
Zm00032ab000100,pan_gene_3,Near-Core Gene
Zm00032ab000120,pan_gene_5,Near-Core Gene
Zm00032ab000140,pan_gene_7,Near-Core Gene
Zm00032ab000190,pan_gene_8,Core Gene
Zm00032ab000200,pan_gene_9,Core Gene
Zm00032ab000220,pan_gene_10,Core Gene
Zm00032ab000210,pan_gene_11,Core Gene
Zm00032ab000250,pan_gene_12,Core Gene
Zm00032ab000260,pan_gene_13,Core Gene
Zm00032ab000270,pan_gene_14,Core Gene
Zm00032ab000280,pan_gene_15,Core Gene
gmap_ID=chr1:1169383-1172332,pan_gene_16,Core Gene
gmap_ID=chr1:1299296-1300924,pan_gene_17,Core Gene
gmap_ID=chr1:1302226-1310360,pan_gene_18,Core Gene
Zm00032ab000350,pan_gene_19,Core Gene
Zm00032ab000360,pan_gene_20,Core Gene
Zm00032ab000370,pan_gene_21,Core Gene
Zm00032ab000380,pan_gene_23,Core Gene
Zm00032ab000410,pan_gene_24,Core Gene
Zm00032ab000420,pan_gene_25,Core Gene
Zm00032ab000430,pan_gene_26,Core Gene
Zm00032ab000450,pan_gene_27,Core Gene
Zm00032ab000590,pan_gene_28,Core Gene
Zm00032ab000600,pan_gene_29,Core Gene
Zm00032ab000630,pan_gene_30,Core Gene
Zm00032ab000640,pan_gene_31,Core Gene
Zm00032ab000660,pan_gene_32,Core Gene
Zm00032ab000670,pan_gene_33,Core Gene
Zm00032ab000690,pan_gene_34,Dispensable Gene
Zm00032ab000700,pan_gene_35,Near-Core Gene
Zm00032ab000730,pan_gene_36,Core Gene
Zm00032ab000740,pan_gene_38,Core Gene
Zm00032ab000750,pan_gene_39,Core Gene
Zm00032ab000770,pan_gene_40,Core Gene
Zm00032ab000780,pan_gene_41,Core Gene
Zm00032ab000790,pan_gene_42,Core Gene
Zm00032ab000800,pan_gene_44,Core Gene
Zm00032ab000820,pan_gene_45,Core Gene
Zm00032ab000830,pan_gene_46,Core Gene
Zm00032ab000840,pan_gene_47,Core Gene
Zm00032ab000850,pan_gene_48,Core Gene
Zm00032ab000860,pan_gene_49,Core Gene
Zm00032ab000870,pan_gene_50,Core Gene
Zm00032ab000880,pan_gene_51,Core Gene
Zm00032ab000900,pan_gene_52,Core Gene
Zm00032ab000920,pan_gene_53,Core Gene
Zm00032ab000930,pan_gene_54,Core Gene
Zm00032ab000940,pan_gene_55,Core Gene
Zm00032ab000950,pan_gene_56,Core Gene
Zm00032ab000970,pan_gene_57,Core Gene
Zm00032ab000980,pan_gene_58,Core Gene
Zm00032ab000990,pan_gene_60,Core Gene
Zm00032ab001000,pan_gene_62,Core Gene
gmap_ID=chr1:3229475-3229771,pan_gene_63,Core Gene
Zm00032ab001020,pan_gene_64,Core Gene
Zm00032ab001030,pan_gene_65,Core Gene
