gene,pan,copy,class,duplicate
Zm00034ab000080,pan_gene_1,2,Dispensable Gene,Y
Zm00034ab000120,pan_gene_2,1,Near-Core Gene,N
gmap_ID=chr1:244227-246312,pan_gene_3,1,Near-Core Gene,N
gmap_ID=chr1:283122-283884,pan_gene_4,1,Dispensable Gene,N
Zm00034ab000180,pan_gene_5,1,Near-Core Gene,N
Zm00034ab000210,pan_gene_7,1,Near-Core Gene,N
Zm00034ab000280,pan_gene_8,1,Core Gene,N
Zm00034ab000270,pan_gene_9,1,Core Gene,N
Zm00034ab000300,pan_gene_10,1,Core Gene,N
Zm00034ab000290,pan_gene_11,1,Core Gene,N
Zm00034ab000320,pan_gene_12,1,Core Gene,N
Zm00034ab000330,pan_gene_13,1,Core Gene,N
Zm00034ab000340,pan_gene_14,1,Core Gene,N
Zm00034ab000350,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:1229554-1232503,pan_gene_16,1,Core Gene,N
Zm00034ab000400,pan_gene_17,1,Core Gene,N
gmap_ID=chr1:1362341-1370476,pan_gene_18,1,Core Gene,N
Zm00034ab000410,pan_gene_19,1,Core Gene,N
Zm00034ab000420,pan_gene_20,1,Core Gene,N
Zm00034ab000430,pan_gene_21,1,Core Gene,N
Zm00034ab000440,pan_gene_23,2,Core Gene,Y
Zm00034ab000460,pan_gene_24,1,Core Gene,N
Zm00034ab000470,pan_gene_25,1,Core Gene,N
Zm00034ab000480,pan_gene_26,1,Core Gene,N
Zm00034ab000500,pan_gene_27,1,Core Gene,N
Zm00034ab000550,pan_gene_28,1,Core Gene,N
Zm00034ab000560,pan_gene_29,1,Core Gene,N
Zm00034ab000570,pan_gene_30,1,Core Gene,N
Zm00034ab000580,pan_gene_31,1,Core Gene,N
Zm00034ab000610,pan_gene_32,1,Core Gene,N
Zm00034ab000620,pan_gene_33,1,Core Gene,N
Zm00034ab000630,pan_gene_34,1,Dispensable Gene,N
Zm00034ab000640,pan_gene_35,1,Near-Core Gene,N
Zm00034ab000670,pan_gene_36,1,Core Gene,N
Zm00034ab000760,pan_gene_37,1,Dispensable Gene,N
Zm00034ab000680,pan_gene_38,1,Core Gene,N
Zm00034ab000730,pan_gene_39,1,Core Gene,N
Zm00034ab000800,pan_gene_40,1,Core Gene,N
Zm00034ab000810,pan_gene_41,1,Core Gene,N
Zm00034ab000820,pan_gene_42,1,Core Gene,N
Zm00034ab000830,pan_gene_44,1,Core Gene,N
Zm00034ab000850,pan_gene_45,1,Core Gene,N
Zm00034ab000860,pan_gene_46,1,Core Gene,N
Zm00034ab000870,pan_gene_47,1,Core Gene,N
Zm00034ab000880,pan_gene_48,1,Core Gene,N
Zm00034ab000890,pan_gene_49,1,Core Gene,N
Zm00034ab000900,pan_gene_50,1,Core Gene,N
Zm00034ab000910,pan_gene_51,1,Core Gene,N
Zm00034ab000920,pan_gene_52,1,Core Gene,N
Zm00034ab000930,pan_gene_53,1,Core Gene,N
Zm00034ab000940,pan_gene_54,1,Core Gene,N
Zm00034ab000950,pan_gene_55,1,Core Gene,N
Zm00034ab000960,pan_gene_56,1,Core Gene,N
Zm00034ab000970,pan_gene_57,1,Core Gene,N
Zm00034ab000980,pan_gene_58,1,Core Gene,N
Zm00034ab000990,pan_gene_59,1,Dispensable Gene,N
Zm00034ab001000,pan_gene_60,1,Core Gene,N
gmap_ID=chr1:3237011-3238339,pan_gene_61,1,Dispensable Gene,N
Zm00034ab001010,pan_gene_62,1,Core Gene,N
Zm00034ab001020,pan_gene_63,1,Core Gene,N
Zm00034ab001030,pan_gene_64,1,Core Gene,N
Zm00034ab001040,pan_gene_65,1,Core Gene,N
Zm00034ab001050,pan_gene_66,1,Core Gene,N
Zm00034ab001100,pan_gene_67,1,Core Gene,N
Zm00034ab001120,pan_gene_68,1,Core Gene,N
Zm00034ab001130,pan_gene_69,1,Core Gene,N
Zm00034ab001140,pan_gene_70,1,Core Gene,N
Zm00034ab001170,pan_gene_71,1,Core Gene,N
Zm00034ab001190,pan_gene_72,1,Core Gene,N
Zm00034ab001200,pan_gene_73,1,Core Gene,N
Zm00034ab001210,pan_gene_74,1,Core Gene,N
Zm00034ab001220,pan_gene_75,1,Core Gene,N
Zm00034ab001230,pan_gene_76,1,Core Gene,N
Zm00034ab001240,pan_gene_77,1,Core Gene,N
Zm00034ab001250,pan_gene_78,1,Core Gene,N
Zm00034ab001260,pan_gene_80,1,Core Gene,N
Zm00034ab001270,pan_gene_81,1,Core Gene,N
Zm00034ab001280,pan_gene_82,1,Core Gene,N
Zm00034ab001290,pan_gene_83,1,Core Gene,N
gmap_ID=chr1:3865566-3865859,pan_gene_84,1,Near-Core Gene,N
Zm00034ab001320,pan_gene_86,1,Core Gene,N
Zm00034ab001330,pan_gene_87,1,Core Gene,N
Zm00034ab001340,pan_gene_88,1,Core Gene,N
Zm00034ab001350,pan_gene_89,1,Core Gene,N
Zm00034ab001360,pan_gene_90,1,Core Gene,N
Zm00034ab001370,pan_gene_91,1,Core Gene,N
Zm00034ab001380,pan_gene_92,1,Core Gene,N
Zm00034ab001400,pan_gene_93,1,Core Gene,N
Zm00034ab001390,pan_gene_94,1,Core Gene,N
Zm00034ab001410,pan_gene_95,1,Core Gene,N
Zm00034ab001420,pan_gene_96,1,Core Gene,N
gmap_ID=chr1:4090802-4091137,pan_gene_97,1,Near-Core Gene,N
Zm00034ab001430,pan_gene_98,1,Core Gene,N
Zm00034ab001440,pan_gene_99,1,Dispensable Gene,N
Zm00034ab001450,pan_gene_100,1,Core Gene,N
Zm00034ab001460,pan_gene_101,1,Core Gene,N
Zm00034ab001470,pan_gene_102,1,Core Gene,N
Zm00034ab001480,pan_gene_103,1,Core Gene,N
Zm00034ab001490,pan_gene_108,2,Core Gene,Y
Zm00034ab001530,pan_gene_109,3,Core Gene,Y
Zm00034ab001550,pan_gene_110,1,Core Gene,N
Zm00034ab001570,pan_gene_113,2,Core Gene,Y
Zm00034ab001610,pan_gene_114,1,Core Gene,N
Zm00034ab001630,pan_gene_115,1,Core Gene,N
Zm00034ab001640,pan_gene_116,1,Core Gene,N
Zm00034ab001650,pan_gene_117,1,Core Gene,N
Zm00034ab001660,pan_gene_118,1,Core Gene,N
Zm00034ab001670,pan_gene_119,1,Core Gene,N
Zm00034ab001690,pan_gene_120,1,Core Gene,N
Zm00034ab001700,pan_gene_121,1,Near-Core Gene,N
Zm00034ab001710,pan_gene_122,1,Core Gene,N
Zm00034ab001720,pan_gene_123,1,Core Gene,N
Zm00034ab001730,pan_gene_124,1,Core Gene,N
Zm00034ab001740,pan_gene_125,1,Core Gene,N
Zm00034ab001750,pan_gene_126,1,Dispensable Gene,N
Zm00034ab001760,pan_gene_127,1,Core Gene,N
Zm00034ab001770,pan_gene_128,1,Core Gene,N
Zm00034ab001780,pan_gene_129,1,Dispensable Gene,N
Zm00034ab001790,pan_gene_130,1,Core Gene,N
Zm00034ab001800,pan_gene_131,1,Core Gene,N
