gene,pan,class,copy
gmap_ID=chr1:193203-193562,pan_gene_1,Dispensable Gene,1
Zm00030ab000110,pan_gene_2,Near-Core Gene,1
Zm00030ab000130,pan_gene_3,Near-Core Gene,1
gmap_ID=chr1:261001-261763,pan_gene_4,Dispensable Gene,1
Zm00030ab000140,pan_gene_5,Near-Core Gene,1
Zm00030ab000160,pan_gene_7,Near-Core Gene,1
Zm00030ab000210,pan_gene_8,Core Gene,4
Zm00030ab000200,pan_gene_9,Core Gene,5
Zm00030ab000470,pan_gene_10,Core Gene,3
Zm00030ab000230,pan_gene_11,Core Gene,2
Zm00030ab000510,pan_gene_12,Core Gene,1
Zm00030ab000520,pan_gene_13,Core Gene,1
Zm00030ab000540,pan_gene_14,Core Gene,1
Zm00030ab000550,pan_gene_15,Core Gene,1
Zm00030ab000570,pan_gene_16,Core Gene,1
Zm00030ab000600,pan_gene_17,Core Gene,1
Zm00030ab000610,pan_gene_18,Core Gene,1
Zm00030ab000620,pan_gene_19,Core Gene,1
Zm00030ab000630,pan_gene_20,Core Gene,1
Zm00030ab000640,pan_gene_21,Core Gene,1
Zm00030ab000650,pan_gene_23,Core Gene,2
Zm00030ab000670,pan_gene_24,Core Gene,1
Zm00030ab000680,pan_gene_25,Core Gene,1
Zm00030ab000690,pan_gene_26,Core Gene,1
Zm00030ab000710,pan_gene_27,Core Gene,1
Zm00030ab000770,pan_gene_28,Core Gene,1
Zm00030ab000780,pan_gene_29,Core Gene,1
Zm00030ab000790,pan_gene_30,Core Gene,1
Zm00030ab000800,pan_gene_31,Core Gene,1
Zm00030ab000820,pan_gene_32,Core Gene,1
Zm00030ab000830,pan_gene_33,Core Gene,1
gmap_ID=chr1:4395708-4396025,pan_gene_34,Dispensable Gene,1
Zm00030ab000850,pan_gene_35,Near-Core Gene,1
Zm00030ab000860,pan_gene_36,Core Gene,1
Zm00030ab000870,pan_gene_37,Dispensable Gene,1
Zm00030ab000880,pan_gene_38,Core Gene,1
Zm00030ab000890,pan_gene_39,Core Gene,1
Zm00030ab000920,pan_gene_40,Core Gene,1
Zm00030ab000940,pan_gene_41,Core Gene,1
Zm00030ab000950,pan_gene_42,Core Gene,1
Zm00030ab000960,pan_gene_44,Core Gene,1
Zm00030ab000970,pan_gene_45,Core Gene,1
Zm00030ab000980,pan_gene_46,Core Gene,1
Zm00030ab001000,pan_gene_47,Core Gene,1
Zm00030ab001010,pan_gene_48,Core Gene,1
Zm00030ab001020,pan_gene_49,Core Gene,1
Zm00030ab001030,pan_gene_50,Core Gene,1
Zm00030ab001040,pan_gene_51,Core Gene,1
Zm00030ab001050,pan_gene_52,Core Gene,2
Zm00030ab001060,pan_gene_53,Core Gene,1
Zm00030ab001080,pan_gene_54,Core Gene,1
Zm00030ab001090,pan_gene_55,Core Gene,1
Zm00030ab001100,pan_gene_56,Core Gene,1
Zm00030ab001110,pan_gene_57,Core Gene,1
Zm00030ab001130,pan_gene_58,Core Gene,1
Zm00030ab001140,pan_gene_60,Core Gene,1
Zm00030ab001150,pan_gene_62,Core Gene,1
Zm00030ab001160,pan_gene_63,Core Gene,1
Zm00030ab001170,pan_gene_64,Core Gene,1
Zm00030ab001180,pan_gene_65,Core Gene,1
Zm00030ab001190,pan_gene_66,Core Gene,1
Zm00030ab001200,pan_gene_67,Core Gene,1
Zm00030ab001220,pan_gene_68,Core Gene,1
Zm00030ab001230,pan_gene_69,Core Gene,1
Zm00030ab001240,pan_gene_70,Core Gene,1
Zm00030ab001250,pan_gene_71,Core Gene,1
Zm00030ab001270,pan_gene_72,Core Gene,1
Zm00030ab001280,pan_gene_73,Core Gene,1
Zm00030ab001290,pan_gene_74,Core Gene,1
Zm00030ab001300,pan_gene_75,Core Gene,1
Zm00030ab001310,pan_gene_76,Core Gene,1
Zm00030ab001330,pan_gene_77,Core Gene,2
Zm00030ab001350,pan_gene_78,Core Gene,1
Zm00030ab001360,pan_gene_79,Dispensable Gene,1
Zm00030ab001370,pan_gene_80,Core Gene,1
