gene,pan,class
Zm00038ab000040,pan_gene_1,Dispensable Gene
Zm00038ab000060,pan_gene_2,Near-Core Gene
Zm00038ab000080,pan_gene_3,Near-Core Gene
gmap_ID=chr1:245872-246634,pan_gene_4,Dispensable Gene
Zm00038ab000110,pan_gene_5,Near-Core Gene
Zm00038ab000130,pan_gene_7,Near-Core Gene
Zm00038ab000190,pan_gene_8,Core Gene
Zm00038ab000180,pan_gene_9,Core Gene
Zm00038ab000200,pan_gene_10,Core Gene
Zm00038ab000210,pan_gene_11,Core Gene
Zm00038ab000220,pan_gene_12,Core Gene
Zm00038ab000230,pan_gene_13,Core Gene
Zm00038ab000240,pan_gene_14,Core Gene
Zm00038ab000250,pan_gene_15,Core Gene
Zm00038ab000280,pan_gene_16,Core Gene
Zm00038ab000310,pan_gene_17,Core Gene
gmap_ID=chr1:1392059-1406517,pan_gene_18,Core Gene
Zm00038ab000320,pan_gene_19,Core Gene
Zm00038ab000340,pan_gene_20,Core Gene
Zm00038ab000380,pan_gene_21,Core Gene
Zm00038ab000400,pan_gene_23,Core Gene
Zm00038ab000420,pan_gene_24,Core Gene
Zm00038ab000440,pan_gene_25,Core Gene
Zm00038ab000450,pan_gene_26,Core Gene
Zm00038ab000500,pan_gene_27,Core Gene
Zm00038ab000540,pan_gene_28,Core Gene
Zm00038ab000550,pan_gene_29,Core Gene
Zm00038ab000560,pan_gene_30,Core Gene
Zm00038ab000570,pan_gene_31,Core Gene
Zm00038ab000580,pan_gene_32,Core Gene
Zm00038ab000590,pan_gene_33,Core Gene
gmap_ID=chr1:2380532-2380849,pan_gene_34,Dispensable Gene
Zm00038ab000610,pan_gene_35,Near-Core Gene
Zm00038ab000620,pan_gene_36,Core Gene
Zm00038ab000630,pan_gene_37,Dispensable Gene
Zm00038ab000650,pan_gene_38,Core Gene
Zm00038ab000670,pan_gene_39,Core Gene
Zm00038ab000700,pan_gene_40,Core Gene
Zm00038ab000720,pan_gene_41,Core Gene
Zm00038ab000730,pan_gene_42,Core Gene
Zm00038ab000740,pan_gene_44,Core Gene
Zm00038ab000750,pan_gene_45,Core Gene
Zm00038ab000760,pan_gene_46,Core Gene
Zm00038ab000770,pan_gene_47,Core Gene
Zm00038ab000780,pan_gene_48,Core Gene
Zm00038ab000790,pan_gene_49,Core Gene
Zm00038ab000800,pan_gene_50,Core Gene
Zm00038ab000810,pan_gene_51,Core Gene
Zm00038ab000830,pan_gene_52,Core Gene
