gene,pan,class
gmap_ID=chr1:191300-191659,pan_gene_1,Dispensable Gene
Zm00041ab000070,pan_gene_2,Near-Core Gene
Zm00041ab000100,pan_gene_3,Near-Core Gene
gmap_ID=chr1:288135-288897,pan_gene_4,Dispensable Gene
Zm00041ab000130,pan_gene_5,Near-Core Gene
Zm00041ab000150,pan_gene_7,Near-Core Gene
Zm00041ab000210,pan_gene_8,Core Gene
Zm00041ab000200,pan_gene_9,Core Gene
Zm00041ab000220,pan_gene_10,Core Gene
Zm00041ab000230,pan_gene_11,Core Gene
Zm00041ab000280,pan_gene_12,Core Gene
Zm00041ab000290,pan_gene_13,Core Gene
Zm00041ab000300,pan_gene_14,Core Gene
Zm00041ab000310,pan_gene_15,Core Gene
Zm00041ab000340,pan_gene_16,Core Gene
Zm00041ab000360,pan_gene_17,Core Gene
Zm00041ab000370,pan_gene_18,Core Gene
Zm00041ab000380,pan_gene_19,Core Gene
Zm00041ab000390,pan_gene_20,Core Gene
Zm00041ab000420,pan_gene_21,Core Gene
Zm00041ab000430,pan_gene_23,Core Gene
Zm00041ab000480,pan_gene_24,Core Gene
Zm00041ab000490,pan_gene_25,Core Gene
Zm00041ab000500,pan_gene_26,Core Gene
Zm00041ab000510,pan_gene_27,Core Gene
Zm00041ab000570,pan_gene_28,Core Gene
Zm00041ab000590,pan_gene_29,Core Gene
Zm00041ab000610,pan_gene_30,Core Gene
Zm00041ab000620,pan_gene_31,Core Gene
Zm00041ab000640,pan_gene_32,Core Gene
Zm00041ab000650,pan_gene_33,Core Gene
Zm00041ab000680,pan_gene_36,Core Gene
Zm00041ab000690,pan_gene_38,Core Gene
Zm00041ab000720,pan_gene_39,Core Gene
Zm00041ab000740,pan_gene_40,Core Gene
Zm00041ab000750,pan_gene_41,Core Gene
Zm00041ab000770,pan_gene_42,Core Gene
Zm00041ab000780,pan_gene_43,Dispensable Gene
Zm00041ab000790,pan_gene_44,Core Gene
Zm00041ab000810,pan_gene_45,Core Gene
Zm00041ab000820,pan_gene_46,Core Gene
Zm00041ab000830,pan_gene_47,Core Gene
Zm00041ab000840,pan_gene_48,Core Gene
Zm00041ab000850,pan_gene_49,Core Gene
Zm00041ab000860,pan_gene_50,Core Gene
Zm00041ab000870,pan_gene_51,Core Gene
Zm00041ab000880,pan_gene_52,Core Gene
Zm00041ab000890,pan_gene_53,Core Gene
Zm00041ab000910,pan_gene_54,Core Gene
Zm00041ab000930,pan_gene_55,Core Gene
Zm00041ab000940,pan_gene_56,Core Gene
Zm00041ab000950,pan_gene_57,Core Gene
Zm00041ab000960,pan_gene_58,Core Gene
Zm00041ab000970,pan_gene_59,Dispensable Gene
Zm00041ab000980,pan_gene_60,Core Gene
Zm00041ab000990,pan_gene_62,Core Gene
gmap_ID=chr1:3105351-3105647,pan_gene_63,Core Gene
Zm00041ab001010,pan_gene_64,Core Gene
Zm00041ab001030,pan_gene_65,Core Gene
Zm00041ab001040,pan_gene_66,Core Gene
Zm00041ab001050,pan_gene_67,Core Gene
Zm00041ab001060,pan_gene_68,Core Gene
Zm00041ab001070,pan_gene_69,Core Gene
Zm00041ab001080,pan_gene_70,Core Gene
Zm00041ab001090,pan_gene_71,Core Gene
Zm00041ab001110,pan_gene_72,Core Gene
Zm00041ab001120,pan_gene_73,Core Gene
Zm00041ab001130,pan_gene_74,Core Gene
Zm00041ab001140,pan_gene_75,Core Gene
Zm00041ab001150,pan_gene_76,Core Gene
Zm00041ab001170,pan_gene_77,Core Gene
Zm00041ab001180,pan_gene_78,Core Gene
Zm00041ab001200,pan_gene_80,Core Gene
Zm00041ab001230,pan_gene_81,Core Gene
Zm00041ab001250,pan_gene_82,Core Gene
Zm00041ab001270,pan_gene_83,Core Gene
gmap_ID=chr1:3729726-3730019,pan_gene_84,Near-Core Gene
Zm00041ab001290,pan_gene_86,Core Gene
