gene,pan,copy,class,duplicate
Zm00040ab000310,pan_gene_8,1,Core Gene,N
Zm00040ab000320,pan_gene_9,1,Core Gene,N
Zm00040ab000340,pan_gene_10,1,Core Gene,N
Zm00040ab000330,pan_gene_11,1,Core Gene,N
Zm00040ab000370,pan_gene_12,1,Core Gene,N
Zm00040ab000380,pan_gene_13,1,Core Gene,N
Zm00040ab000400,pan_gene_14,1,Core Gene,N
Zm00040ab000410,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:1160243-1163192,pan_gene_16,1,Core Gene,N
gmap_ID=chr1:1290058-1291686,pan_gene_17,1,Core Gene,N
gmap_ID=chr1:1292988-1301120,pan_gene_18,1,Core Gene,N
Zm00040ab000460,pan_gene_19,1,Core Gene,N
Zm00040ab000480,pan_gene_20,1,Core Gene,N
Zm00040ab000490,pan_gene_21,1,Core Gene,N
Zm00040ab000510,pan_gene_23,2,Core Gene,Y
Zm00040ab000550,pan_gene_24,1,Core Gene,N
Zm00040ab000570,pan_gene_25,1,Core Gene,N
Zm00040ab000580,pan_gene_26,1,Core Gene,N
Zm00040ab000630,pan_gene_27,1,Core Gene,N
Zm00040ab000680,pan_gene_28,1,Core Gene,N
Zm00040ab000690,pan_gene_29,1,Core Gene,N
Zm00040ab000710,pan_gene_30,1,Core Gene,N
Zm00040ab000720,pan_gene_31,1,Core Gene,N
Zm00040ab000730,pan_gene_32,1,Core Gene,N
Zm00040ab000740,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2281303-2281620,pan_gene_34,1,Dispensable Gene,N
Zm00040ab000760,pan_gene_35,1,Near-Core Gene,N
Zm00040ab000770,pan_gene_36,1,Core Gene,N
Zm00040ab000780,pan_gene_38,1,Core Gene,N
Zm00040ab000790,pan_gene_39,1,Core Gene,N
Zm00040ab000810,pan_gene_40,1,Core Gene,N
Zm00040ab000820,pan_gene_41,1,Core Gene,N
Zm00040ab000830,pan_gene_42,1,Core Gene,N
Zm00040ab000840,pan_gene_44,1,Core Gene,N
Zm00040ab000860,pan_gene_45,1,Core Gene,N
Zm00040ab000870,pan_gene_46,1,Core Gene,N
Zm00040ab000880,pan_gene_47,1,Core Gene,N
Zm00040ab000890,pan_gene_48,1,Core Gene,N
Zm00040ab000900,pan_gene_49,1,Core Gene,N
Zm00040ab000910,pan_gene_50,1,Core Gene,N
Zm00040ab000920,pan_gene_51,1,Core Gene,N
Zm00040ab000930,pan_gene_52,1,Core Gene,N
Zm00040ab000940,pan_gene_53,1,Core Gene,N
Zm00040ab000950,pan_gene_54,1,Core Gene,N
Zm00040ab000960,pan_gene_55,1,Core Gene,N
Zm00040ab000970,pan_gene_56,1,Core Gene,N
Zm00040ab000980,pan_gene_57,1,Core Gene,N
Zm00040ab000990,pan_gene_58,1,Core Gene,N
Zm00040ab001000,pan_gene_59,1,Dispensable Gene,N
Zm00040ab001010,pan_gene_60,1,Core Gene,N
Zm00040ab001020,pan_gene_61,1,Dispensable Gene,N
Zm00040ab001030,pan_gene_62,1,Core Gene,N
Zm00040ab001040,pan_gene_63,1,Core Gene,N
Zm00040ab001050,pan_gene_64,1,Core Gene,N
Zm00040ab001060,pan_gene_65,1,Core Gene,N
Zm00040ab001070,pan_gene_66,1,Core Gene,N
Zm00040ab001080,pan_gene_67,1,Core Gene,N
Zm00040ab001100,pan_gene_68,1,Core Gene,N
Zm00040ab001110,pan_gene_69,1,Core Gene,N
Zm00040ab001120,pan_gene_70,1,Core Gene,N
Zm00040ab001140,pan_gene_71,2,Core Gene,Y
Zm00040ab001170,pan_gene_72,1,Core Gene,N
Zm00040ab001180,pan_gene_73,1,Core Gene,N
Zm00040ab001190,pan_gene_74,1,Core Gene,N
Zm00040ab001200,pan_gene_75,1,Core Gene,N
Zm00040ab001210,pan_gene_76,1,Core Gene,N
Zm00040ab001220,pan_gene_77,1,Core Gene,N
Zm00040ab001230,pan_gene_78,1,Core Gene,N
Zm00040ab001250,pan_gene_80,1,Core Gene,N
Zm00040ab001260,pan_gene_81,1,Core Gene,N
Zm00040ab001280,pan_gene_82,1,Core Gene,N
Zm00040ab001320,pan_gene_83,1,Core Gene,N
gmap_ID=chr1:3517586-3517879,pan_gene_84,1,Near-Core Gene,N
gmap_ID=chr1:3586493-3587032,pan_gene_85,1,Dispensable Gene,N
Zm00040ab001380,pan_gene_86,1,Core Gene,N
Zm00040ab001390,pan_gene_87,1,Core Gene,N
Zm00040ab001400,pan_gene_88,1,Core Gene,N
Zm00040ab001410,pan_gene_89,1,Core Gene,N
Zm00040ab001420,pan_gene_90,1,Core Gene,N
Zm00040ab001430,pan_gene_91,1,Core Gene,N
Zm00040ab001440,pan_gene_92,1,Core Gene,N
Zm00040ab001450,pan_gene_93,1,Core Gene,N
Zm00040ab001460,pan_gene_94,1,Core Gene,N
Zm00040ab001470,pan_gene_95,1,Core Gene,N
Zm00040ab001480,pan_gene_96,1,Core Gene,N
Zm00040ab001490,pan_gene_97,1,Near-Core Gene,N
Zm00040ab001500,pan_gene_98,1,Core Gene,N
Zm00040ab001510,pan_gene_99,1,Dispensable Gene,N
Zm00040ab001520,pan_gene_100,1,Core Gene,N
Zm00040ab001530,pan_gene_101,1,Core Gene,N
Zm00040ab001540,pan_gene_102,1,Core Gene,N
Zm00040ab001550,pan_gene_103,1,Core Gene,N
Zm00040ab001560,pan_gene_104,1,Dispensable Gene,N
Zm00040ab001570,pan_gene_105,1,Dispensable Gene,N
gmap_ID=chr1:3910782-3911084,pan_gene_106,1,Dispensable Gene,N
gmap_ID=chr1:3911944-3912486,pan_gene_107,1,Dispensable Gene,N
Zm00040ab001580,pan_gene_108,2,Core Gene,Y
Zm00040ab001610,pan_gene_109,2,Core Gene,Y
Zm00040ab001630,pan_gene_110,1,Core Gene,N
Zm00040ab001640,pan_gene_111,1,Dispensable Gene,N
Zm00040ab001650,pan_gene_112,1,Dispensable Gene,N
Zm00040ab001660,pan_gene_113,1,Core Gene,N
Zm00040ab001670,pan_gene_114,1,Core Gene,N
Zm00040ab001690,pan_gene_115,1,Core Gene,N
Zm00040ab001700,pan_gene_116,1,Core Gene,N
