gene,pan,copy,class,duplicate
gmap_ID=chr1:190541-190900,pan_gene_1,1,Dispensable Gene,N
Zm00042ab000090,pan_gene_2,1,Near-Core Gene,N
Zm00042ab000100,pan_gene_3,1,Near-Core Gene,N
gmap_ID=chr1:248070-248832,pan_gene_4,1,Dispensable Gene,N
gmap_ID=chr1:322155-322514,pan_gene_5,1,Near-Core Gene,N
Zm00042ab000130,pan_gene_7,1,Near-Core Gene,N
Zm00042ab000150,pan_gene_8,1,Core Gene,N
Zm00042ab000160,pan_gene_9,1,Core Gene,N
Zm00042ab000190,pan_gene_10,1,Core Gene,N
Zm00042ab000180,pan_gene_11,1,Core Gene,N
Zm00042ab000210,pan_gene_12,1,Core Gene,N
Zm00042ab000220,pan_gene_13,1,Core Gene,N
Zm00042ab000240,pan_gene_14,1,Core Gene,N
Zm00042ab000250,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:1117701-1120773,pan_gene_16,1,Core Gene,N
Zm00042ab000290,pan_gene_17,1,Core Gene,N
Zm00042ab000300,pan_gene_18,1,Core Gene,N
Zm00042ab000310,pan_gene_19,1,Core Gene,N
Zm00042ab000320,pan_gene_20,1,Core Gene,N
Zm00042ab000330,pan_gene_21,1,Core Gene,N
Zm00042ab000340,pan_gene_23,2,Core Gene,Y
Zm00042ab000360,pan_gene_24,1,Core Gene,N
Zm00042ab000370,pan_gene_25,1,Core Gene,N
Zm00042ab000380,pan_gene_26,1,Core Gene,N
Zm00042ab000390,pan_gene_27,1,Core Gene,N
Zm00042ab000460,pan_gene_28,1,Core Gene,N
Zm00042ab000470,pan_gene_29,1,Core Gene,N
Zm00042ab000490,pan_gene_30,1,Core Gene,N
Zm00042ab000500,pan_gene_31,1,Core Gene,N
Zm00042ab000520,pan_gene_32,1,Core Gene,N
Zm00042ab000530,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2322844-2323161,pan_gene_34,1,Dispensable Gene,N
Zm00042ab000550,pan_gene_35,2,Near-Core Gene,Y
Zm00042ab000570,pan_gene_36,1,Core Gene,N
Zm00042ab000580,pan_gene_37,1,Dispensable Gene,N
Zm00042ab000590,pan_gene_38,1,Core Gene,N
Zm00042ab000610,pan_gene_39,1,Core Gene,N
Zm00042ab000640,pan_gene_40,1,Core Gene,N
Zm00042ab000650,pan_gene_41,1,Core Gene,N
Zm00042ab000660,pan_gene_42,1,Core Gene,N
Zm00042ab000670,pan_gene_44,1,Core Gene,N
Zm00042ab000690,pan_gene_45,3,Core Gene,Y
Zm00042ab000700,pan_gene_46,2,Core Gene,Y
Zm00042ab000710,pan_gene_47,2,Core Gene,Y
Zm00042ab000720,pan_gene_48,2,Core Gene,Y
Zm00042ab000780,pan_gene_49,1,Core Gene,N
Zm00042ab000790,pan_gene_50,1,Core Gene,N
Zm00042ab000800,pan_gene_51,1,Core Gene,N
Zm00042ab000810,pan_gene_52,2,Core Gene,Y
Zm00042ab000820,pan_gene_53,1,Core Gene,N
Zm00042ab000840,pan_gene_54,1,Core Gene,N
Zm00042ab000850,pan_gene_55,1,Core Gene,N
Zm00042ab000860,pan_gene_56,1,Core Gene,N
Zm00042ab000870,pan_gene_57,1,Core Gene,N
Zm00042ab000880,pan_gene_58,1,Core Gene,N
Zm00042ab000930,pan_gene_59,1,Dispensable Gene,N
Zm00042ab000950,pan_gene_60,1,Core Gene,N
Zm00042ab000960,pan_gene_61,1,Dispensable Gene,N
Zm00042ab000970,pan_gene_62,1,Core Gene,N
Zm00042ab000980,pan_gene_63,1,Core Gene,N
Zm00042ab001000,pan_gene_64,1,Core Gene,N
Zm00042ab001010,pan_gene_65,1,Core Gene,N
Zm00042ab001040,pan_gene_66,1,Core Gene,N
Zm00042ab001050,pan_gene_67,1,Core Gene,N
Zm00042ab001070,pan_gene_68,1,Core Gene,N
Zm00042ab001080,pan_gene_69,1,Core Gene,N
Zm00042ab001100,pan_gene_70,1,Core Gene,N
Zm00042ab001120,pan_gene_71,1,Core Gene,N
Zm00042ab001140,pan_gene_72,1,Core Gene,N
Zm00042ab001150,pan_gene_73,1,Core Gene,N
Zm00042ab001160,pan_gene_74,1,Core Gene,N
Zm00042ab001170,pan_gene_75,1,Core Gene,N
Zm00042ab001180,pan_gene_76,1,Core Gene,N
Zm00042ab001190,pan_gene_77,1,Core Gene,N
Zm00042ab001200,pan_gene_78,1,Core Gene,N
Zm00042ab001210,pan_gene_79,1,Dispensable Gene,N
Zm00042ab001220,pan_gene_80,1,Core Gene,N
Zm00042ab001230,pan_gene_81,1,Core Gene,N
Zm00042ab001240,pan_gene_82,1,Core Gene,N
Zm00042ab001260,pan_gene_83,1,Core Gene,N
gmap_ID=chr1:3930941-3931234,pan_gene_84,1,Near-Core Gene,N
Zm00042ab001320,pan_gene_85,1,Dispensable Gene,N
Zm00042ab001330,pan_gene_86,1,Core Gene,N
Zm00042ab001350,pan_gene_87,1,Core Gene,N
Zm00042ab001370,pan_gene_88,1,Core Gene,N
Zm00042ab001380,pan_gene_89,1,Core Gene,N
Zm00042ab001390,pan_gene_90,1,Core Gene,N
Zm00042ab001400,pan_gene_91,1,Core Gene,N
Zm00042ab001410,pan_gene_92,1,Core Gene,N
Zm00042ab001420,pan_gene_93,1,Core Gene,N
Zm00042ab001430,pan_gene_94,1,Core Gene,N
Zm00042ab001440,pan_gene_95,1,Core Gene,N
Zm00042ab001450,pan_gene_96,1,Core Gene,N
gmap_ID=chr1:4134244-4134571,pan_gene_97,1,Near-Core Gene,N
Zm00042ab001460,pan_gene_98,1,Core Gene,N
Zm00042ab001470,pan_gene_99,1,Dispensable Gene,N
Zm00042ab001480,pan_gene_100,1,Core Gene,N
Zm00042ab001490,pan_gene_101,1,Core Gene,N
Zm00042ab001500,pan_gene_102,1,Core Gene,N
Zm00042ab001510,pan_gene_103,1,Core Gene,N
Zm00042ab001520,pan_gene_108,2,Core Gene,Y
Zm00042ab001550,pan_gene_109,2,Core Gene,Y
Zm00042ab001590,pan_gene_110,1,Core Gene,N
Zm00042ab001610,pan_gene_113,2,Core Gene,Y
Zm00042ab001650,pan_gene_114,1,Core Gene,N
Zm00042ab001670,pan_gene_115,1,Core Gene,N
Zm00042ab001680,pan_gene_116,1,Core Gene,N
Zm00042ab001690,pan_gene_117,1,Core Gene,N
Zm00042ab001710,pan_gene_118,1,Core Gene,N
Zm00042ab001700,pan_gene_119,1,Core Gene,N
Zm00042ab001730,pan_gene_120,1,Core Gene,N
Zm00042ab001740,pan_gene_121,1,Near-Core Gene,N
Zm00042ab001750,pan_gene_122,1,Core Gene,N
Zm00042ab001780,pan_gene_123,1,Core Gene,N
Zm00042ab001790,pan_gene_124,1,Core Gene,N
Zm00042ab001800,pan_gene_125,1,Core Gene,N
