gene,pan,copy,class,duplicate
Zm00020ab000060,pan_gene_1,1,Dispensable Gene,N
Zm00020ab000080,pan_gene_2,1,Near-Core Gene,N
Zm00020ab000090,pan_gene_3,1,Near-Core Gene,N
gmap_ID=chr1:232323-233085,pan_gene_4,1,Dispensable Gene,N
Zm00020ab000110,pan_gene_5,1,Near-Core Gene,N
Zm00020ab000130,pan_gene_7,1,Near-Core Gene,N
Zm00020ab000170,pan_gene_8,1,Core Gene,N
Zm00020ab000160,pan_gene_9,1,Core Gene,N
Zm00020ab000190,pan_gene_10,1,Core Gene,N
Zm00020ab000180,pan_gene_11,1,Core Gene,N
Zm00020ab000210,pan_gene_12,1,Core Gene,N
Zm00020ab000220,pan_gene_13,1,Core Gene,N
Zm00020ab000230,pan_gene_14,1,Core Gene,N
Zm00020ab000240,pan_gene_15,1,Core Gene,N
gmap_ID=chr1:1196526-1199475,pan_gene_16,1,Core Gene,N
gmap_ID=chr1:1294970-1296598,pan_gene_17,1,Core Gene,N
Zm00020ab000280,pan_gene_18,1,Core Gene,N
gmap_ID=chr1:1314204-1318280,pan_gene_19,1,Core Gene,N
Zm00020ab000290,pan_gene_20,1,Core Gene,N
Zm00020ab000310,pan_gene_21,1,Core Gene,N
Zm00020ab000320,pan_gene_23,2,Core Gene,Y
Zm00020ab000350,pan_gene_24,1,Core Gene,N
Zm00020ab000360,pan_gene_25,1,Core Gene,N
Zm00020ab000370,pan_gene_26,1,Core Gene,N
Zm00020ab000390,pan_gene_27,1,Core Gene,N
Zm00020ab000450,pan_gene_28,1,Core Gene,N
Zm00020ab000460,pan_gene_29,1,Core Gene,N
Zm00020ab000470,pan_gene_30,1,Core Gene,N
Zm00020ab000480,pan_gene_31,1,Core Gene,N
Zm00020ab000500,pan_gene_32,1,Core Gene,N
Zm00020ab000510,pan_gene_33,1,Core Gene,N
gmap_ID=chr1:2293288-2293605,pan_gene_34,1,Dispensable Gene,N
Zm00020ab000530,pan_gene_35,1,Near-Core Gene,N
Zm00020ab000540,pan_gene_36,1,Core Gene,N
Zm00020ab000550,pan_gene_37,1,Dispensable Gene,N
Zm00020ab000560,pan_gene_38,1,Core Gene,N
Zm00020ab000570,pan_gene_39,1,Core Gene,N
Zm00020ab000580,pan_gene_40,1,Core Gene,N
Zm00020ab000590,pan_gene_41,1,Core Gene,N
Zm00020ab000600,pan_gene_42,1,Core Gene,N
Zm00020ab000610,pan_gene_43,1,Dispensable Gene,N
Zm00020ab000620,pan_gene_44,1,Core Gene,N
Zm00020ab000640,pan_gene_45,1,Core Gene,N
Zm00020ab000650,pan_gene_46,1,Core Gene,N
Zm00020ab000670,pan_gene_47,1,Core Gene,N
Zm00020ab000680,pan_gene_48,1,Core Gene,N
Zm00020ab000690,pan_gene_49,1,Core Gene,N
Zm00020ab000700,pan_gene_50,1,Core Gene,N
Zm00020ab000710,pan_gene_51,1,Core Gene,N
Zm00020ab000730,pan_gene_52,2,Core Gene,Y
Zm00020ab000740,pan_gene_53,1,Core Gene,N
Zm00020ab000760,pan_gene_54,1,Core Gene,N
Zm00020ab000770,pan_gene_55,1,Core Gene,N
Zm00020ab000780,pan_gene_56,1,Core Gene,N
Zm00020ab000800,pan_gene_57,1,Core Gene,N
Zm00020ab000810,pan_gene_58,1,Core Gene,N
Zm00020ab000820,pan_gene_59,1,Dispensable Gene,N
Zm00020ab000830,pan_gene_60,1,Core Gene,N
Zm00020ab000840,pan_gene_62,1,Core Gene,N
Zm00020ab000860,pan_gene_63,2,Core Gene,Y
Zm00020ab000880,pan_gene_64,1,Core Gene,N
Zm00020ab000900,pan_gene_65,1,Core Gene,N
Zm00020ab000910,pan_gene_66,1,Core Gene,N
Zm00020ab000920,pan_gene_67,1,Core Gene,N
Zm00020ab000940,pan_gene_68,1,Core Gene,N
Zm00020ab000950,pan_gene_69,1,Core Gene,N
Zm00020ab000960,pan_gene_70,1,Core Gene,N
Zm00020ab000970,pan_gene_71,1,Core Gene,N
Zm00020ab000990,pan_gene_72,1,Core Gene,N
Zm00020ab001000,pan_gene_73,1,Core Gene,N
Zm00020ab001010,pan_gene_74,1,Core Gene,N
Zm00020ab001020,pan_gene_75,1,Core Gene,N
Zm00020ab001030,pan_gene_76,1,Core Gene,N
Zm00020ab001050,pan_gene_77,1,Core Gene,N
Zm00020ab001060,pan_gene_78,1,Core Gene,N
gmap_ID=chr1:3615596-3617640,pan_gene_79,1,Dispensable Gene,N
Zm00020ab001110,pan_gene_80,1,Core Gene,N
Zm00020ab001130,pan_gene_81,1,Core Gene,N
Zm00020ab001140,pan_gene_82,1,Core Gene,N
Zm00020ab001160,pan_gene_83,1,Core Gene,N
Zm00020ab001180,pan_gene_84,1,Near-Core Gene,N
gmap_ID=chr1:3834078-3834617,pan_gene_85,1,Dispensable Gene,N
Zm00020ab001190,pan_gene_86,1,Core Gene,N
Zm00020ab001210,pan_gene_87,1,Core Gene,N
Zm00020ab001220,pan_gene_88,1,Core Gene,N
Zm00020ab001230,pan_gene_89,1,Core Gene,N
Zm00020ab001240,pan_gene_90,1,Core Gene,N
Zm00020ab001250,pan_gene_91,1,Core Gene,N
Zm00020ab001260,pan_gene_92,1,Core Gene,N
