gene,pan,class,copy
Zm00033ab000040,pan_gene_1,Dispensable Gene,1
Zm00033ab000070,pan_gene_2,Near-Core Gene,1
gmap_ID=chr1:208437-211268,pan_gene_3,Near-Core Gene,1
Zm00033ab000110,pan_gene_5,Near-Core Gene,1
Zm00033ab000130,pan_gene_7,Near-Core Gene,1
Zm00033ab000200,pan_gene_8,Core Gene,1
Zm00033ab000190,pan_gene_9,Core Gene,1
Zm00033ab000230,pan_gene_10,Core Gene,1
Zm00033ab000240,pan_gene_11,Core Gene,1
Zm00033ab000260,pan_gene_12,Core Gene,1
Zm00033ab000270,pan_gene_13,Core Gene,1
Zm00033ab000280,pan_gene_14,Core Gene,1
Zm00033ab000290,pan_gene_15,Core Gene,1
Zm00033ab000320,pan_gene_16,Core Gene,1
Zm00033ab000350,pan_gene_17,Core Gene,1
Zm00033ab000360,pan_gene_18,Core Gene,1
Zm00033ab000370,pan_gene_19,Core Gene,1
Zm00033ab000380,pan_gene_20,Core Gene,1
Zm00033ab000420,pan_gene_21,Core Gene,1
Zm00033ab000430,pan_gene_23,Core Gene,3
Zm00033ab000470,pan_gene_24,Core Gene,1
Zm00033ab000480,pan_gene_25,Core Gene,1
Zm00033ab000490,pan_gene_26,Core Gene,1
Zm00033ab000530,pan_gene_27,Core Gene,1
Zm00033ab000600,pan_gene_28,Core Gene,1
Zm00033ab000610,pan_gene_29,Core Gene,1
Zm00033ab000630,pan_gene_30,Core Gene,1
Zm00033ab000640,pan_gene_31,Core Gene,1
Zm00033ab000660,pan_gene_32,Core Gene,1
Zm00033ab000670,pan_gene_33,Core Gene,1
gmap_ID=chr1:2533553-2533870,pan_gene_34,Dispensable Gene,1
Zm00033ab000710,pan_gene_35,Near-Core Gene,1
Zm00033ab000730,pan_gene_36,Core Gene,1
Zm00033ab000740,pan_gene_37,Dispensable Gene,1
Zm00033ab000750,pan_gene_38,Core Gene,1
Zm00033ab000760,pan_gene_39,Core Gene,1
Zm00033ab000770,pan_gene_40,Core Gene,1
Zm00033ab000780,pan_gene_41,Core Gene,1
Zm00033ab000790,pan_gene_42,Core Gene,1
Zm00033ab000800,pan_gene_43,Dispensable Gene,1
Zm00033ab000820,pan_gene_44,Core Gene,1
Zm00033ab000830,pan_gene_45,Core Gene,1
Zm00033ab000840,pan_gene_46,Core Gene,1
Zm00033ab000850,pan_gene_47,Core Gene,1
Zm00033ab000860,pan_gene_48,Core Gene,1
Zm00033ab000880,pan_gene_49,Core Gene,1
Zm00033ab000890,pan_gene_50,Core Gene,1
Zm00033ab000900,pan_gene_51,Core Gene,1
Zm00033ab000920,pan_gene_52,Core Gene,2
Zm00033ab000930,pan_gene_53,Core Gene,1
Zm00033ab000950,pan_gene_54,Core Gene,1
Zm00033ab000960,pan_gene_55,Core Gene,1
Zm00033ab000970,pan_gene_56,Core Gene,1
Zm00033ab000980,pan_gene_57,Core Gene,1
Zm00033ab000990,pan_gene_58,Core Gene,1
Zm00033ab001000,pan_gene_59,Dispensable Gene,1
Zm00033ab001010,pan_gene_60,Core Gene,1
gmap_ID=chr1:3401906-3403539,pan_gene_61,Dispensable Gene,1
Zm00033ab001020,pan_gene_62,Core Gene,1
gmap_ID=chr1:3460075-3460371,pan_gene_63,Core Gene,1
Zm00033ab001040,pan_gene_64,Core Gene,1
Zm00033ab001060,pan_gene_65,Core Gene,1
Zm00033ab001070,pan_gene_66,Core Gene,1
Zm00033ab001090,pan_gene_67,Core Gene,1
Zm00033ab001100,pan_gene_68,Core Gene,1
Zm00033ab001110,pan_gene_69,Core Gene,1
Zm00033ab001120,pan_gene_70,Core Gene,1
Zm00033ab001130,pan_gene_71,Core Gene,1
Zm00033ab001160,pan_gene_72,Core Gene,1
Zm00033ab001170,pan_gene_73,Core Gene,1
Zm00033ab001180,pan_gene_74,Core Gene,1
Zm00033ab001190,pan_gene_75,Core Gene,1
Zm00033ab001200,pan_gene_76,Core Gene,1
Zm00033ab001210,pan_gene_77,Core Gene,1
Zm00033ab001220,pan_gene_78,Core Gene,1
Zm00033ab001230,pan_gene_80,Core Gene,1
Zm00033ab001250,pan_gene_81,Core Gene,1
Zm00033ab001260,pan_gene_82,Core Gene,1
Zm00033ab001270,pan_gene_83,Core Gene,1
Zm00033ab001290,pan_gene_84,Near-Core Gene,1
gmap_ID=chr1:4103726-4104265,pan_gene_85,Dispensable Gene,1
Zm00033ab001330,pan_gene_86,Core Gene,1
Zm00033ab001340,pan_gene_87,Core Gene,1
Zm00033ab001350,pan_gene_88,Core Gene,1
Zm00033ab001360,pan_gene_89,Core Gene,1
Zm00033ab001370,pan_gene_90,Core Gene,1
Zm00033ab001380,pan_gene_91,Core Gene,2
Zm00033ab001400,pan_gene_92,Core Gene,1
Zm00033ab001410,pan_gene_93,Core Gene,1
Zm00033ab001420,pan_gene_94,Core Gene,1
Zm00033ab001430,pan_gene_95,Core Gene,1
Zm00033ab001440,pan_gene_96,Core Gene,1
gmap_ID=chr1:4241168-4241503,pan_gene_97,Near-Core Gene,1
Zm00033ab001480,pan_gene_98,Core Gene,1
Zm00033ab001490,pan_gene_99,Dispensable Gene,1
Zm00033ab001510,pan_gene_100,Core Gene,1
Zm00033ab001520,pan_gene_101,Core Gene,1
Zm00033ab001530,pan_gene_102,Core Gene,1
Zm00033ab001540,pan_gene_103,Core Gene,1
Zm00033ab001550,pan_gene_108,Core Gene,2
Zm00033ab001580,pan_gene_109,Core Gene,2
Zm00033ab001620,pan_gene_110,Core Gene,1
Zm00033ab001640,pan_gene_113,Core Gene,1
Zm00033ab001650,pan_gene_114,Core Gene,1
Zm00033ab001670,pan_gene_115,Core Gene,1
Zm00033ab001680,pan_gene_116,Core Gene,1
Zm00033ab001720,pan_gene_117,Core Gene,1
Zm00033ab001740,pan_gene_118,Core Gene,1
Zm00033ab001730,pan_gene_119,Core Gene,1
Zm00033ab001750,pan_gene_120,Core Gene,1
Zm00033ab001760,pan_gene_121,Near-Core Gene,1
Zm00033ab001770,pan_gene_122,Core Gene,2
Zm00033ab001800,pan_gene_123,Core Gene,1
